,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,new_addition
119,PyVista,pyvista/pyvista,data-viz,,https://github.com/pyvista/pyvista,https://github.com/pyvista/pyvista,MIT,2017-05-31 18:01:42.000,2024-02-08 16:35:08.000000,2024-02-08 02:59:39,4098.0,186.0,404.0,35.0,2927.0,434.0,1035.0,2182.0,3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK).,154.0,35,True,2024-02-06 10:12:28,0.43.3,69.0,pyvista,conda-forge/pyvista,,,['jupyter'],2608.0,2608.0,https://pypi.org/project/pyvista,262169.0,272168.0,https://anaconda.org/conda-forge/pyvista,2024-02-06 17:09:54.392,439521.0,,,,,2.0,791.0,,,,,,,,,,,,
120,Rasterio,rasterio/rasterio,geospatial-data,,https://github.com/rasterio/rasterio,https://github.com/rasterio/rasterio,,2013-11-04 16:36:27.000,2024-02-07 20:42:59.000000,2024-01-17 02:02:52,3822.0,31.0,512.0,147.0,1131.0,124.0,1615.0,2088.0,Rasterio reads and writes geospatial raster datasets.,155.0,35,True,2023-10-19 14:09:18,1.3.9,82.0,rasterio,conda-forge/rasterio,,,,10300.0,10300.0,https://pypi.org/project/rasterio,2218347.0,2293743.0,https://anaconda.org/conda-forge/rasterio,2023-12-13 04:52:52.421,2789370.0,,,,,2.0,853.0,,,,,,,,,,,,
121,snakemake,snakemake/snakemake,ml-experiments,,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2015-10-17 15:43:54.867,2024-02-07 20:53:29.453000,2024-02-07 13:16:10,5055.0,181.0,471.0,21.0,1169.0,916.0,600.0,2037.0,"This is the development home of the workflow management system Snakemake. For general information, see.",315.0,35,True,2024-02-07 13:16:49,8.4.7,233.0,snakemake,bioconda/snakemake,,,,1860.0,1860.0,https://pypi.org/project/snakemake,138562.0,148228.0,https://anaconda.org/bioconda/snakemake,2024-02-07 20:53:29.453,966635.0,,,,,2.0,,,,,,,,,,,,,
122,metrics,Lightning-AI/metrics,pytorch-utils,,https://github.com/Lightning-AI/torchmetrics,https://github.com/Lightning-AI/torchmetrics,Apache-2.0,2020-12-22 20:02:42.000,2024-02-08 13:36:49.000000,2024-02-08 02:35:50,1654.0,106.0,350.0,27.0,1382.0,66.0,703.0,1814.0,"Torchmetrics - Machine learning metrics for distributed, scalable PyTorch applications.",224.0,35,True,2024-01-30 10:36:04,1.3.0.post0,42.0,metrics,conda-forge/torchmetrics,,,['pytorch'],20398.0,20398.0,https://pypi.org/project/metrics,2890.0,37728.0,https://anaconda.org/conda-forge/torchmetrics,2023-12-01 20:39:28.126,1214675.0,,,,,1.0,4685.0,Lightning-AI/torchmetrics,,,,,,,,,,,
123,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,https://github.com/intel/scikit-learn-intelex,https://github.com/intel/scikit-learn-intelex,Apache-2.0,2018-08-07 06:45:41.000,2024-02-08 17:29:00.000000,2024-02-08 14:03:41,1564.0,79.0,156.0,32.0,1442.0,42.0,172.0,1123.0,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,77.0,35,True,2024-01-24 21:51:51,2024.1.0,24.0,scikit-learn-intelex,conda-forge/scikit-learn-intelex,,,['sklearn'],9540.0,9540.0,https://pypi.org/project/scikit-learn-intelex,181916.0,188884.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2024-01-25 17:59:16.547,236913.0,,,,,1.0,,,,,,,,,,,,,
124,pyproj,pyproj4/pyproj,geospatial-data,,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000,2024-02-05 20:09:46.000000,2024-02-05 20:07:17,1530.0,3.0,209.0,33.0,673.0,26.0,567.0,961.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,65.0,35,True,2023-09-21 01:26:52,3.6.1,52.0,pyproj,conda-forge/pyproj,,,,27051.0,27051.0,https://pypi.org/project/pyproj,7894958.0,8061110.0,https://anaconda.org/conda-forge/pyproj,2023-12-08 10:35:21.072,7144567.0,,,,,2.0,,,,,,,,,,,,,
125,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2024-02-08 05:22:55.000000,2024-02-08 05:22:44,7613.0,302.0,2589.0,295.0,184.0,27.0,1009.0,25405.0,"Visualizer for neural network, deep learning and machine learning models.",,34,True,2024-02-03 04:34:03,7.4.2,3.0,netron,,,,"['pytorch', 'tensorflow']",12.0,12.0,https://pypi.org/project/netron,25019.0,123955.0,,,,,,,,1.0,98936.0,,,,,,,,,,,,
126,DeepSpeech,mozilla/DeepSpeech,audio,,https://github.com/mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,MPL-2.0,2016-06-02 15:04:53.000,2024-01-13 10:31:18.000000,2021-11-17 17:52:52,3466.0,,3754.0,664.0,1671.0,114.0,1985.0,23822.0,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices..",163.0,34,False,2020-12-10 15:58:47,0.9.3,100.0,deepspeech,conda-forge/deepspeech,,,['tensorflow'],394.0,394.0,https://pypi.org/project/deepspeech,4824.0,21955.0,https://anaconda.org/conda-forge/deepspeech,2023-06-16 19:27:01.157,2520.0,,,,,2.0,1108252.0,,,,,,,,,,,,
127,Prophet,facebook/prophet,time-series-data,,https://github.com/facebook/prophet,https://github.com/facebook/prophet,MIT,2016-11-16 01:50:08.000,2024-02-06 01:54:06.000000,2023-10-18 07:33:05,791.0,,4393.0,425.0,439.0,366.0,1723.0,17445.0,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear..,173.0,34,True,2023-10-10 12:57:04,1.1.5,16.0,fbprophet,conda-forge/prophet,,,,21.0,21.0,https://pypi.org/project/fbprophet,797913.0,831226.0,https://anaconda.org/conda-forge/prophet,2023-10-20 01:36:39.935,1131738.0,,,,,1.0,2315.0,,,,,,,,,,,,
128,Albumentations,albumentations-team/albumentations,image,,https://github.com/albumentations-team/albumentations,https://github.com/albumentations-team/albumentations,MIT,2018-06-06 03:10:50.000,2023-12-24 05:29:22.000000,2023-12-07 06:42:43,786.0,1.0,1543.0,131.0,663.0,371.0,438.0,13083.0,Fast image augmentation library and an easy-to-use wrapper around other libraries. Documentation:..,133.0,34,True,2023-06-10 07:44:08,1.3.1,18.0,albumentations,conda-forge/albumentations,,,['pytorch'],20660.0,20660.0,https://pypi.org/project/albumentations,1190135.0,1192836.0,https://anaconda.org/conda-forge/albumentations,2023-06-12 13:29:26.010,151276.0,,,,,2.0,,,,,,,,,,,,,
129,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2024-02-06 22:23:52.000000,2023-08-20 17:38:53,890.0,,1109.0,322.0,267.0,49.0,341.0,12427.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,88.0,34,True,2023-06-14 16:34:48,1.17.3,21.0,annoy,conda-forge/python-annoy,,,,3528.0,3528.0,https://pypi.org/project/annoy,768443.0,777779.0,https://anaconda.org/conda-forge/python-annoy,2023-09-25 04:57:08.085,382795.0,,,,,2.0,,,,,,,,,,,,,
130,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2024-02-06 21:40:09.000000,2024-02-06 09:28:10,3760.0,105.0,827.0,139.0,165.0,89.0,978.0,11255.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",91.0,34,True,2024-01-07 10:47:45,16.0.4,46.0,ocrmypdf,conda-forge/ocrmypdf,,,,723.0,723.0,https://pypi.org/project/ocrmypdf,83521.0,85576.0,https://anaconda.org/conda-forge/ocrmypdf,2023-06-16 19:24:58.228,61565.0,,,,,2.0,2072.0,,,,,,ocrmypdf,ocrmypdf,,,,,
131,stable-baselines3,DLR-RM/stable-baselines3,reinforcement-learning,,https://github.com/DLR-RM/stable-baselines3,https://github.com/DLR-RM/stable-baselines3,MIT,2020-05-05 05:52:26.000,2024-01-30 14:54:39.000000,2024-01-30 14:53:25,827.0,8.0,1429.0,61.0,494.0,68.0,1251.0,7398.0,"PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms.",137.0,34,True,2023-11-17 23:35:53,2.2.1,22.0,stable-baselines3,,,,,4627.0,4627.0,https://pypi.org/project/stable-baselines3,115954.0,115954.0,,,,,,,,1.0,,,,,,,,,,,,,
132,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2024-02-01 09:17:28.000000,2024-02-01 09:17:20,2876.0,32.0,2083.0,175.0,1132.0,13.0,1411.0,6465.0,Open Source Neural Machine Translation and (Large) Language Models in PyTorch.,191.0,34,True,2023-11-02 12:53:15,3.4.3,48.0,OpenNMT-py,,,,['pytorch'],252.0,252.0,https://pypi.org/project/OpenNMT-py,5532.0,5532.0,,,,,,,,2.0,,,,,,,,,,,,,
133,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2024-02-07 22:53:52.000000,2024-02-06 23:09:37,19222.0,633.0,455.0,53.0,2678.0,415.0,980.0,6393.0,"Visualize, create, and debug image and video datasets and model predictions.",108.0,34,True,2024-01-23 14:14:59,0.23.3,81.0,fiftyone,,,,"['tensorflow', 'pytorch', 'jupyter']",486.0,486.0,https://pypi.org/project/fiftyone,48031.0,48031.0,,,,,,,,2.0,,,,,,,,,,,,,
134,InterpretML,interpretml/interpret,interpretability,,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000,2024-02-08 06:02:10.000000,2024-02-08 05:58:56,2984.0,201.0,691.0,141.0,93.0,84.0,325.0,5912.0,Fit interpretable models. Explain blackbox machine learning.,41.0,34,True,2023-12-14 21:27:55,0.5.0,40.0,interpret,,,,['jupyter'],614.0,614.0,https://pypi.org/project/interpret,87647.0,87647.0,,,,,,,,1.0,,,,,,,,,,,,,
135,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2024-02-08 07:20:17.000000,2024-02-06 14:18:01,2291.0,50.0,605.0,91.0,245.0,423.0,520.0,5051.0,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",88.0,34,True,2024-02-07 07:44:14,1.14.2,93.0,clearml,,allegroai/trains,,,933.0,933.0,https://pypi.org/project/clearml,241167.0,241742.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30236.0,2.0,2042.0,,,,,,,,,,,,
136,StatsForecast,Nixtla/statsforecast,time-series-data,,https://github.com/Nixtla/statsforecast,https://github.com/Nixtla/statsforecast,Apache-2.0,2021-11-24 02:19:14.000,2024-02-06 03:02:36.606000,2024-02-05 21:43:46,1269.0,56.0,225.0,31.0,421.0,75.0,201.0,3367.0,Lightning fast forecasting with statistical and econometric models.,37.0,34,True,2024-02-05 21:44:48,1.7.3,28.0,statsforecast,conda-forge/statsforecast,,,,703.0,703.0,https://pypi.org/project/statsforecast,491664.0,494196.0,https://anaconda.org/conda-forge/statsforecast,2024-02-06 03:02:36.606,58242.0,,,,,1.0,,,,,,,,,,,,,
137,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2024-01-15 22:33:33.000000,2024-01-15 22:33:33,2291.0,21.0,530.0,69.0,480.0,239.0,702.0,2237.0,Survival analysis in Python.,116.0,34,True,2024-01-03 22:00:43,0.28.0,100.0,lifelines,conda-forge/lifelines,,,,2182.0,2182.0,https://pypi.org/project/lifelines,664687.0,671595.0,https://anaconda.org/conda-forge/lifelines,2023-09-13 16:31:11.545,310889.0,,,,,2.0,,,,,,,,,,,,,
138,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2024-02-08 15:50:37.000000,2024-02-08 15:45:46,2829.0,163.0,279.0,68.0,1547.0,34.0,588.0,2227.0,Adaptive Experimentation Platform.,161.0,34,True,2023-12-09 18:08:38,0.3.6,38.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],647.0,647.0,https://pypi.org/project/ax-platform,88751.0,89294.0,https://anaconda.org/conda-forge/ax-platform,2023-12-11 15:43:05.639,17393.0,,,,,1.0,,,,,,,,,,,,,
139,optimum,huggingface/optimum,gpu-utilities,,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,Apache-2.0,2021-07-20 12:36:40.000,2024-02-08 15:16:43.000000,2024-02-08 15:16:42,958.0,73.0,317.0,52.0,1095.0,216.0,362.0,1946.0,Accelerate training and inference of Transformers and Diffusers with easy to use hardware optimization tools.,96.0,34,True,2024-01-19 16:01:49,1.16.2,49.0,optimum,conda-forge/optimum,,,,1535.0,1535.0,https://pypi.org/project/optimum,900491.0,901003.0,https://anaconda.org/conda-forge/optimum,2024-01-19 18:30:36.317,11275.0,,,,,1.0,,,,,,,,,,,,,
140,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-01-26 10:55:56.000000,2024-01-26 10:55:56,1171.0,21.0,344.0,65.0,595.0,234.0,347.0,1439.0,A Jupyter - Leaflet.js bridge.,87.0,34,True,2024-01-23 17:51:37,0.18.2,70.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],7172.0,7172.0,https://pypi.org/project/ipyleaflet,138847.0,183834.0,https://anaconda.org/conda-forge/ipyleaflet,2024-01-23 20:31:49.209,1101108.0,,,,,3.0,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,20518.0,,,,,,,
141,TensorFlow Text,tensorflow/text,nlp,,https://github.com/tensorflow/text,https://github.com/tensorflow/text,Apache-2.0,2019-05-29 22:10:03.000,2024-02-01 01:43:52.000000,2024-01-31 19:53:34,866.0,6.0,313.0,45.0,1010.0,72.0,163.0,1177.0,Making text a first-class citizen in TensorFlow.,112.0,34,True,2023-11-15 19:00:05,2.15.0,53.0,tensorflow-text,,,,['tensorflow'],6384.0,6384.0,https://pypi.org/project/tensorflow-text,5379186.0,5379186.0,,,,,,,,2.0,,,,,,,,,,,,,
142,Nilearn,nilearn/nilearn,medical-data,,https://github.com/nilearn/nilearn,https://github.com/nilearn/nilearn,,2011-01-09 19:02:23.000,2024-02-08 16:56:01.000000,2024-02-08 09:03:08,10216.0,103.0,541.0,70.0,2319.0,236.0,1705.0,1081.0,Machine learning for NeuroImaging in Python.,233.0,34,True,2024-01-29 09:22:59,0.10.3,23.0,nilearn,conda-forge/nilearn,,,['sklearn'],2863.0,2863.0,https://pypi.org/project/nilearn,53866.0,60514.0,https://anaconda.org/conda-forge/nilearn,2024-01-29 13:01:39.700,259132.0,,,,,2.0,151.0,,,,,,,,,,,,
143,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2024-02-08 13:16:54.000000,2024-02-08 10:50:09,2995.0,124.0,4066.0,374.0,3643.0,336.0,1169.0,36346.0,"Making large AI models cheaper, faster and more accessible.",162.0,33,True,2023-11-01 05:57:35,0.3.4,34.0,,,,,,291.0,291.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
144,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2024-02-08 01:21:08.000000,2024-02-08 01:15:03,1501.0,8.0,6822.0,381.0,648.0,384.0,3041.0,27997.0,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",265.0,33,True,2021-11-15 22:08:26,0.6,10.0,detectron2,conda-forge/detectron2,,,['pytorch'],1602.0,1602.0,https://pypi.org/project/detectron2,,5176.0,https://anaconda.org/conda-forge/detectron2,2024-01-18 08:57:46.349,222609.0,,,,,2.0,,,,,,,,,,,,,
145,PyFlink,apache/flink,ml-frameworks,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10.000,2024-02-08 16:29:14.000000,2024-02-08 15:25:09,34876.0,654.0,12259.0,945.0,24276.0,,,22811.0,Apache Flink Python API.,1825.0,33,True,,,,apache-flink,,,,,21.0,21.0,https://pypi.org/project/apache-flink,54323.0,54323.0,,,,,,,,3.0,,,,,,,,,,,,,
146,MindsDB,mindsdb/mindsdb,ml-frameworks,,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45.000,2024-02-08 16:08:57.000000,2024-02-08 15:36:18,17009.0,990.0,2574.0,376.0,4633.0,380.0,3287.0,19865.0,Build AI using SQL.,819.0,33,True,2024-01-25 13:35:29,24.1.4.0,100.0,mindsdb,,,,['pytorch'],,,https://pypi.org/project/mindsdb,13833.0,13833.0,,,,,,,,3.0,,,,,,,,,,,,,
147,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2023-12-26 23:00:56.000000,2020-10-14 16:36:49,6226.0,,4126.0,1003.0,1869.0,324.0,658.0,16869.0,"Zipline, a Pythonic Algorithmic Trading Library.",160.0,33,False,2020-10-05 15:43:07,1.4.1,13.0,zipline,conda-forge/zipline,,,,980.0,980.0,https://pypi.org/project/zipline,2976.0,3157.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,7447.0,,,,,1.0,,,,,,,,,,,,,
148,horovod,horovod/horovod,distributed-ml,,https://github.com/horovod/horovod,https://github.com/horovod/horovod,,2017-08-09 19:39:59.000,2024-01-15 08:14:29.000000,2024-01-05 20:03:59,1332.0,1.0,2157.0,332.0,1580.0,365.0,1855.0,13807.0,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",172.0,33,True,2023-06-12 09:26:22,0.28.1,24.0,horovod,,,,,1083.0,1083.0,https://pypi.org/project/horovod,62781.0,62781.0,,,,,,,,2.0,,,,,,,,,,stable/horovod,,,
149,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2023-10-30 04:23:19.000000,2023-10-26 05:31:53,3012.0,,1768.0,283.0,3502.0,356.0,1677.0,13565.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",192.0,33,True,2023-09-14 12:12:06,3.0,40.0,nni,,,,,558.0,558.0,https://pypi.org/project/nni,16030.0,16030.0,,,,,,,,1.0,,,,,,,,,,,,,
150,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23.000,2024-02-08 17:51:18.000000,2024-02-02 11:08:09,6024.0,4.0,3116.0,242.0,1445.0,1002.0,3840.0,10158.0,Open-source simulator for autonomous driving research.,171.0,33,True,2023-11-11 12:51:52,0.9.15,26.0,carla,,,,,628.0,628.0,https://pypi.org/project/carla,16946.0,16946.0,,,,,,,,1.0,,,,,,,,,,,,,
151,wordcloud,amueller/word_cloud,data-viz,,https://github.com/amueller/word_cloud,https://github.com/amueller/word_cloud,MIT,2012-11-04 22:57:59.000,2024-01-17 08:31:39.000000,2023-12-09 05:39:53,576.0,12.0,2266.0,223.0,245.0,93.0,416.0,9851.0,A little word cloud generator in Python.,72.0,33,True,2023-12-09 13:50:41,1.9.3,13.0,wordcloud,conda-forge/wordcloud,,,,21.0,21.0,https://pypi.org/project/wordcloud,1402833.0,1413424.0,https://anaconda.org/conda-forge/wordcloud,2023-12-11 13:49:34.986,455443.0,,,,,2.0,,,,,,,,,,,,,
152,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2024-01-02 11:17:53.000000,2024-01-02 11:17:47,862.0,3.0,1271.0,418.0,85.0,32.0,159.0,9671.0,TensorFlow-based neural network library.,58.0,33,True,2024-01-02 11:08:14,2.0.2,13.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],1221.0,1221.0,https://pypi.org/project/dm-sonnet,19261.0,19790.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,26989.0,,,,,3.0,,google-deepmind/sonnet,,,,,,,,,,,
153,trl,huggingface/trl,reinforcement-learning,,https://github.com/huggingface/trl,https://github.com/huggingface/trl,Apache-2.0,2020-03-27 10:54:55.000,2024-02-06 21:37:05.000000,2024-02-06 21:37:04,609.0,126.0,824.0,66.0,583.0,76.0,659.0,7318.0,Train transformer language models with reinforcement learning.,146.0,33,True,2024-01-19 10:58:25,0.7.10,25.0,trl,,,,,1186.0,1186.0,https://pypi.org/project/trl,221681.0,221681.0,,,,,,,,2.0,,,,,,,,,,,,,
154,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2024-02-08 18:06:29.000000,2024-02-08 18:06:26,38295.0,450.0,791.0,146.0,9079.0,925.0,4972.0,7014.0,cuDF - GPU DataFrame Library.,270.0,33,True,2023-12-08 21:31:24,23.12.01,45.0,cudf,,,,,51.0,51.0,https://pypi.org/project/cudf,2617.0,2617.0,,,,,,,,2.0,,,,,,,,,,,,,
155,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2024-02-08 17:26:14.000000,2024-02-02 19:21:27,32311.0,81.0,1957.0,384.0,6753.0,2677.0,6539.0,6633.0,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",254.0,33,True,,,,h2o,,,,,21.0,21.0,https://pypi.org/project/h2o,411149.0,411149.0,,,,,,,,2.0,,,,,,,,,,,,,
156,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2023-12-16 19:25:54.000000,2023-12-16 19:23:13,1208.0,20.0,632.0,64.0,131.0,48.0,432.0,5649.0,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",40.0,33,True,2023-12-16 19:24:49,2.4.1,54.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],1204.0,1204.0,https://pypi.org/project/pytorch-metric-learning,257666.0,257893.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2023-06-16 19:17:36.446,11160.0,,,,,1.0,,,,,,,,,,,,,
157,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2024-02-05 18:43:54.000000,2024-02-05 18:35:00,1054.0,22.0,458.0,228.0,733.0,173.0,331.0,4420.0,Model interpretability and understanding for PyTorch.,106.0,33,True,2023-12-05 09:21:02,0.7.0,9.0,captum,conda-forge/captum,,,['pytorch'],1780.0,1780.0,https://pypi.org/project/captum,163177.0,163965.0,https://anaconda.org/conda-forge/captum,2023-06-16 19:28:19.191,20509.0,,,,,1.0,,,,,,,,,,,,,
158,ART,Trusted-AI/adversarial-robustness-toolbox,adversarial,,https://github.com/Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,MIT,2018-03-15 14:40:43.000,2024-02-06 13:47:37.000000,2024-01-19 15:04:04,12141.0,139.0,1075.0,100.0,1313.0,120.0,742.0,4298.0,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction,..",133.0,33,True,2023-12-27 22:17:11,1.17.0,55.0,adversarial-robustness-toolbox,conda-forge/adversarial-robustness-toolbox,,,,481.0,481.0,https://pypi.org/project/adversarial-robustness-toolbox,27542.0,28382.0,https://anaconda.org/conda-forge/adversarial-robustness-toolbox,2023-12-27 22:57:10.074,36136.0,,,,,1.0,,,,,,,,,,,,,
159,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2024-02-07 22:12:27.000000,2024-02-06 08:50:39,1130.0,27.0,550.0,115.0,845.0,263.0,1026.0,3918.0,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",159.0,33,True,2023-11-01 14:46:14,7.1,36.0,coremltools,conda-forge/coremltools,,,,3589.0,3589.0,https://pypi.org/project/coremltools,187980.0,189433.0,https://anaconda.org/conda-forge/coremltools,2023-06-16 19:23:14.592,53456.0,,,,,2.0,9059.0,,,,,,,,,,,,
160,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2024-02-08 15:25:53.000000,2023-12-03 03:47:34,490.0,4.0,539.0,66.0,213.0,170.0,153.0,3829.0,Header-only C++/python library for fast approximate nearest neighbors.,72.0,33,True,2023-12-03 03:49:47,0.8.0,9.0,hnswlib,conda-forge/hnswlib,,,,5928.0,5928.0,https://pypi.org/project/hnswlib,657451.0,660789.0,https://anaconda.org/conda-forge/hnswlib,2023-09-27 14:20:16.958,126847.0,,,,,3.0,,,,,,,,,,,,,
161,VisPy,vispy/vispy,data-viz,,https://github.com/vispy/vispy,https://github.com/vispy/vispy,,2013-03-21 18:43:22.000,2024-02-05 13:22:06.000000,2024-02-05 13:22:01,7356.0,35.0,601.0,117.0,1158.0,309.0,1104.0,3182.0,High-performance interactive 2D/3D data visualization library.,192.0,33,True,2023-10-03 22:23:12,0.14.1,35.0,vispy,conda-forge/vispy,,,['jupyter'],1407.0,1407.0,https://pypi.org/project/vispy,72868.0,83991.0,https://anaconda.org/conda-forge/vispy,2023-10-04 03:59:45.400,455655.0,,,,,2.0,,,,vispy,https://www.npmjs.com/package/vispy,10.0,,,,,,,
162,BoTorch,pytorch/botorch,hyperopt,,https://github.com/pytorch/botorch,https://github.com/pytorch/botorch,MIT,2018-07-30 23:59:57.000,2024-02-08 08:22:59.000000,2024-02-05 21:47:08,1780.0,52.0,352.0,54.0,1519.0,56.0,395.0,2891.0,Bayesian optimization in PyTorch.,108.0,33,True,2023-12-09 01:58:40,0.9.5,41.0,botorch,conda-forge/botorch,,,['pytorch'],834.0,834.0,https://pypi.org/project/botorch,127244.0,129592.0,https://anaconda.org/conda-forge/botorch,2023-12-09 03:51:41.401,98618.0,,,,,1.0,,,,,,,,,,,,,
