,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,new_addition
112,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2024-03-29 04:11:44.000,2024-03-18 16:03:25,2890.0,23.0,2084.0,176.0,1143.0,15.0,1414.0,6525.0,Open Source Neural Machine Translation and (Large) Language Models in PyTorch.,191.0,35,True,2024-03-18 14:01:33,3.5.1,50.0,OpenNMT-py,,,,['pytorch'],261.0,261.0,https://pypi.org/project/OpenNMT-py,8825.0,8825.0,,,,,,,,2.0,,,,,,,,,,,,,
113,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50.000,2024-03-29 12:00:01.000,2024-03-29 09:56:45,2478.0,557.0,1107.0,242.0,8424.0,768.0,1396.0,4993.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, etc.) on Intel..",96.0,35,True,2023-11-13 02:02:20,2.4.0,19.0,bigdl,,,,,49.0,49.0,https://pypi.org/project/bigdl,14616.0,14619.0,,,,,,,,2.0,318.0,intel-analytics/ipex-llm,,,,,,,,-2.0,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4,
114,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2024-03-29 15:50:08.000,2024-03-29 13:20:18,1679.0,27.0,602.0,62.0,1821.0,112.0,1254.0,4440.0,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,208.0,35,True,2023-10-19 08:22:16,0.4.13,24.0,pytorch-ignite,pytorch/ignite,,,['pytorch'],2761.0,2761.0,https://pypi.org/project/pytorch-ignite,221415.0,223996.0,https://anaconda.org/pytorch/ignite,2023-10-19 08:25:55.130,178139.0,,,,,2.0,,,,,,,,,,,,,
115,opencv-python,opencv/opencv-python,image,,https://github.com/opencv/opencv-python,https://github.com/opencv/opencv-python,MIT,2016-04-08 13:36:40.000,2024-03-26 12:38:19.000,2023-12-31 11:04:55,953.0,2.0,768.0,87.0,203.0,93.0,657.0,4104.0,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-..",48.0,35,True,2023-12-31 11:17:16,80,72.0,opencv-python,,,,,370541.0,370541.0,https://pypi.org/project/opencv-python,13529833.0,13529833.0,,,,,,,,2.0,,,,,,,,,,-2.0,,,
116,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2024-03-27 23:37:00.000,2024-03-27 00:49:40,3725.0,100.0,788.0,58.0,1499.0,324.0,1224.0,3951.0,"Serve, optimize and scale PyTorch models in production.",187.0,35,True,2024-03-15 00:03:31,0.10.0,22.0,torchserve,pytorch/torchserve,pytorch/torchserve,,['pytorch'],628.0,628.0,https://pypi.org/project/torchserve,54924.0,81839.0,https://anaconda.org/pytorch/torchserve,2024-03-14 21:47:30.323,161064.0,https://hub.docker.com/r/pytorch/torchserve,2024-03-14 22:46:13.511478,23.0,1238620.0,2.0,5632.0,,,,,,,,,,,,
117,argilla,argilla-io/argilla,nlp,,https://github.com/argilla-io/argilla,https://github.com/argilla-io/argilla,Apache-2.0,2021-04-28 14:37:42.000,2024-03-29 09:06:33.000,2024-03-27 15:12:33,2932.0,155.0,300.0,24.0,2694.0,166.0,1675.0,3050.0,"Argilla is a collaboration platform for AI engineers and domain experts that require high-quality outputs, full data..",83.0,35,True,2024-03-27 13:16:39,1.26.1,100.0,argilla,,,,,2346.0,2346.0,https://pypi.org/project/argilla,291235.0,291235.0,,,,,,,,2.0,,,,,,,,,,,,,
118,Thinc,explosion/thinc,ml-frameworks,,https://github.com/explosion/thinc,https://github.com/explosion/thinc,MIT,2014-10-16 16:34:59.000,2024-02-23 00:11:47.000,2024-02-07 15:14:19,5271.0,3.0,269.0,79.0,780.0,15.0,124.0,2781.0,"A refreshing functional take on deep learning, compatible with your favorite libraries.",63.0,35,True,2024-02-07 18:33:24,8.2.3,77.0,thinc,conda-forge/thinc,,,,44519.0,44519.0,https://pypi.org/project/thinc,6862433.0,6921679.0,https://anaconda.org/conda-forge/thinc,2023-12-29 09:50:56.118,2725331.0,,,,,2.0,,,,,,,,,,,,,
119,Rasterio,rasterio/rasterio,geospatial-data,,https://github.com/rasterio/rasterio,https://github.com/rasterio/rasterio,,2013-11-04 16:36:27.000,2024-03-28 20:30:53.000,2024-03-26 16:36:33,3833.0,17.0,512.0,148.0,1138.0,125.0,1624.0,2122.0,Rasterio reads and writes geospatial raster datasets.,155.0,35,True,2023-10-19 14:09:18,1.3.9,76.0,rasterio,conda-forge/rasterio,,,,10843.0,10843.0,https://pypi.org/project/rasterio,2527125.0,2602083.0,https://anaconda.org/conda-forge/rasterio,2024-03-27 15:44:36.916,2848121.0,,,,,2.0,854.0,,,,,,,,,,,,
120,Wand,emcconville/wand,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000,2024-03-26 18:33:29.000,2024-02-11 16:39:29,1856.0,8.0,199.0,32.0,212.0,19.0,397.0,1356.0,The ctypes-based simple ImageMagick binding for Python.,104.0,35,True,2023-11-04 01:41:17,0.6.13,25.0,wand,conda-forge/wand,,,,18557.0,18557.0,https://pypi.org/project/wand,920953.0,921644.0,https://anaconda.org/conda-forge/wand,,,,,,,2.0,44285.0,,,,,,,,,,,,
121,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2024-03-21 07:35:33.000,2024-03-21 07:35:29,2816.0,50.0,244.0,33.0,209.0,40.0,500.0,1221.0,Python interface for igraph.,74.0,35,True,2024-02-13 22:29:23,0.11.4,27.0,python-igraph,conda-forge/igraph,,,,3851.0,3851.0,https://pypi.org/project/python-igraph,582735.0,601028.0,https://anaconda.org/conda-forge/igraph,2024-02-13 16:32:10.931,508587.0,,,,,1.0,562551.0,,,,,,,,,,,,
122,TensorFlow Text,tensorflow/text,nlp,,https://github.com/tensorflow/text,https://github.com/tensorflow/text,Apache-2.0,2019-05-29 22:10:03.000,2024-03-19 19:42:50.000,2024-03-13 00:47:35,874.0,10.0,320.0,44.0,1018.0,75.0,168.0,1192.0,Making text a first-class citizen in TensorFlow.,113.0,35,True,2024-03-11 20:48:59,2.16.1,55.0,tensorflow-text,,,,['tensorflow'],6583.0,6583.0,https://pypi.org/project/tensorflow-text,6599474.0,6599474.0,,,,,,,,2.0,,,,,,,,,,,,,
123,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,https://github.com/intel/scikit-learn-intelex,https://github.com/intel/scikit-learn-intelex,Apache-2.0,2018-08-07 06:45:41.000,2024-03-29 15:07:29.000,2024-03-29 14:19:49,1622.0,102.0,161.0,31.0,1514.0,43.0,177.0,1149.0,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,78.0,35,True,2024-01-24 21:51:51,2024.1.0,24.0,scikit-learn-intelex,conda-forge/scikit-learn-intelex,,,['sklearn'],10117.0,10117.0,https://pypi.org/project/scikit-learn-intelex,137884.0,144866.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2024-01-25 17:59:16.547,244401.0,,,,,1.0,,,,,,,,,,,,,
124,Nilearn,nilearn/nilearn,medical-data,,https://github.com/nilearn/nilearn,https://github.com/nilearn/nilearn,,2011-01-09 19:02:23.000,2024-03-29 15:31:59.000,2024-03-29 12:46:39,10253.0,89.0,543.0,71.0,2360.0,247.0,1739.0,1101.0,Machine learning for NeuroImaging in Python.,235.0,35,True,2024-01-29 09:22:59,0.10.3,23.0,nilearn,conda-forge/nilearn,,,['sklearn'],2991.0,2991.0,https://pypi.org/project/nilearn,66475.0,73032.0,https://anaconda.org/conda-forge/nilearn,2024-01-29 13:01:39.700,262158.0,,,,,2.0,159.0,,,,,,,,,,,,
125,pyproj,pyproj4/pyproj,geospatial-data,,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000,2024-03-18 22:29:33.000,2024-03-18 22:27:21,1541.0,14.0,212.0,34.0,682.0,26.0,571.0,978.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,65.0,35,True,2023-09-21 01:26:52,3.6.1,52.0,pyproj,conda-forge/pyproj,,,,28373.0,28373.0,https://pypi.org/project/pyproj,8482686.0,8649260.0,https://anaconda.org/conda-forge/pyproj,2023-12-08 10:35:21.072,7329283.0,,,,,2.0,,,,,,,,,,,,,
126,NIPYPE,nipy/nipype,medical-data,,https://github.com/nipy/nipype,https://github.com/nipy/nipype,Apache-2.0,2010-07-22 17:06:49.000,2024-03-25 08:59:45.000,2024-03-22 00:49:10,14865.0,61.0,485.0,51.0,2289.0,390.0,959.0,729.0,Workflows and interfaces for neuroimaging packages.,256.0,35,True,2022-09-01 22:11:24,1.8.4,46.0,nipype,conda-forge/nipype,,,,4159.0,4159.0,https://pypi.org/project/nipype,155576.0,169423.0,https://anaconda.org/conda-forge/nipype,2023-09-22 18:28:24.915,595462.0,,,,,2.0,,,,,,,,,,,,,
127,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2024-03-29 11:31:09.000,2024-03-29 04:44:31,7767.0,285.0,2616.0,296.0,189.0,25.0,1033.0,25831.0,"Visualizer for neural network, deep learning and machine learning models.",,34,True,2024-03-29 04:45:53,7.5.7,3.0,netron,,,,"['pytorch', 'tensorflow']",12.0,12.0,https://pypi.org/project/netron,28288.0,120935.0,,,,,,,,1.0,92647.0,,,,,,,,,,,,
128,DeepSpeech,mozilla/DeepSpeech,audio,,https://github.com/mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,MPL-2.0,2016-06-02 15:04:53.000,2024-02-18 05:01:17.000,2021-11-17 17:52:52,3466.0,,3769.0,665.0,1674.0,117.0,1985.0,24098.0,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices..",163.0,34,False,2020-12-10 15:58:47,0.9.3,100.0,deepspeech,conda-forge/deepspeech,,,['tensorflow'],408.0,408.0,https://pypi.org/project/deepspeech,8735.0,25829.0,https://anaconda.org/conda-forge/deepspeech,2023-06-16 19:27:01.157,2559.0,,,,,2.0,1123050.0,,,,,,,,,,,,
129,PyFlink,apache/flink,ml-frameworks,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10.000,2024-03-29 12:07:33.000,2024-03-29 08:57:59,35102.0,576.0,12349.0,949.0,24574.0,,,23042.0,Apache Flink Python API.,1841.0,34,True,,,,apache-flink,,,,,21.0,21.0,https://pypi.org/project/apache-flink,110845.0,110845.0,,,,,,,,2.0,,,,,,,,,,,,,
130,PyTorch Geometric,pyg-team/pytorch_geometric,graph,,https://github.com/pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,MIT,2017-10-06 16:03:03.000,2024-03-29 16:17:07.000,2024-03-29 09:26:43,7453.0,174.0,3429.0,254.0,2912.0,799.0,2580.0,19919.0,Graph Neural Network Library for PyTorch.,490.0,34,True,2024-03-20 18:30:08,2.5.2,39.0,torch-geometric,conda-forge/pytorch_geometric,,,['pytorch'],,,https://pypi.org/project/torch-geometric,238664.0,239527.0,https://anaconda.org/conda-forge/pytorch_geometric,2024-02-22 16:44:15.527,38002.0,,,,,2.0,,,,,,,,,,,,,
131,Prophet,facebook/prophet,time-series-data,,https://github.com/facebook/prophet,https://github.com/facebook/prophet,MIT,2016-11-16 01:50:08.000,2024-03-18 22:48:00.000,2023-10-18 07:33:05,791.0,,4399.0,437.0,440.0,381.0,1725.0,17659.0,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear..,173.0,34,True,2023-10-10 12:57:04,1.1.5,16.0,fbprophet,conda-forge/prophet,,,,21.0,21.0,https://pypi.org/project/fbprophet,797441.0,830136.0,https://anaconda.org/conda-forge/prophet,2023-10-20 01:36:39.935,1143365.0,,,,,1.0,2407.0,,,,,,,,,,,,
132,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2024-02-06 22:23:52.000,2023-08-20 17:38:53,890.0,,1120.0,320.0,267.0,49.0,343.0,12599.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,88.0,34,True,2023-06-14 16:34:48,1.17.3,21.0,annoy,conda-forge/python-annoy,,,,3695.0,3695.0,https://pypi.org/project/annoy,1251541.0,1260795.0,https://anaconda.org/conda-forge/python-annoy,2023-09-25 04:57:08.085,388686.0,,,,,2.0,,,,,,,,,,,,,
133,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2024-03-26 22:34:02.000,2024-03-26 22:34:00,3786.0,47.0,864.0,138.0,170.0,101.0,989.0,11734.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",94.0,34,True,2024-03-20 21:35:08,16.1.2,46.0,ocrmypdf,conda-forge/ocrmypdf,,,,772.0,772.0,https://pypi.org/project/ocrmypdf,83661.0,85733.0,https://anaconda.org/conda-forge/ocrmypdf,2023-06-16 19:24:58.228,62030.0,,,,,2.0,2774.0,,,,,,ocrmypdf,ocrmypdf,,,,,
134,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23.000,2024-03-27 18:43:18.000,2024-03-11 09:45:00,6030.0,10.0,3204.0,241.0,1521.0,1052.0,3864.0,10372.0,Open-source simulator for autonomous driving research.,171.0,34,True,2023-11-11 12:51:52,0.9.15,26.0,carla,,,,,672.0,672.0,https://pypi.org/project/carla,19837.0,19837.0,,,,,,,,1.0,,,,,,,,,,,,,
135,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2024-02-11 06:38:37.000,2024-02-11 06:36:31,669.0,6.0,325.0,69.0,107.0,28.0,136.0,7835.0,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others).",26.0,34,True,2023-10-01 01:13:00,0.7.0,13.0,einops,conda-forge/einops,,,,29833.0,29833.0,https://pypi.org/project/einops,6969417.0,6974128.0,https://anaconda.org/conda-forge/einops,2023-10-01 10:01:09.036,193163.0,,,,,2.0,,,,,,,,,,,,,
136,trl,huggingface/trl,reinforcement-learning,,https://github.com/huggingface/trl,https://github.com/huggingface/trl,Apache-2.0,2020-03-27 10:54:55.000,2024-03-28 11:30:40.000,2024-03-27 09:47:42,671.0,126.0,905.0,71.0,658.0,69.0,759.0,7766.0,Train transformer language models with reinforcement learning.,158.0,34,True,2024-03-20 10:39:16,0.8.1,28.0,trl,,,,,1683.0,1683.0,https://pypi.org/project/trl,354424.0,354424.0,,,,,,,,2.0,,,,,,,,,,,,,
137,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2024-03-29 16:05:55.000,2024-03-29 14:48:02,19545.0,665.0,470.0,52.0,2794.0,426.0,994.0,6573.0,"Visualize, create, and debug image and video datasets and model predictions.",117.0,34,True,2024-03-21 20:29:36,0.23.7,84.0,fiftyone,,,,"['tensorflow', 'pytorch', 'jupyter']",521.0,521.0,https://pypi.org/project/fiftyone,56107.0,56107.0,,,,,,,,2.0,,,,,,,,,,,,,
138,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2024-03-28 13:07:53.000,2024-03-28 13:07:48,2332.0,70.0,617.0,94.0,253.0,439.0,531.0,5173.0,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline,..",93.0,34,True,2024-02-21 14:44:28,1.14.4,95.0,clearml,,allegroai/trains,,,1012.0,1012.0,https://pypi.org/project/clearml,304622.0,305192.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30237.0,2.0,2299.0,,,,,,,,,,,,
139,PyQtGraph,pyqtgraph/pyqtgraph,data-viz,,https://github.com/pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,,2013-09-12 07:18:21.000,2024-03-28 17:41:17.000,2024-03-16 12:24:21,3946.0,69.0,1034.0,152.0,1599.0,356.0,873.0,3642.0,Fast data visualization and GUI tools for scientific / engineering applications.,275.0,34,True,2024-03-07 18:06:04,pyqtgraph-0.13.4,14.0,pyqtgraph,conda-forge/pyqtgraph,,,,9098.0,9098.0,https://pypi.org/project/pyqtgraph,235904.0,247305.0,https://anaconda.org/conda-forge/pyqtgraph,2024-03-07 20:24:16.458,513055.0,,,,,2.0,,,,,,,,,,,,,
140,BoTorch,pytorch/botorch,hyperopt,,https://github.com/pytorch/botorch,https://github.com/pytorch/botorch,MIT,2018-07-30 23:59:57.000,2024-03-29 13:15:07.000,2024-03-21 23:43:21,1826.0,61.0,356.0,56.0,1567.0,52.0,409.0,2929.0,Bayesian optimization in PyTorch.,110.0,34,True,2024-02-27 05:58:28,0.10.0,42.0,botorch,conda-forge/botorch,,,['pytorch'],916.0,916.0,https://pypi.org/project/botorch,167823.0,170171.0,https://anaconda.org/conda-forge/botorch,2024-02-27 09:02:55.942,100983.0,,,,,1.0,,,,,,,,,,,,,
141,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2024-03-07 12:10:22.000,2024-03-07 12:10:22,2293.0,14.0,535.0,69.0,481.0,242.0,702.0,2271.0,Survival analysis in Python.,117.0,34,True,2024-01-03 22:00:43,0.28.0,100.0,lifelines,conda-forge/lifelines,,,,2309.0,2309.0,https://pypi.org/project/lifelines,489667.0,496570.0,https://anaconda.org/conda-forge/lifelines,2023-09-13 16:31:11.545,317570.0,,,,,2.0,,,,,,,,,,,,,
142,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2024-03-29 07:16:31.000,2024-03-27 17:11:13,2920.0,141.0,286.0,68.0,1647.0,34.0,601.0,2248.0,Adaptive Experimentation Platform.,167.0,34,True,2024-03-01 16:10:42,0.3.7,39.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],681.0,681.0,https://pypi.org/project/ax-platform,134820.0,135360.0,https://anaconda.org/conda-forge/ax-platform,2024-03-02 16:28:38.668,17833.0,,,,,1.0,,,,,,,,,,,,,
143,PennyLane,PennyLaneAI/PennyLane,others,,https://github.com/PennyLaneAI/pennylane,https://github.com/PennyLaneAI/pennylane,Apache-2.0,2018-04-17 16:45:42.000,2024-03-29 03:17:43.000,2024-03-28 21:49:11,4035.0,226.0,528.0,47.0,4295.0,214.0,921.0,2084.0,PennyLane is a cross-platform Python library for differentiable programming of quantum computers. Train a quantum..,164.0,34,True,2024-03-11 21:09:24,0.35.1,56.0,pennylane,conda-forge/pennylane,,,,805.0,805.0,https://pypi.org/project/pennylane,56404.0,57713.0,https://anaconda.org/conda-forge/pennylane,2024-03-19 12:55:56.428,36645.0,,,,,1.0,73.0,,,,,,,,,,,,
144,snakemake,snakemake/snakemake,ml-experiments,,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2015-10-17 15:43:54.867,2024-03-28 21:05:40.916,2024-03-27 20:46:43,5127.0,155.0,483.0,20.0,1226.0,938.0,622.0,2083.0,"This is the development home of the workflow management system Snakemake. For general information, see.",320.0,34,True,2024-03-27 20:47:16,8.10.4,248.0,snakemake,bioconda/snakemake,,,,1913.0,1913.0,https://pypi.org/project/snakemake,186549.0,196479.0,https://anaconda.org/bioconda/snakemake,2024-03-28 21:05:40.916,1002952.0,,,,,2.0,,,,,,,,,,,,,
145,optimum,huggingface/optimum,gpu-utilities,,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,Apache-2.0,2021-07-20 12:36:40.000,2024-03-29 13:26:39.000,2024-03-29 13:26:39,1001.0,80.0,344.0,54.0,1150.0,231.0,388.0,2070.0,Accelerate training and inference of Transformers and Diffusers with easy to use hardware optimization tools.,101.0,34,True,2024-03-25 13:32:21,1.18.0,52.0,optimum,conda-forge/optimum,,,,1954.0,1954.0,https://pypi.org/project/optimum,1033595.0,1034115.0,https://anaconda.org/conda-forge/optimum,2024-03-25 13:36:48.402,11966.0,,,,,1.0,,,,,,,,,,,,,
146,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,,2010-07-22 16:28:30.000,2024-03-29 14:11:10.000,2024-03-27 13:34:30,5811.0,46.0,250.0,37.0,799.0,101.0,400.0,619.0,Python package to access a cacophony of neuro-imaging file formats.,103.0,34,True,2024-02-27 04:17:30,5.2.1,40.0,nibabel,conda-forge/nibabel,,,,17878.0,17878.0,https://pypi.org/project/nibabel,497961.0,513224.0,https://anaconda.org/conda-forge/nibabel,2024-02-27 14:41:50.570,686861.0,,,,,2.0,,,,,,,,,,,,,
147,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2024-03-29 11:36:30.000,2024-03-29 06:12:29,3047.0,122.0,4192.0,376.0,3757.0,362.0,1184.0,37541.0,"Making large AI models cheaper, faster and more accessible.",174.0,33,True,2024-03-07 15:38:25,0.3.6,36.0,,,,,,309.0,309.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
148,MindsDB,mindsdb/mindsdb,ml-frameworks,,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45.000,2024-03-29 12:40:26.000,2024-03-28 13:14:13,17628.0,975.0,2635.0,378.0,4818.0,363.0,3367.0,20815.0,The platform for customizing AI from enterprise data.,823.0,33,True,2024-03-26 10:44:05,24.3.5.0,100.0,mindsdb,,,,['pytorch'],,,https://pypi.org/project/mindsdb,16455.0,16455.0,,,,,,,,3.0,,,,,,,,,,,,,
149,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000,2020-10-14 16:36:49,6226.0,,4139.0,1006.0,1869.0,325.0,658.0,17002.0,"Zipline, a Pythonic Algorithmic Trading Library.",160.0,33,False,2020-10-05 15:43:07,1.4.1,13.0,zipline,conda-forge/zipline,,,,988.0,988.0,https://pypi.org/project/zipline,2859.0,3037.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,7494.0,,,,,1.0,,,,,,,,,,,,,
150,horovod,horovod/horovod,distributed-ml,,https://github.com/horovod/horovod,https://github.com/horovod/horovod,,2017-08-09 19:39:59.000,2024-03-27 20:19:41.000,2024-03-25 12:37:43,1333.0,2.0,2157.0,335.0,1588.0,367.0,1857.0,13899.0,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",172.0,33,True,2023-06-12 09:26:22,0.28.1,24.0,horovod,,,,,1116.0,1116.0,https://pypi.org/project/horovod,59942.0,59942.0,,,,,,,,2.0,,,,,,stable/horovod,,,,,,,
151,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2024-03-07 11:44:47.000,2023-10-26 05:31:53,3012.0,,1768.0,285.0,3504.0,373.0,1680.0,13678.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",192.0,33,True,2023-09-14 12:12:06,3.0,40.0,nni,,,,,602.0,602.0,https://pypi.org/project/nni,15661.0,15661.0,,,,,,,,2.0,,,,,,,,,,,,,
152,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2024-01-02 11:17:53.000,2024-01-02 11:17:47,862.0,3.0,1271.0,419.0,85.0,32.0,159.0,9685.0,TensorFlow-based neural network library.,58.0,33,True,2024-01-02 11:08:14,2.0.2,13.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],1258.0,1258.0,https://pypi.org/project/dm-sonnet,24840.0,25361.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,27112.0,,,,,3.0,,google-deepmind/sonnet,,,,,,,,,,,
153,TPOT,EpistasisLab/tpot,hyperopt,,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40.000,2024-02-26 15:57:08.680,2024-02-23 19:03:07,2440.0,6.0,1511.0,289.0,430.0,279.0,637.0,9469.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,121.0,33,True,2024-02-23 19:05:48,0.12.2,30.0,tpot,conda-forge/tpot,,,['sklearn'],2667.0,2667.0,https://pypi.org/project/tpot,39626.0,45092.0,https://anaconda.org/conda-forge/tpot,2024-02-26 15:57:08.680,245978.0,,,,,2.0,,,,,,,,,,,,,
154,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2024-03-20 22:02:13.000,2024-03-20 22:02:12,1391.0,4.0,1379.0,303.0,894.0,132.0,759.0,9052.0,AutoML library for deep learning.,143.0,33,True,2024-03-20 21:24:21,2.0.0,59.0,autokeras,,,,['tensorflow'],654.0,654.0,https://pypi.org/project/autokeras,21922.0,22157.0,,,,,,,,2.0,17934.0,,,,,,,,,,,,
155,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,ml-frameworks,,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000,2024-03-28 15:39:12.000,2024-03-21 15:41:34,10411.0,13.0,1864.0,350.0,3422.0,128.0,1134.0,8399.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,336.0,33,True,2023-07-19 14:18:35,9.9.0,29.0,vowpalwabbit,conda-forge/vowpalwabbit,,,,,,https://pypi.org/project/vowpalwabbit,71341.0,74800.0,https://anaconda.org/conda-forge/vowpalwabbit,2024-03-26 18:31:32.556,141824.0,,,,,3.0,,,,,,,,,,,,,
