,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
98,Rasterio,rasterio/rasterio,geospatial-data,,https://github.com/rasterio/rasterio,https://github.com/rasterio/rasterio,,2013-11-04 16:36:27.000,2025-12-11 18:16:47.000000,2025-12-11 18:16:46,4000.0,542.0,141.0,1343.0,151.0,1757.0,2456.0,Rasterio reads and writes geospatial raster datasets.,172.0,37,True,44.0,2024-12-02 16:44:51,1.4.3,85.0,,rasterio,conda-forge/rasterio,,,,18888.0,18888.0,https://pypi.org/project/rasterio,3250511.0,3343344.0,https://anaconda.org/conda-forge/rasterio,2025-09-17 18:20:14.801,5476728.0,,,,,2.0,1024.0,,,,,2.0,,,,,
99,pyproj,pyproj4/pyproj,geospatial-data,,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000,2025-12-11 13:54:21.000000,2025-12-11 13:52:55,1665.0,227.0,33.0,765.0,42.0,621.0,1178.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,74.0,37,True,21.0,2025-08-14 11:03:43,3.7.2,59.0,,pyproj,conda-forge/pyproj,,,,46971.0,46971.0,https://pypi.org/project/pyproj,15026767.0,15210190.0,https://anaconda.org/conda-forge/pyproj,2025-09-15 17:28:23.877,11922514.0,,,,,2.0,,,,,,,,,,,
100,agno,agno-agi/agno,agents,,https://github.com/agno-agi/agno,https://github.com/agno-agi/agno,Apache-2.0,2022-05-04 15:23:02.000,2025-12-11 18:04:12.000000,2025-12-11 17:10:06,4765.0,4711.0,223.0,3084.0,173.0,1540.0,35917.0,The unified stack for multi-agent systems.,359.0,36,True,690.0,2025-12-11 17:11:59,2.3.11,100.0,,agno,,,,,,,https://pypi.org/project/agno,907693.0,907693.0,,,,,,,,3.0,,,,,,,,,,,
101,fairseq,facebookresearch/fairseq,nlp,,https://github.com/facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,MIT,2017-08-29 16:26:12.000,2025-11-26 21:03:41.481000,2025-09-30 11:16:06,2330.0,6396.0,420.0,1371.0,1197.0,3058.0,32025.0,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,432.0,36,True,1.0,2022-06-27 19:32:58,0.12.2,16.0,,fairseq,conda-forge/fairseq,,,['pytorch'],4392.0,4392.0,https://pypi.org/project/fairseq,90300.0,92957.0,https://anaconda.org/conda-forge/fairseq,2025-11-26 21:03:41.481,172488.0,,,,,2.0,444.0,,,,,,,,,,
102,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2025-12-10 20:31:23.000000,2025-12-10 19:56:20,9545.0,3016.0,309.0,267.0,19.0,1219.0,31997.0,"Visualizer for neural network, deep learning and machine learning models.",,36,True,244.0,2025-12-05 14:36:41,8.7.7,3.0,,netron,,,,"['pytorch', 'tensorflow']",13.0,13.0,https://pypi.org/project/netron,43664.0,173493.0,,,,,,,,1.0,129829.0,,,,,,,,,,
103,chroma,chroma-core/chroma,nn-search,,https://github.com/chroma-core/chroma,https://github.com/chroma-core/chroma,Apache-2.0,2022-10-05 17:58:44.000,2025-12-11 18:48:06.000000,2025-12-11 17:28:21,3761.0,1942.0,120.0,4454.0,269.0,1280.0,24862.0,Open-source search and retrieval database for AI applications.,172.0,36,True,380.0,2025-12-10 05:26:15,1.3.6,100.0,,chromadb,,,,,,,https://pypi.org/project/chromadb,8922916.0,8923034.0,,,,,,,,2.0,3905.0,,,,,,,,,,
104,opik,comet-ml/opik,nlp,,https://github.com/comet-ml/opik,https://github.com/comet-ml/opik,Apache-2.0,2023-05-10 12:57:13.000,2025-12-11 18:08:54.000000,2025-12-11 14:00:18,3918.0,1221.0,110.0,3876.0,80.0,451.0,16676.0,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing,..",97.0,36,True,1128.0,2025-12-11 10:31:30,1.9.46,100.0,,opik,,,,,18.0,18.0,https://pypi.org/project/opik,1345980.0,1345980.0,,,,,,,,2.0,,,,,,,,,,,
105,imgaug,aleju/imgaug,image,,https://github.com/aleju/imgaug,https://github.com/aleju/imgaug,MIT,2015-07-10 20:31:33.000,2025-04-22 14:57:06.395000,2020-06-01 14:58:26,2913.0,2430.0,223.0,350.0,290.0,227.0,14715.0,Image augmentation for machine learning experiments.,36.0,36,False,,2020-02-06 06:18:40,0.4.0,3.0,,imgaug,conda-forge/imgaug,,,,26356.0,26356.0,https://pypi.org/project/imgaug,2889312.0,2892457.0,https://anaconda.org/conda-forge/imgaug,2025-04-22 14:57:06.395,245370.0,,,,,2.0,,,,,,,,,,,
106,dgl,dmlc/dgl,graph,,https://github.com/dmlc/dgl,https://github.com/dmlc/dgl,Apache-2.0,2018-04-20 14:49:09.000,2025-07-31 23:53:10.000000,2025-07-31 23:53:10,4417.0,2977.0,169.0,5077.0,460.0,2362.0,14170.0,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",298.0,36,True,,2024-09-03 04:16:25,2.4.0,39.0,,dgl,,,,,4160.0,4160.0,https://pypi.org/project/dgl,300371.0,300371.0,,,,,,,,1.0,,,,,,,,,,,
107,ydata-profiling,ydataai/ydata-profiling,data-viz,,https://github.com/ydataai/ydata-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2025-12-11 03:00:41.000000,2025-11-21 04:44:22,1580.0,1737.0,148.0,905.0,257.0,594.0,13300.0,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,140.0,36,True,5.0,2025-11-21 05:03:56,4.18.0,75.0,,ydata-profiling,conda-forge/ydata-profiling,,,"['jupyter', 'pandas']",6958.0,6958.0,https://pypi.org/project/ydata-profiling,1370172.0,1372617.0,https://anaconda.org/conda-forge/ydata-profiling,2025-11-22 01:25:00.648,83011.0,,,,,2.0,519.0,,,,,,,,,,
108,AutoGluon,autogluon/autogluon,hyperopt,,https://github.com/autogluon/autogluon,https://github.com/autogluon/autogluon,Apache-2.0,2019-07-29 18:51:24.000,2025-12-11 14:07:07.000000,2025-12-11 14:07:07,2759.0,1084.0,96.0,3130.0,356.0,1391.0,9705.0,Fast and Accurate ML in 3 Lines of Code.,146.0,36,True,82.0,2025-07-29 05:11:55,1.4.0,37.0,,autogluon,,autogluon/autogluon,https://auto.gluon.ai,"['pytorch', 'sklearn']",1223.0,1223.0,https://pypi.org/project/autogluon,193084.0,193357.0,,,,https://hub.docker.com/r/autogluon/autogluon,2025-06-16 23:01:47.182920,19.0,21089.0,1.0,,,,,,,,,,,
109,Pydub,jiaaro/pydub,audio,,https://github.com/jiaaro/pydub,https://github.com/jiaaro/pydub,MIT,2011-05-02 18:42:38.000,2025-07-26 22:24:06.000000,2022-12-08 17:49:19,746.0,1108.0,133.0,253.0,338.0,276.0,9671.0,Manipulate audio with a simple and easy high level interface.,95.0,36,False,,2021-03-10 02:10:41,0.25.1,31.0,,pydub,conda-forge/pydub,,,,107467.0,107467.0,https://pypi.org/project/pydub,13317309.0,13321247.0,https://anaconda.org/conda-forge/pydub,2025-04-22 14:56:58.184,224515.0,,,,,1.0,,,,,,,,,,,
110,BentoML,bentoml/BentoML,model-serialisation,,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27.000,2025-12-11 09:07:08.000000,2025-12-11 09:07:08,3703.0,887.0,78.0,4094.0,134.0,1004.0,8300.0,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines,..",225.0,36,True,44.0,2025-11-27 03:15:11,1.4.30,100.0,,bentoml,,,,,2798.0,2798.0,https://pypi.org/project/bentoml,206622.0,206623.0,,,,,,,,2.0,35.0,,,,,,,,,,
111,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2025-12-10 22:25:41.000000,2025-12-10 22:11:14,1853.0,650.0,57.0,2031.0,113.0,1293.0,4719.0,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,228.0,36,True,18.0,2025-10-16 00:39:26,0.5.3,26.0,,pytorch-ignite,pytorch/ignite,,,['pytorch'],3954.0,3954.0,https://pypi.org/project/pytorch-ignite,206424.0,209236.0,https://anaconda.org/pytorch/ignite,2025-10-16 14:12:34.115,253151.0,,,,,2.0,,,,,,,,,,,
112,PyQtGraph,pyqtgraph/pyqtgraph,data-viz,,https://github.com/pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,,2013-09-12 07:18:21.000,2025-12-11 13:06:24.000000,2025-12-08 16:15:20,4484.0,1119.0,154.0,1895.0,432.0,935.0,4254.0,Fast data visualization and GUI tools for scientific / engineering applications.,311.0,36,True,105.0,2025-11-16 19:42:01,pyqtgraph-0.14.0,18.0,,pyqtgraph,conda-forge/pyqtgraph,,,,13136.0,13136.0,https://pypi.org/project/pyqtgraph,691724.0,705659.0,https://anaconda.org/conda-forge/pyqtgraph,2025-11-19 10:58:06.682,919761.0,,,,,2.0,,,,,,,,,,,
113,BoTorch,pytorch/botorch,hyperopt,,https://github.com/meta-pytorch/botorch,https://github.com/meta-pytorch/botorch,MIT,2018-07-30 23:59:57.000,2025-12-11 04:45:52.000000,2025-12-11 04:43:17,2362.0,448.0,47.0,2145.0,66.0,535.0,3425.0,Bayesian optimization in PyTorch.,151.0,36,True,67.0,2025-11-21 16:19:36,0.16.1,52.0,meta-pytorch/botorch,botorch,conda-forge/botorch,,,['pytorch'],1798.0,1798.0,https://pypi.org/project/botorch,911189.0,914078.0,https://anaconda.org/conda-forge/botorch,2025-11-21 18:29:29.931,184920.0,,,,,1.0,,,,,,,,,,,
114,ArcGIS API,Esri/arcgis-python-api,geospatial-data,,https://github.com/Esri/arcgis-python-api,https://github.com/Esri/arcgis-python-api,Apache-2.0,2016-03-16 01:09:14.000,2025-12-11 08:25:55.000000,2025-11-21 07:04:38,5356.0,1126.0,151.0,1499.0,68.0,850.0,2096.0,Documentation and samples for ArcGIS API for Python.,99.0,36,True,77.0,2025-10-13 15:02:36,2.4.2,38.0,,arcgis,,esridocker/arcgis-api-python-notebook,,,1011.0,1011.0,https://pypi.org/project/arcgis,164773.0,164923.0,,,,https://hub.docker.com/r/esridocker/arcgis-api-python-notebook,,,,2.0,16679.0,,,,,,,,,,
115,arviz,arviz-devs/arviz,interpretability,,https://github.com/arviz-devs/arviz,https://github.com/arviz-devs/arviz,Apache-2.0,2015-07-29 11:51:10.000,2025-12-09 18:13:42.000000,2025-10-22 12:15:27,1625.0,458.0,50.0,1581.0,168.0,731.0,1763.0,Exploratory analysis of Bayesian models with Python.,184.0,36,True,14.0,2025-07-09 09:38:55,0.22.0,40.0,,arviz,conda-forge/arviz,,,,11548.0,11548.0,https://pypi.org/project/arviz,3200828.0,3238705.0,https://anaconda.org/conda-forge/arviz,2025-11-07 10:49:47.027,2537638.0,,,,,1.0,192.0,,,,,,,,,,
116,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2025-04-22 14:57:35.730000,2022-06-10 09:12:18,238.0,13464.0,1551.0,250.0,778.0,598.0,55874.0,The worlds simplest facial recognition api for Python and the command line.,54.0,35,False,,2018-04-02 17:18:43,1.2.2,2.0,,face_recognition,conda-forge/face_recognition,,,['pytorch'],5573.0,5573.0,https://pypi.org/project/face_recognition,218534.0,219184.0,https://anaconda.org/conda-forge/face_recognition,2025-04-22 14:57:35.730,40165.0,,,,,2.0,1438.0,,,,,,,,,,
117,Coqui TTS,coqui-ai/TTS,audio,,https://github.com/coqui-ai/TTS,https://github.com/coqui-ai/TTS,MPL-2.0,2020-05-20 15:45:28.000,2025-04-22 14:58:02.848000,2024-02-10 14:20:58,4668.0,5411.0,334.0,774.0,9.0,1205.0,43826.0,"- a deep learning toolkit for Text-to-Speech, battle-tested in research and production.",166.0,35,False,,2023-12-12 15:11:16,0.22.0,98.0,,tts,conda-forge/tts,,,"['pytorch', 'tensorflow']",3612.0,3612.0,https://pypi.org/project/tts,226328.0,339431.0,https://anaconda.org/conda-forge/tts,2025-04-22 14:58:02.848,31259.0,,,,,2.0,6411253.0,,,,,,,,,,
118,crewAI,crewAIInc/crewAI,agents,,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,MIT,2023-10-27 03:26:59.000,2025-12-11 18:12:14.000000,2025-12-11 17:56:00,1867.0,5492.0,332.0,2169.0,40.0,1592.0,41267.0,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI..",270.0,35,True,180.0,2025-12-09 00:42:42,1.7.0,100.0,,crewai,,,,,,,https://pypi.org/project/crewai,2655959.0,2655959.0,,,,,,,,3.0,,,,,,-7.0,,,,,
119,trl,huggingface/trl,reinforcement-learning,,https://github.com/huggingface/trl,https://github.com/huggingface/trl,Apache-2.0,2020-03-27 10:54:55.000,2025-12-11 17:03:18.000000,2025-12-11 15:41:02,2130.0,2308.0,96.0,2425.0,530.0,1657.0,16613.0,Train transformer language models with reinforcement learning.,421.0,35,True,362.0,2025-12-09 20:51:12,0.26.0,69.0,,trl,,,,,1.0,1.0,https://pypi.org/project/trl,2521562.0,2521562.0,,,,,,,,2.0,,,,,,,,,,,
120,flair,flairNLP/flair,nlp,,https://github.com/flairNLP/flair,https://github.com/flairNLP/flair,,2018-06-11 11:04:18.000,2025-10-27 18:11:31.000000,2025-06-12 19:41:27,6684.0,1758.0,193.0,1299.0,17.0,2370.0,14333.0,A very simple framework for state-of-the-art Natural Language Processing (NLP).,277.0,35,True,,2025-02-05 14:46:22,0.15.1,28.0,,flair,conda-forge/python-flair,,,['pytorch'],4103.0,4103.0,https://pypi.org/project/flair,184998.0,185777.0,https://anaconda.org/conda-forge/python-flair,2025-04-22 14:57:32.879,50680.0,,,,,2.0,,,,,,,,,,,
121,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2025-10-29 14:08:37.000000,2025-10-29 14:08:37,911.0,1203.0,306.0,272.0,62.0,346.0,14086.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,90.0,35,True,4.0,2023-06-14 16:34:48,1.17.3,22.0,,annoy,conda-forge/python-annoy,,,,5388.0,5388.0,https://pypi.org/project/annoy,949102.0,962443.0,https://anaconda.org/conda-forge/python-annoy,2025-09-01 16:14:20.560,840507.0,,,,,3.0,,,,,,,,,,,
122,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2025-12-11 18:08:31.000000,2025-12-10 21:33:02,42187.0,986.0,156.0,13452.0,1044.0,6310.0,9371.0,cuDF - GPU DataFrame Library.,311.0,35,True,587.0,2025-12-10 22:34:24,25.12.00,66.0,,cudf,,,,,64.0,64.0,https://pypi.org/project/cudf,4885.0,4885.0,,,,,,,,1.0,,,,,,,,,,,
123,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2025-11-24 08:47:28.000000,2025-11-24 08:46:32,715.0,383.0,63.0,145.0,33.0,170.0,9311.0,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others).",34.0,35,True,2.0,2025-02-09 03:16:30,0.8.1,15.0,,einops,conda-forge/einops,,,,83174.0,83174.0,https://pypi.org/project/einops,15679049.0,15687252.0,https://anaconda.org/conda-forge/einops,2025-04-22 14:57:12.206,508642.0,,,,,2.0,,,,,,,,,,,
124,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2025-11-25 02:26:35.000000,2025-11-25 02:26:35,1412.0,1386.0,292.0,905.0,154.0,761.0,9285.0,AutoML library for deep learning.,148.0,35,True,18.0,2025-11-12 02:53:04,3.0.0,60.0,,autokeras,,,,['tensorflow'],898.0,898.0,https://pypi.org/project/autokeras,21236.0,21468.0,,,,,,,,2.0,22592.0,,,,,,,,,,
125,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2025-11-02 17:15:16.000000,2025-06-13 01:59:41,551.0,846.0,81.0,301.0,80.0,378.0,7978.0,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",85.0,35,True,,2025-09-05 07:51:39,2.6.4,17.0,,tensorboardX,conda-forge/tensorboardx,,,,60134.0,60134.0,https://pypi.org/project/tensorboardX,4416973.0,4437798.0,https://anaconda.org/conda-forge/tensorboardx,2025-04-22 14:56:45.200,1353397.0,,,,,2.0,504.0,,,,,,,,,,
126,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2025-12-02 23:39:23.000000,2025-12-02 23:39:23,1266.0,722.0,121.0,1044.0,409.0,1167.0,5065.0,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",200.0,35,True,4.0,2025-11-10 22:22:40,9.0,45.0,,coremltools,conda-forge/coremltools,,,,5153.0,5153.0,https://pypi.org/project/coremltools,1146916.0,1148978.0,https://anaconda.org/conda-forge/coremltools,2025-10-02 17:11:25.139,117848.0,,,,,2.0,16129.0,,,,,,,,,,
127,plotnine,has2k1/plotnine,data-viz,,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,MIT,2017-04-24 19:00:44.000,2025-11-17 12:56:52.000000,2025-11-14 16:20:21,2668.0,241.0,62.0,168.0,82.0,681.0,4472.0,A Grammar of Graphics for Python.,114.0,35,True,22.0,2025-11-03 11:56:12,0.15.1,33.0,,plotnine,conda-forge/plotnine,,,,12733.0,12733.0,https://pypi.org/project/plotnine,3099510.0,3108344.0,https://anaconda.org/conda-forge/plotnine,2025-11-03 11:58:25.928,583103.0,,,,,2.0,,,,,,,,,,,
128,spark-nlp,JohnSnowLabs/spark-nlp,nlp,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44.000,2025-12-11 00:21:09.000000,2025-12-03 10:16:25,8993.0,724.0,98.0,13566.0,18.0,890.0,4080.0,State of the Art Natural Language Processing.,116.0,35,True,62.0,2025-12-03 11:22:57,6.2.3,100.0,,spark-nlp,,,,['spark'],617.0,617.0,https://pypi.org/project/spark-nlp,983236.0,983236.0,,,,,,,,2.0,,,,,,,,,,,
129,evaluate,huggingface/evaluate,interpretability,,https://github.com/huggingface/evaluate,https://github.com/huggingface/evaluate,Apache-2.0,2022-03-30 15:08:26.000,2025-11-14 15:09:17.000000,2025-11-14 15:09:14,987.0,298.0,40.0,391.0,182.0,148.0,2378.0,Evaluate: A library for easily evaluating machine learning models and datasets.,137.0,35,True,18.0,2025-09-18 13:07:20,0.4.6,14.0,,evaluate,,,,,23969.0,23969.0,https://pypi.org/project/evaluate,3675490.0,3675490.0,,,,,,,,1.0,,,,,,,,,,,
130,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,BSD-3-Clause,2012-08-03 07:43:59.000,2025-12-11 17:56:18.000000,2025-12-11 17:56:18,3253.0,385.0,54.0,1300.0,291.0,1023.0,1567.0,Cartopy - a cartographic python library with matplotlib support.,139.0,35,True,31.0,2025-08-01 12:38:13,0.25.0,28.0,,cartopy,conda-forge/cartopy,,,,8204.0,8204.0,https://pypi.org/project/cartopy,866614.0,953877.0,https://anaconda.org/conda-forge/cartopy,2025-10-27 17:10:02.090,5846638.0,,,,,2.0,,,,,,,,,,,
131,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,https://github.com/uxlfoundation/scikit-learn-intelex,https://github.com/uxlfoundation/scikit-learn-intelex,Apache-2.0,2018-08-07 06:45:41.000,2025-12-11 07:29:40.000000,2025-12-11 07:29:39,2411.0,178.0,23.0,2543.0,40.0,215.0,1323.0,Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,86.0,35,True,113.0,2025-12-10 15:38:28,2025.10.0,40.0,uxlfoundation/scikit-learn-intelex,scikit-learn-intelex,conda-forge/scikit-learn-intelex,,,['sklearn'],13809.0,13809.0,https://pypi.org/project/scikit-learn-intelex,143395.0,155354.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2025-10-30 14:44:54.034,669736.0,,,,,1.0,,,,,,,,,,,
132,Fiona,Toblerity/Fiona,geospatial-data,,https://github.com/Toblerity/Fiona,https://github.com/Toblerity/Fiona,BSD-3-Clause,2011-12-31 19:47:00.000,2025-12-04 19:11:25.676000,2025-02-20 23:53:44,1571.0,206.0,44.0,636.0,38.0,780.0,1212.0,Fiona reads and writes geographic data files.,78.0,35,True,,2024-09-16 20:20:31,1.10.1,51.0,,fiona,conda-forge/fiona,,,,26916.0,26916.0,https://pypi.org/project/fiona,5253954.0,5379451.0,https://anaconda.org/conda-forge/fiona,2025-12-04 19:11:25.676,8157306.0,,,,,2.0,,,,,,,,,,,
133,unsloth,unslothai/unsloth,nlp,,https://github.com/unslothai/unsloth,https://github.com/unslothai/unsloth,Apache-2.0,2023-11-29 16:50:09.000,2025-12-11 07:15:59.000000,2025-12-11 07:15:59,3071.0,4041.0,279.0,813.0,801.0,1976.0,49297.0,"Fine-tuning & Reinforcement Learning for LLMs. Train OpenAI gpt-oss, DeepSeek-R1, Qwen3, Gemma 3, TTS 2x faster with..",108.0,34,True,274.0,2025-11-25 16:24:13,November-2025,21.0,,unsloth,,,,,,,https://pypi.org/project/unsloth,899730.0,899735.0,,,,,,,,2.0,91.0,,,,,,,,,,
134,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2025-11-17 18:59:38.000000,2025-11-17 18:57:02,1556.0,7507.0,389.0,718.0,470.0,3092.0,33802.0,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",282.0,34,True,4.0,2021-11-15 22:08:26,0.6,10.0,,detectron2,conda-forge/detectron2,,,['pytorch'],2590.0,2590.0,https://pypi.org/project/detectron2,,13266.0,https://anaconda.org/conda-forge/detectron2,2025-11-06 17:31:00.804,862309.0,,,,,2.0,,,,,,,,,,,
135,EasyOCR,JaidedAI/EasyOCR,ocr,,https://github.com/JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39.000,2025-12-05 12:23:12.000000,2025-12-05 12:23:12,619.0,3453.0,326.0,280.0,471.0,609.0,28539.0,"Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic,..",129.0,34,True,1.0,2024-09-24 11:24:36,1.7.2,23.0,,easyocr,,,,,16865.0,16865.0,https://pypi.org/project/easyocr,1551355.0,2027495.0,,,,,,,,2.0,31425261.0,,,,,,,,,,
136,InsightFace,deepinsight/insightface,image,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51.000,2025-11-25 04:00:35.000000,2025-11-25 04:00:35,2386.0,5779.0,509.0,200.0,1208.0,1394.0,27286.0,State-of-the-art 2D and 3D Face Analysis Project.,67.0,34,True,15.0,2023-04-02 07:43:27,0.7,1.0,,insightface,,,,['mxnet'],4834.0,4834.0,https://pypi.org/project/insightface,360747.0,709105.0,,,,,,,,2.0,11147483.0,,,,,,,,,,
137,PyFlink,apache/flink,ml-frameworks,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10.000,2025-12-10 07:06:00.000000,2025-12-10 07:05:59,37337.0,13356.0,929.0,27323.0,,,25589.0,Apache Flink Python API.,2057.0,34,True,250.0,,,,,apache-flink,,,,,21.0,21.0,https://pypi.org/project/apache-flink,181382.0,181382.0,,,,,,,,2.0,,,,,,,,,,,
138,horovod,horovod/horovod,distributed-ml,,https://github.com/horovod/horovod,https://github.com/horovod/horovod,,2017-08-09 19:39:59.000,2025-12-01 23:39:32.000000,2025-11-02 20:48:47,1348.0,2206.0,325.0,1625.0,380.0,1869.0,14642.0,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",176.0,34,True,4.0,2023-06-12 09:26:22,0.28.1,24.0,,horovod,,,,,1444.0,1444.0,https://pypi.org/project/horovod,72847.0,72847.0,,,,,,,,2.0,,,,,stable/horovod,,,,,,
139,PyCaret,pycaret/pycaret,hyperopt,,https://github.com/pycaret/pycaret,https://github.com/pycaret/pycaret,MIT,2019-11-23 18:40:48.000,2025-04-22 14:57:34.170000,2025-03-06 20:05:48,5371.0,1822.0,135.0,1070.0,388.0,1958.0,9638.0,"An open-source, low-code machine learning library in Python.",142.0,34,True,,2024-04-28 18:46:27,3.3.2,29.0,,pycaret,conda-forge/pycaret,,,,7895.0,7895.0,https://pypi.org/project/pycaret,413489.0,414755.0,https://anaconda.org/conda-forge/pycaret,2025-04-22 14:57:34.170,80323.0,,,,,2.0,734.0,,,,,,,,,,
140,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/bayesian-optimization/BayesianOptimization,https://github.com/bayesian-optimization/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2025-09-09 17:00:56.000000,2025-09-09 16:58:19,414.0,1530.0,128.0,200.0,7.0,386.0,8496.0,A Python implementation of global optimization with gaussian processes.,52.0,34,True,,2025-07-24 15:58:31,3.1.0,24.0,bayesian-optimization/BayesianOptimization,bayesian-optimization,,,,,4101.0,4101.0,https://pypi.org/project/bayesian-optimization,676393.0,676394.0,,,,,,,,2.0,177.0,,,,,,,,,,
141,stanza,stanfordnlp/stanza,nlp,,https://github.com/stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,,2017-09-26 08:00:56.000,2025-12-11 16:32:06.000000,2025-10-05 06:05:36,4995.0,901.0,136.0,533.0,93.0,854.0,7685.0,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages.",72.0,34,True,46.0,2025-10-05 06:45:12,1.11.0,29.0,,stanza,stanfordnlp/stanza,,,,4136.0,4136.0,https://pypi.org/project/stanza,738884.0,739016.0,https://anaconda.org/stanfordnlp/stanza,2025-03-25 16:28:39.162,9123.0,,,,,2.0,,,,,,,,,,,
142,ClearML,allegroai/clearml,ml-experiments,,https://github.com/clearml/clearml,https://github.com/clearml/clearml,Apache-2.0,2019-06-10 08:18:32.000,2025-12-08 16:52:30.000000,2025-12-08 15:44:56,2589.0,718.0,90.0,309.0,531.0,646.0,6406.0,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline,..",107.0,34,True,32.0,2025-12-08 16:52:30,2.1.0,100.0,clearml/clearml,clearml,,allegroai/trains,,,1917.0,1917.0,https://pypi.org/project/clearml,484482.0,484931.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,31495.0,2.0,3472.0,,,,,,,,,,
