,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,maven_id,maven_url
180,spleeter,deezer/spleeter,audio,,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter,MIT,2019-09-26 15:40:46.000,2024-10-29 16:47:11.000000,2024-10-29 16:47:10,533.0,2.0,2849.0,386.0,125.0,216.0,561.0,26017.0,Deezer source separation library including pretrained models.,21.0,31,True,2021-09-03 09:59:00,2.3.0,10.0,spleeter,conda-forge/spleeter,,,['tensorflow'],844.0,844.0,https://pypi.org/project/spleeter,25302.0,84834.0,https://anaconda.org/conda-forge/spleeter,2023-06-16 16:18:57.741,98109.0,,,,,2.0,3591332.0,,,,,,,,,,,
181,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000000,2020-10-14 16:36:49,6226.0,,4208.0,1016.0,1869.0,327.0,658.0,17772.0,"Zipline, a Pythonic Algorithmic Trading Library.",161.0,31,False,2020-10-05 15:43:07,1.4.1,13.0,zipline,conda-forge/zipline,,,,1019.0,1019.0,https://pypi.org/project/zipline,,179.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,9177.0,,,,,1.0,,,,,,,,,,,,
182,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2024-11-14 10:24:59.000000,2024-11-14 10:24:54,866.0,2.0,1288.0,423.0,90.0,32.0,161.0,9787.0,TensorFlow-based neural network library.,59.0,31,True,2024-01-02 11:08:14,2.0.2,13.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],1361.0,1361.0,https://pypi.org/project/dm-sonnet,18825.0,19423.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,36528.0,,,,,3.0,,google-deepmind/sonnet,,,,,,,,,,
183,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,ml-frameworks,,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000,2024-11-27 22:22:10.016000,2024-08-01 18:55:53,10421.0,,1862.0,352.0,3431.0,131.0,1140.0,8490.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,338.0,31,True,2024-08-01 19:02:07,9.10.0,30.0,vowpalwabbit,conda-forge/vowpalwabbit,,,,,,https://pypi.org/project/vowpalwabbit,,5041.0,https://anaconda.org/conda-forge/vowpalwabbit,2024-11-27 22:22:10.016,252078.0,,,,,3.0,,,,,,,,,,,,
184,tsfresh,blue-yonder/tsfresh,time-series-data,,https://github.com/blue-yonder/tsfresh,https://github.com/blue-yonder/tsfresh,MIT,2016-10-26 11:29:17.000,2024-11-19 20:01:46.000000,2024-11-19 20:01:46,563.0,3.0,1196.0,172.0,438.0,57.0,474.0,8477.0,Automatic extraction of relevant features from time series:.,98.0,31,True,2024-08-03 20:51:18,0.20.3,15.0,tsfresh,conda-forge/tsfresh,,,['sklearn'],21.0,21.0,https://pypi.org/project/tsfresh,239214.0,264773.0,https://anaconda.org/conda-forge/tsfresh,2024-08-04 02:13:02.666,1405768.0,,,,,2.0,,,,,,,,,,,,
185,featuretools,alteryx/featuretools,hyperopt,,https://github.com/alteryx/featuretools,https://github.com/alteryx/featuretools,BSD-3-Clause,2017-09-08 22:15:17.000,2024-12-02 21:04:05.000000,2024-11-13 18:39:43,1380.0,1.0,864.0,158.0,1733.0,148.0,865.0,7289.0,An open source python library for automated feature engineering.,74.0,31,True,2024-05-14 18:59:20,1.31.0,100.0,featuretools,conda-forge/featuretools,,,,1836.0,1836.0,https://pypi.org/project/featuretools,61233.0,65279.0,https://anaconda.org/conda-forge/featuretools,2024-05-15 15:26:44.535,218494.0,,,,,2.0,,,,,,,,,,,,
186,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2024-11-26 06:34:46.000000,2024-11-26 06:34:41,2711.0,1.0,1142.0,211.0,1051.0,25.0,615.0,6742.0,An open source library for deep learning end-to-end dialog systems and chatbots.,77.0,31,True,2024-08-12 17:09:11,1.7.0,64.0,deeppavlov,,,,['tensorflow'],419.0,419.0,https://pypi.org/project/deeppavlov,12225.0,12225.0,,,,,,,,2.0,,deeppavlov/DeepPavlov,,,,,,,,,,
187,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,,2014-12-17 18:16:59.000,2024-12-04 19:11:47.000000,2024-12-04 19:03:31,30549.0,228.0,1593.0,185.0,2220.0,13.0,1612.0,5137.0,"mlpack: a fast, header-only C++ machine learning library.",324.0,31,True,2024-12-04 19:12:30,4.5.1,49.0,mlpack,conda-forge/mlpack,,,,,,https://pypi.org/project/mlpack,,5096.0,https://anaconda.org/conda-forge/mlpack,2024-09-22 00:54:14.076,275209.0,,,,,3.0,,,,,,,,,,,,
188,ART,Trusted-AI/adversarial-robustness-toolbox,adversarial,,https://github.com/Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,MIT,2018-03-15 14:40:43.000,2024-11-27 07:42:42.000000,2024-11-18 12:14:35,12410.0,23.0,1145.0,99.0,1402.0,130.0,759.0,4928.0,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction,..",138.0,31,True,2024-10-02 21:30:21,1.18.2,59.0,adversarial-robustness-toolbox,conda-forge/adversarial-robustness-toolbox,,,,621.0,621.0,https://pypi.org/project/adversarial-robustness-toolbox,,1042.0,https://anaconda.org/conda-forge/adversarial-robustness-toolbox,2024-10-03 01:54:09.200,55226.0,,,,,1.0,,,,,,,,,,,,
189,StatsForecast,Nixtla/statsforecast,time-series-data,,https://github.com/Nixtla/statsforecast,https://github.com/Nixtla/statsforecast,Apache-2.0,2021-11-24 02:19:14.000,2024-12-05 02:05:49.029000,2024-12-03 20:22:12,1348.0,40.0,286.0,41.0,495.0,95.0,247.0,4025.0,Lightning fast forecasting with statistical and econometric models.,48.0,31,True,2024-11-26 23:42:56,2.0.0,35.0,statsforecast,conda-forge/statsforecast,,,,1284.0,1284.0,https://pypi.org/project/statsforecast,,3364.0,https://anaconda.org/conda-forge/statsforecast,2024-12-05 02:05:49.029,111018.0,,,,,2.0,,,,,,,,,,,,
190,STUMPY,TDAmeritrade/stumpy,time-series-data,,https://github.com/TDAmeritrade/stumpy,https://github.com/TDAmeritrade/stumpy,BSD-3-Clause,2019-05-03 19:23:44.000,2024-11-17 17:28:39.000000,2024-11-17 17:28:27,1360.0,7.0,321.0,59.0,247.0,60.0,450.0,3679.0,STUMPY is a powerful and scalable Python library for modern time series analysis.,41.0,31,True,2024-07-09 04:43:23,1.13.0,27.0,stumpy,conda-forge/stumpy,,,,964.0,964.0,https://pypi.org/project/stumpy,,19287.0,https://anaconda.org/conda-forge/stumpy,2024-07-09 04:54:55.949,1041511.0,,,,,2.0,,,,,,,,,,,,
191,GPyTorch,cornellius-gp/gpytorch,probabilistics,,https://github.com/cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch,MIT,2017-06-09 14:48:20.000,2024-11-20 17:36:51.000000,2024-11-20 17:36:51,3902.0,7.0,539.0,58.0,921.0,339.0,982.0,3592.0,A highly efficient implementation of Gaussian Processes in PyTorch.,136.0,31,True,2024-09-06 21:42:56,1.13,34.0,gpytorch,conda-forge/gpytorch,,,['pytorch'],2497.0,2497.0,https://pypi.org/project/gpytorch,231218.0,234586.0,https://anaconda.org/conda-forge/gpytorch,2024-09-07 18:14:18.267,185258.0,,,,,2.0,,,,,,,,,,,,
192,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2024-11-26 20:47:58.000000,2024-05-03 16:54:19,704.0,,279.0,50.0,828.0,74.0,285.0,3207.0,PyTorch extensions for high performance and large scale training.,75.0,31,True,2022-12-11 18:09:19,0.4.13,35.0,fairscale,conda-forge/fairscale,,,['pytorch'],6897.0,6897.0,https://pypi.org/project/fairscale,421016.0,430325.0,https://anaconda.org/conda-forge/fairscale,2023-11-28 00:29:10.363,344464.0,,,,,2.0,,,,,,,,,,,,
193,NeuralForecast,Nixtla/neuralforecast,time-series-data,,https://github.com/Nixtla/neuralforecast,https://github.com/Nixtla/neuralforecast,Apache-2.0,2021-04-26 00:15:19.000,2024-11-27 20:14:49.000000,2024-11-22 15:34:26,1208.0,29.0,362.0,36.0,548.0,106.0,455.0,3146.0,Scalable and user friendly neural forecasting algorithms.,48.0,31,True,2024-11-22 15:42:38,1.7.6,22.0,neuralforecast,conda-forge/neuralforecast,,,,263.0,263.0,https://pypi.org/project/neuralforecast,56285.0,57074.0,https://anaconda.org/conda-forge/neuralforecast,2024-11-22 21:25:57.787,26046.0,,,,,2.0,,,,,,,,,,,,
194,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,https://github.com/scikit-learn-contrib/category_encoders,https://github.com/scikit-learn-contrib/category_encoders,BSD-3-Clause,2015-11-29 19:32:37.000,2024-10-02 13:16:06.886000,2024-10-01 21:19:30,966.0,9.0,386.0,39.0,152.0,45.0,248.0,2414.0,A library of sklearn compatible categorical variable encoders.,70.0,31,True,2024-10-01 21:23:20,2.6.4.post1,21.0,category_encoders,conda-forge/category_encoders,,,['sklearn'],2364.0,2364.0,https://pypi.org/project/category_encoders,1550583.0,1558274.0,https://anaconda.org/conda-forge/category_encoders,2024-10-02 13:16:06.886,292259.0,,,,,1.0,,,,,,,,,,,,
195,pygraphistry,graphistry/pygraphistry,graph,,https://github.com/graphistry/pygraphistry,https://github.com/graphistry/pygraphistry,BSD-3-Clause,2015-06-02 20:28:42.000,2024-12-04 04:01:28.000000,2024-11-08 21:00:45,1817.0,252.0,204.0,48.0,289.0,158.0,163.0,2174.0,"PyGraphistry is a Python library to quickly load, shape, embed, and explore big graphs with the GPU-accelerated..",45.0,31,True,2020-08-31 21:05:46,0.11.8,5.0,graphistry,,,,['jupyter'],127.0,127.0,https://pypi.org/project/graphistry,14442.0,14442.0,,,,,,,,2.0,,,,,,,,,,,,
196,equinox,patrick-kidger/equinox,jax-utils,,https://github.com/patrick-kidger/equinox,https://github.com/patrick-kidger/equinox,Apache-2.0,2021-07-29 02:21:39.000,2024-11-25 08:39:19.000000,2024-11-25 08:39:17,960.0,30.0,142.0,25.0,440.0,154.0,310.0,2146.0,Elegant easy-to-use neural networks + scientific computing in JAX. https://docs.kidger.site/equinox/.,56.0,31,True,2024-11-24 15:01:37,0.11.9,40.0,equinox,,,,['jax'],870.0,870.0,https://pypi.org/project/equinox,274870.0,274870.0,,,,,,,,1.0,,,,,,,,,,,,
197,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,MIT,2010-07-09 20:41:11.000,2024-12-04 15:11:07.831000,2024-12-03 18:29:33,570.0,8.0,157.0,42.0,82.0,4.0,135.0,2073.0,a python library for doing approximate and phonetic matching of strings.,34.0,31,True,,,17.0,jellyfish,conda-forge/jellyfish,,,,11624.0,11624.0,https://pypi.org/project/jellyfish,6506577.0,6527203.0,https://anaconda.org/conda-forge/jellyfish,2024-12-04 15:11:07.831,1113815.0,,,,,2.0,,,,,,,,,,,,
198,torchrec,pytorch/torchrec,recommender-systems,,https://github.com/pytorch/torchrec,https://github.com/pytorch/torchrec,BSD-3-Clause,2021-07-12 23:15:48.000,2024-12-05 18:23:10.000000,2024-12-05 18:19:58,2257.0,182.0,439.0,33.0,2433.0,60.0,121.0,1961.0,Pytorch domain library for recommendation systems.,302.0,31,True,2024-10-21 22:05:16,1.0.0-rc3,19.0,torchrec,,,,,156.0,156.0,https://pypi.org/project/torchrec,46301.0,46301.0,,,,,,,,1.0,,,,,,,,,,,,
199,audiomentations,iver56/audiomentations,audio,,https://github.com/iver56/audiomentations,https://github.com/iver56/audiomentations,MIT,2019-02-12 16:36:24.000,2024-12-05 13:15:57.000000,2024-12-05 13:15:57,1270.0,55.0,190.0,21.0,180.0,44.0,139.0,1890.0,A Python library for audio data augmentation. Inspired by albumentations. Useful for machine learning.,30.0,31,True,2024-09-03 07:22:15,0.37.0,39.0,audiomentations,,,,,620.0,620.0,https://pypi.org/project/audiomentations,54134.0,54134.0,,,,,,,,2.0,,,,,,,,,,,,
200,Opacus,pytorch/opacus,privacy-ml,,https://github.com/pytorch/opacus,https://github.com/pytorch/opacus,Apache-2.0,2019-12-07 01:58:09.000,2024-12-03 16:07:28.000000,2024-12-03 15:59:39,734.0,5.0,336.0,46.0,389.0,61.0,242.0,1726.0,Training PyTorch models with differential privacy.,82.0,31,True,2024-08-03 10:32:36,1.5.2,24.0,opacus,conda-forge/opacus,,,['pytorch'],919.0,919.0,https://pypi.org/project/opacus,155065.0,155608.0,https://anaconda.org/conda-forge/opacus,2024-08-05 12:31:17.057,18940.0,,,,,2.0,135.0,,,,,,,,,,,
201,Wand,emcconville/wand,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000,2024-10-01 11:37:22.000000,2024-10-01 11:37:17,1873.0,7.0,198.0,33.0,214.0,21.0,403.0,1417.0,The ctypes-based simple ImageMagick binding for Python.,106.0,31,True,2023-11-04 01:41:17,0.6.13,25.0,wand,conda-forge/wand,,,,19994.0,19994.0,https://pypi.org/project/wand,,2095.0,https://anaconda.org/conda-forge/wand,2023-06-16 16:16:46.218,88959.0,,,,,2.0,51561.0,,,,,,,,,,,
202,PySAL,pysal/pysal,geospatial-data,,https://github.com/pysal/pysal,https://github.com/pysal/pysal,BSD-3-Clause,2013-02-19 17:27:42.000,2024-11-18 14:47:40.000000,2024-11-18 14:47:37,4368.0,10.0,281.0,79.0,672.0,17.0,634.0,1342.0,PySAL: Python Spatial Analysis Library Meta-Package.,79.0,31,True,2024-07-30 17:42:50,24.07,37.0,pysal,conda-forge/pysal,,,,1695.0,1695.0,https://pypi.org/project/pysal,,11130.0,https://anaconda.org/conda-forge/pysal,2024-07-30 21:31:48.610,589920.0,,,,,3.0,,,,,,,,,,,,
203,hvPlot,holoviz/hvplot,data-viz,,https://github.com/holoviz/hvplot,https://github.com/holoviz/hvplot,BSD-3-Clause,2018-03-19 14:22:41.000,2024-12-04 10:36:31.000000,2024-12-04 10:36:30,732.0,28.0,108.0,26.0,591.0,354.0,459.0,1145.0,"A high-level plotting API for pandas, dask, xarray, and networkx built on HoloViews.",51.0,31,True,2024-10-17 08:19:52,0.11.1,22.0,hvplot,conda-forge/hvplot,,,,6198.0,6198.0,https://pypi.org/project/hvplot,,12617.0,https://anaconda.org/conda-forge/hvplot,2024-10-17 10:29:45.764,681354.0,,,,,2.0,,,,,,,,,,,,
204,scikit-survival,sebp/scikit-survival,sklearn-utils,,https://github.com/sebp/scikit-survival,https://github.com/sebp/scikit-survival,GPL-3.0,2016-12-26 22:15:53.000,2024-11-27 19:10:03.000000,2024-11-27 19:10:03,1176.0,38.0,210.0,23.0,157.0,25.0,205.0,1144.0,Survival analysis built on top of scikit-learn.,22.0,31,True,2024-11-04 10:06:51,0.23.1,29.0,scikit-survival,conda-forge/scikit-survival,,,['sklearn'],657.0,657.0,https://pypi.org/project/scikit-survival,178870.0,183407.0,https://anaconda.org/conda-forge/scikit-survival,2024-11-04 14:21:17.242,167880.0,,,,,1.0,,,,,,,,,,,,
205,DIPY,dipy/dipy,medical-data,,https://github.com/dipy/dipy,https://github.com/dipy/dipy,,2010-02-06 11:43:08.000,2024-11-19 14:07:06.000000,2024-11-19 14:07:04,14701.0,211.0,422.0,57.0,2254.0,134.0,813.0,719.0,"DIPY is the paragon 3D/4D+ medical imaging library in Python. Contains generic methods for spatial normalization,..",167.0,31,True,,,17.0,dipy,conda-forge/dipy,,,,1302.0,1302.0,https://pypi.org/project/dipy,,10449.0,https://anaconda.org/conda-forge/dipy,2024-03-10 04:37:57.447,532934.0,,,,,2.0,,,,,,,,,,,,
206,Ludwig,ludwig-ai/ludwig,ml-frameworks,,https://github.com/ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,Apache-2.0,2018-12-27 23:58:12.000,2024-12-02 23:28:04.000000,2024-10-17 22:52:09,3861.0,4.0,1152.0,194.0,2870.0,38.0,1037.0,11223.0,"Low-code framework for building custom LLMs, neural networks, and other AI models.",157.0,30,True,2024-07-30 00:11:51,0.10.4,51.0,ludwig,,,,['tensorflow'],283.0,283.0,https://pypi.org/project/ludwig,,,,,,,,,,3.0,,,,,,,,,,,,
207,wordcloud,amueller/word_cloud,data-viz,,https://github.com/amueller/word_cloud,https://github.com/amueller/word_cloud,MIT,2012-11-04 22:57:59.000,2024-12-02 14:23:48.392000,2024-11-10 14:19:33,580.0,4.0,2280.0,217.0,255.0,103.0,418.0,10200.0,A little word cloud generator in Python.,72.0,30,True,2024-11-10 14:21:42,1.9.4,14.0,wordcloud,conda-forge/wordcloud,,,,21.0,21.0,https://pypi.org/project/wordcloud,,10830.0,https://anaconda.org/conda-forge/wordcloud,2024-12-02 14:23:48.392,574031.0,,,,,3.0,,,,,,,,,,,,
208,cleanlab,cleanlab/cleanlab,others,,https://github.com/cleanlab/cleanlab,https://github.com/cleanlab/cleanlab,AGPL-3.0,2018-05-11 01:55:21.000,2024-12-04 07:14:48.000000,2024-10-23 14:54:18,1743.0,7.0,739.0,90.0,805.0,93.0,271.0,9806.0,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.",52.0,30,True,2024-09-26 16:45:26,2.7.0,18.0,cleanlab,conda-forge/cleanlab,,,,407.0,407.0,https://pypi.org/project/cleanlab,26543.0,27296.0,https://anaconda.org/conda-forge/cleanlab,2024-06-26 17:29:18.404,33170.0,,,,,2.0,,,,,,,,,,,,
209,TPOT,EpistasisLab/tpot,hyperopt,,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40.000,2024-07-25 10:51:05.000000,2024-02-23 19:03:07,2440.0,,1543.0,289.0,434.0,283.0,639.0,9762.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,121.0,30,True,2024-02-23 19:05:48,0.12.2,30.0,tpot,conda-forge/tpot,,,['sklearn'],3116.0,3116.0,https://pypi.org/project/tpot,,5152.0,https://anaconda.org/conda-forge/tpot,2024-02-26 15:57:08.680,278221.0,,,,,2.0,,,,,,,,,,,,
210,Apex,NVIDIA/apex,gpu-utilities,,https://github.com/NVIDIA/apex,https://github.com/NVIDIA/apex,BSD-3-Clause,2018-04-23 16:28:52.000,2024-12-05 16:52:12.000000,2024-12-05 16:52:12,1194.0,9.0,1331.0,100.0,667.0,661.0,527.0,8441.0,A PyTorch Extension: Tools for easy mixed precision and distributed training in Pytorch.,130.0,30,True,,,4.0,,conda-forge/nvidia-apex,,,['pytorch'],2858.0,2858.0,,,7353.0,https://anaconda.org/conda-forge/nvidia-apex,2024-11-04 08:44:59.011,367674.0,,,,,2.0,,,,,,,,,,,,
211,Darts,unit8co/darts,time-series-data,,https://github.com/unit8co/darts,https://github.com/unit8co/darts,Apache-2.0,2018-09-13 15:17:28.000,2024-11-30 17:08:33.000000,2024-11-26 08:34:45,1268.0,31.0,878.0,61.0,1044.0,221.0,1345.0,8139.0,A python library for user-friendly forecasting and anomaly detection on time series.,125.0,30,True,2024-10-13 12:15:11,0.31.0,44.0,u8darts,conda-forge/u8darts-all,unit8/darts,,,,,https://pypi.org/project/u8darts,68786.0,70344.0,https://anaconda.org/conda-forge/u8darts-all,2024-10-13 21:33:50.942,63391.0,https://hub.docker.com/r/unit8/darts,2024-04-17 11:31:17.149896,,920.0,2.0,,,,,,,,,,,,
212,DoWhy,py-why/dowhy,interpretability,,https://github.com/py-why/dowhy,https://github.com/py-why/dowhy,MIT,2018-05-31 13:07:04.000,2024-11-25 05:19:58.903000,2024-11-24 16:18:39,1063.0,25.0,923.0,140.0,758.0,134.0,347.0,7164.0,DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions...,99.0,30,True,2024-11-24 07:33:52,0.12,16.0,dowhy,conda-forge/dowhy,,,,461.0,461.0,https://pypi.org/project/dowhy,60503.0,61229.0,https://anaconda.org/conda-forge/dowhy,2024-11-25 05:19:58.903,35618.0,,,,,2.0,42.0,,,,,,,,,1.0,,
213,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2024-12-03 08:02:52.000000,2024-12-03 08:02:47,2448.0,28.0,649.0,97.0,276.0,496.0,572.0,5727.0,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline,..",101.0,30,True,2024-10-27 20:17:04,1.16.5,100.0,clearml,,allegroai/trains,,,1412.0,1412.0,https://pypi.org/project/clearml,,503.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30320.0,2.0,2962.0,,,,,,,,,,,
214,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2024-12-05 14:40:23.000000,2024-12-05 14:37:03,2227.0,18.0,317.0,45.0,2205.0,368.0,665.0,5248.0,Aim An easy-to-use & supercharged open-source experiment tracker.,77.0,30,True,2024-12-03 07:02:29,3.26.1,68.0,aim,conda-forge/aim,,,,750.0,750.0,https://pypi.org/project/aim,,2143.0,https://anaconda.org/conda-forge/aim,2024-06-14 16:22:37.168,87868.0,,,,,2.0,,,,,,,,,,,,
215,MLxtend,rasbt/mlxtend,sklearn-utils,,https://github.com/rasbt/mlxtend,https://github.com/rasbt/mlxtend,,2014-08-14 01:56:16.000,2024-11-16 09:07:24.553000,2024-11-15 00:41:39,1657.0,11.0,861.0,115.0,538.0,131.0,345.0,4919.0,A library of extension and helper modules for Pythons data analysis and machine learning libraries.,111.0,30,True,2024-11-15 00:42:29,0.23.3,31.0,mlxtend,conda-forge/mlxtend,,,['sklearn'],16367.0,16367.0,https://pypi.org/project/mlxtend,,6270.0,https://anaconda.org/conda-forge/mlxtend,2024-11-16 09:07:24.553,332356.0,,,,,2.0,,,,,,,,,,,,
216,imutils,PyImageSearch/imutils,image,,https://github.com/PyImageSearch/imutils,https://github.com/PyImageSearch/imutils,MIT,2015-01-11 20:05:39.000,2024-06-24 13:34:47.000000,2022-01-27 13:24:16,139.0,,1014.0,152.0,116.0,97.0,79.0,4542.0,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing,..",21.0,30,False,,,3.0,imutils,conda-forge/imutils,,,,47855.0,47855.0,https://pypi.org/project/imutils,438600.0,442428.0,https://anaconda.org/conda-forge/imutils,2023-10-27 09:12:56.985,202893.0,,,,,2.0,,,,,,,,,,,,
217,nlpaug,makcedward/nlpaug,nlp,,https://github.com/makcedward/nlpaug,https://github.com/makcedward/nlpaug,MIT,2019-03-21 03:00:17.000,2024-06-24 09:15:15.000000,2022-07-07 05:16:43,738.0,,453.0,42.0,126.0,67.0,154.0,4465.0,Data augmentation for NLP.,33.0,30,False,2022-07-07 05:24:14,1.1.11,25.0,nlpaug,conda-forge/nlpaug,,,,1464.0,1464.0,https://pypi.org/project/nlpaug,495754.0,496430.0,https://anaconda.org/conda-forge/nlpaug,2023-06-16 19:26:38.185,28396.0,,,,,2.0,,,,,,,,,,,,
218,hmmlearn,hmmlearn/hmmlearn,probabilistics,,https://github.com/hmmlearn/hmmlearn,https://github.com/hmmlearn/hmmlearn,BSD-3-Clause,2014-03-23 10:33:09.000,2024-10-31 19:43:08.823000,2024-10-31 09:14:19,481.0,5.0,715.0,122.0,130.0,65.0,375.0,3077.0,"Hidden Markov Models in Python, with scikit-learn like API.",49.0,30,True,,,12.0,hmmlearn,conda-forge/hmmlearn,,,['sklearn'],2930.0,2930.0,https://pypi.org/project/hmmlearn,1384991.0,1390981.0,https://anaconda.org/conda-forge/hmmlearn,2024-10-31 19:43:08.823,305537.0,,,,,2.0,,,,,,,,,,,,
219,tslearn,tslearn-team/tslearn,time-series-data,,https://github.com/tslearn-team/tslearn,https://github.com/tslearn-team/tslearn,BSD-2-Clause,2017-05-04 13:08:13.000,2024-07-26 07:25:11.554000,2024-07-01 04:53:53,1639.0,,336.0,60.0,194.0,121.0,197.0,2921.0,The machine learning toolkit for time series analysis in Python.,43.0,30,True,2023-12-12 14:35:12,0.6.3,25.0,tslearn,conda-forge/tslearn,,,['sklearn'],1518.0,1518.0,https://pypi.org/project/tslearn,391821.0,418823.0,https://anaconda.org/conda-forge/tslearn,2024-07-26 07:25:11.554,1458159.0,,,,,2.0,,,,,,,,,,,,
220,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2024-06-05 12:17:25.116000,2021-10-12 13:32:38,1570.0,,515.0,63.0,546.0,254.0,393.0,2743.0,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,30,False,2021-10-12 15:33:19,0.9.0,23.0,scikit-optimize,conda-forge/scikit-optimize,,,,6979.0,6979.0,https://pypi.org/project/scikit-optimize,,14508.0,https://anaconda.org/conda-forge/scikit-optimize,2024-06-05 12:17:25.116,754433.0,,,,,2.0,,,,,,,,,,,,
221,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2024-12-05 11:34:35.000000,2024-11-15 14:15:49,2320.0,7.0,635.0,73.0,2912.0,213.0,726.0,2551.0,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",228.0,30,True,2024-10-17 16:24:06,2.5.0,35.0,torchaudio,,,,['pytorch'],,,https://pypi.org/project/torchaudio,5945604.0,5945604.0,,,,,,,,2.0,,,,,,,,,,,,
222,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2024-10-29 23:52:22.089000,2024-10-29 11:59:38,2311.0,9.0,548.0,70.0,487.0,258.0,713.0,2382.0,Survival analysis in Python.,120.0,30,True,2024-10-29 12:00:17,0.30.0,100.0,lifelines,conda-forge/lifelines,,,,3132.0,3132.0,https://pypi.org/project/lifelines,,6996.0,https://anaconda.org/conda-forge/lifelines,2024-10-29 23:52:22.089,384787.0,,,,,2.0,,,,,,,,,,,,
