,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url
171,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50.000,2024-07-04 12:18:38.000000,2024-07-04 12:18:38,3108.0,583.0,1183.0,246.0,9109.0,878.0,1513.0,6258.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, etc.) on..",104.0,33,True,2023-11-13 02:02:20,2.4.0,19.0,bigdl,,,,,52.0,52.0,https://pypi.org/project/bigdl,3518.0,3524.0,,,,,,,,2.0,541.0,intel-analytics/ipex-llm,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4
172,InterpretML,interpretml/interpret,interpretability,,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000,2024-06-26 10:58:52.000000,2024-06-26 10:58:52,3232.0,135.0,707.0,144.0,115.0,100.0,336.0,6131.0,Fit interpretable models. Explain blackbox machine learning.,46.0,33,True,2024-06-23 04:35:43,0.6.2,44.0,interpret,,,,['jupyter'],705.0,705.0,https://pypi.org/project/interpret,77553.0,77553.0,,,,,,,,1.0,,,,,,,,,,,,,
173,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2024-07-03 22:00:01.000000,2024-07-03 21:25:42,1102.0,19.0,470.0,252.0,778.0,193.0,335.0,4697.0,Model interpretability and understanding for PyTorch.,114.0,33,True,2023-12-05 09:21:02,0.7.0,9.0,captum,conda-forge/captum,,,['pytorch'],2186.0,2186.0,https://pypi.org/project/captum,219892.0,220966.0,https://anaconda.org/conda-forge/captum,2023-06-16 19:28:19.191,33299.0,,,,,1.0,,,,,,,,,,,,,
174,VisPy,vispy/vispy,data-viz,,https://github.com/vispy/vispy,https://github.com/vispy/vispy,,2013-03-21 18:43:22.000,2024-06-19 09:10:49.000000,2024-06-19 09:10:48,7390.0,22.0,609.0,116.0,1175.0,315.0,1112.0,3255.0,High-performance interactive 2D/3D data visualization library.,196.0,33,True,2024-06-17 12:39:47,0.14.3,37.0,vispy,conda-forge/vispy,,,['jupyter'],1581.0,1581.0,https://pypi.org/project/vispy,101893.0,113369.0,https://anaconda.org/conda-forge/vispy,2024-06-17 18:49:49.669,527668.0,,,,,2.0,,,vispy,https://www.npmjs.com/package/vispy,5.0,,,,,,,,
175,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2024-06-05 12:17:25.116000,2021-10-12 13:32:38,1570.0,,517.0,63.0,546.0,254.0,393.0,2733.0,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,33,False,2021-10-12 15:33:19,0.9.0,23.0,scikit-optimize,conda-forge/scikit-optimize,,,,6144.0,6144.0,https://pypi.org/project/scikit-optimize,748513.0,764017.0,https://anaconda.org/conda-forge/scikit-optimize,2024-06-05 12:17:25.116,728718.0,,,,,2.0,,,,,,,,,,,,,
176,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2024-06-27 16:03:16.815000,2024-06-26 15:35:26,2300.0,7.0,539.0,69.0,483.0,251.0,708.0,2319.0,Survival analysis in Python.,118.0,33,True,2024-06-26 15:36:26,0.29.0,100.0,lifelines,conda-forge/lifelines,,,,2637.0,2637.0,https://pypi.org/project/lifelines,640982.0,647874.0,https://anaconda.org/conda-forge/lifelines,2024-06-27 16:03:16.815,344632.0,,,,,2.0,,,,,,,,,,,,,
177,huggingface_hub,huggingface/huggingface_hub,model-serialisation,,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,Apache-2.0,2020-12-22 10:20:28.000,2024-07-04 11:47:17.000000,2024-07-03 12:08:25,1464.0,121.0,465.0,59.0,1410.0,127.0,715.0,1824.0,The official Python client for the Huggingface Hub.,172.0,33,True,2024-06-14 14:19:25,0.23.4,75.0,huggingface_hub,conda-forge/huggingface_hub,,,,,,https://pypi.org/project/huggingface_hub,36466517.0,36512380.0,https://anaconda.org/conda-forge/huggingface_hub,2024-06-17 21:39:16.441,1880383.0,,,,,3.0,,,,,,,,,,,,,
178,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2024-05-31 16:33:41.797000,2024-05-27 17:21:31,1555.0,20.0,149.0,41.0,133.0,4.0,643.0,1165.0,A Python data analysis library that is optimized for humans instead of machines.,53.0,33,True,,,14.0,agate,conda-forge/agate,,,,3419.0,3419.0,https://pypi.org/project/agate,7668427.0,7673543.0,https://anaconda.org/conda-forge/agate,2024-05-31 16:33:41.797,194434.0,,,,,2.0,,,,,,,,,,,,,
179,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,,2010-07-22 16:28:30.000,2024-06-28 00:51:26.000000,2024-06-28 00:51:26,5876.0,28.0,250.0,37.0,816.0,104.0,403.0,634.0,Python package to access a cacophony of neuro-imaging file formats.,104.0,33,True,2024-02-27 04:17:30,5.2.1,40.0,nibabel,conda-forge/nibabel,,,,19930.0,19930.0,https://pypi.org/project/nibabel,447863.0,462713.0,https://anaconda.org/conda-forge/nibabel,2024-02-27 14:41:50.570,727694.0,,,,,2.0,,,,,,,,,,,,,
180,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2024-06-18 08:08:50.000000,2022-06-10 09:12:18,238.0,,13114.0,1560.0,229.0,742.0,586.0,52340.0,The worlds simplest facial recognition api for Python and the command line.,54.0,32,False,2018-04-02 17:18:43,1.2.2,2.0,face_recognition,conda-forge/face_recognition,,,['pytorch'],21.0,21.0,https://pypi.org/project/face_recognition,132524.0,133010.0,https://anaconda.org/conda-forge/face_recognition,2023-06-16 19:21:40.721,21720.0,,,,,2.0,1232.0,,,,,,,,,,,,
181,MindsDB,mindsdb/mindsdb,ml-frameworks,,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45.000,2024-07-04 18:02:40.000000,2024-07-04 13:33:08,18466.0,737.0,4805.0,393.0,5126.0,218.0,3628.0,24782.0,The platform for building AI from enterprise data.,830.0,32,True,2024-07-02 14:55:34,24.7.1.0,100.0,mindsdb,,,,['pytorch'],,,https://pypi.org/project/mindsdb,17403.0,17403.0,,,,,,,,3.0,,,,,,,,,,,,,
182,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2024-06-11 16:30:05.000000,2023-07-11 13:03:36,1421.0,,3650.0,755.0,1138.0,366.0,588.0,19006.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,32,True,2022-08-01 18:18:44,2.1.4,48.0,magenta,,,,['tensorflow'],515.0,515.0,https://pypi.org/project/magenta,4142.0,4142.0,,,,,,,,2.0,,,,,,,,,,,,,
183,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000000,2020-10-14 16:36:49,6226.0,,4160.0,1007.0,1869.0,326.0,658.0,17253.0,"Zipline, a Pythonic Algorithmic Trading Library.",161.0,32,False,2020-10-05 15:43:07,1.4.1,13.0,zipline,conda-forge/zipline,,,,999.0,999.0,https://pypi.org/project/zipline,2271.0,2446.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,8065.0,,,,,1.0,,,,,,,,,,,,,
184,mlx,ml-explore/mlx,ml-frameworks,,https://github.com/ml-explore/mlx,https://github.com/ml-explore/mlx,MIT,2023-11-28 23:33:45.000,2024-07-04 11:39:27.000000,2024-06-28 20:50:42,597.0,141.0,891.0,139.0,695.0,102.0,355.0,15683.0,MLX: An array framework for Apple silicon.,103.0,32,True,2024-06-27 18:21:59,0.15.2,26.0,mlx,,,,,435.0,435.0,https://pypi.org/project/mlx,21423.0,21423.0,,,,,,,,3.0,,,,,,,,,,,,,
185,PaddleHub,PaddlePaddle/PaddleHub,others,,https://github.com/PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub,Apache-2.0,2018-12-21 06:00:48.000,2023-10-18 03:42:44.000000,2023-03-28 11:49:55,2665.0,,2066.0,184.0,1005.0,571.0,726.0,12602.0,"Awesome pre-trained models toolkit based on PaddlePaddle. (400+ models including Image, Text, Audio, Video and Cross-..",69.0,32,False,2022-11-28 08:29:05,2.3.1,29.0,paddlehub,,,,['paddle'],1668.0,1668.0,https://pypi.org/project/paddlehub,8417.0,8428.0,,,,,,,,2.0,731.0,,,,,,,,,,,,
186,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2023-11-03 14:30:00.000000,2023-11-03 14:30:00,4358.0,,2038.0,284.0,3401.0,50.0,1494.0,10447.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,217.0,32,True,2023-06-06 20:16:41,1.7.2,23.0,parlai,,,,['pytorch'],246.0,246.0,https://pypi.org/project/parlai,2057.0,2057.0,,,,,,,,2.0,,,,,,,,,,,,,
187,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2024-03-20 22:02:13.000000,2024-03-20 22:02:12,1391.0,,1377.0,302.0,894.0,141.0,759.0,9096.0,AutoML library for deep learning.,143.0,32,True,2024-03-20 21:24:21,2.0.0,59.0,autokeras,,,,['tensorflow'],697.0,697.0,https://pypi.org/project/autokeras,14730.0,14960.0,,,,,,,,2.0,18451.0,,,,,,,,,,,,
188,cleanlab,cleanlab/cleanlab,others,,https://github.com/cleanlab/cleanlab,https://github.com/cleanlab/cleanlab,AGPL-3.0,2018-05-11 01:55:21.000,2024-07-02 15:08:20.000000,2024-07-02 15:08:20,1656.0,68.0,676.0,86.0,769.0,98.0,261.0,8968.0,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.",49.0,32,True,2024-06-25 23:10:38,2.6.6,17.0,cleanlab,conda-forge/cleanlab,,,,341.0,341.0,https://pypi.org/project/cleanlab,28018.0,28653.0,https://anaconda.org/conda-forge/cleanlab,2024-06-26 17:29:18.404,24766.0,,,,,2.0,,,,,,,,,,,,,
189,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2024-06-16 00:44:29.000000,2023-11-12 14:28:03,528.0,,852.0,85.0,275.0,74.0,376.0,7827.0,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",82.0,32,True,2022-06-05 10:13:32,2.5,17.0,tensorboardX,conda-forge/tensorboardx,,,,45463.0,45463.0,https://pypi.org/project/tensorboardX,1930646.0,1955315.0,https://anaconda.org/conda-forge/tensorboardx,2023-08-20 16:29:43.490,1183908.0,,,,,2.0,433.0,,,,,,7.0,,,,,,
190,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/bayesian-optimization/BayesianOptimization,https://github.com/bayesian-optimization/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2024-07-04 10:24:06.000000,2024-06-30 11:30:50,366.0,6.0,1458.0,131.0,141.0,9.0,338.0,7621.0,A Python implementation of global optimization with gaussian processes.,44.0,32,True,2024-06-24 12:10:31,1.5.0,14.0,bayesian-optimization,,,,,2749.0,2749.0,https://pypi.org/project/bayesian-optimization,391966.0,391967.0,,,,,,,,2.0,152.0,bayesian-optimization/BayesianOptimization,,,,,,,,,,,
191,stanza,stanfordnlp/stanza,nlp,,https://github.com/stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,,2017-09-26 08:00:56.000,2024-06-28 20:53:50.000000,2024-04-20 16:29:42,4447.0,52.0,852.0,140.0,486.0,93.0,789.0,7131.0,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages.",68.0,32,True,2024-04-20 18:58:25,1.8.2,23.0,stanza,stanfordnlp/stanza,,,,2912.0,2912.0,https://pypi.org/project/stanza,265262.0,265405.0,https://anaconda.org/stanfordnlp/stanza,2023-06-16 19:18:21.932,7440.0,,,,,2.0,,,,,,,,,,,,,
192,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2024-04-01 08:16:02.000000,2024-04-01 08:13:40,1215.0,,639.0,63.0,133.0,55.0,438.0,5866.0,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",41.0,32,True,2024-04-01 08:16:02,2.5.0,54.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],1628.0,1628.0,https://pypi.org/project/pytorch-metric-learning,552382.0,552596.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2023-06-16 19:17:36.446,11567.0,,,,,2.0,,,,,,,,,,,,,
193,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2024-07-04 17:55:36.000000,2024-06-20 10:48:33,2192.0,19.0,295.0,43.0,2160.0,336.0,659.0,4935.0,Aim An easy-to-use & supercharged open-source experiment tracker.,68.0,32,True,2024-06-20 12:10:33,3.22.0,63.0,aim,conda-forge/aim,,,,605.0,605.0,https://pypi.org/project/aim,94546.0,96057.0,https://anaconda.org/conda-forge/aim,2024-06-14 16:22:37.168,54431.0,,,,,2.0,,,,,,,,,,,,,
194,tensorflow-probability,tensorflow/probability,probabilistics,,https://github.com/tensorflow/probability,https://github.com/tensorflow/probability,Apache-2.0,2017-10-23 23:50:54.000,2024-06-26 19:15:54.000000,2024-06-26 19:15:53,12146.0,19.0,1030.0,164.0,464.0,604.0,747.0,4157.0,Probabilistic reasoning and statistical analysis in TensorFlow.,493.0,32,True,2024-03-12 19:43:46,0.24.0,51.0,tensorflow-probability,conda-forge/tensorflow-probability,,,['tensorflow'],1.0,1.0,https://pypi.org/project/tensorflow-probability,2630710.0,2633945.0,https://anaconda.org/conda-forge/tensorflow-probability,2024-05-27 12:58:13.692,132671.0,,,,,1.0,,,,,,,,,,,,,
195,GPyTorch,cornellius-gp/gpytorch,probabilistics,,https://github.com/cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch,MIT,2017-06-09 14:48:20.000,2024-07-03 14:56:25.000000,2024-07-02 23:55:38,3869.0,22.0,522.0,58.0,897.0,321.0,975.0,3462.0,A highly efficient implementation of Gaussian Processes in PyTorch.,132.0,32,True,2024-06-27 15:53:07,1.12,33.0,gpytorch,conda-forge/gpytorch,,,['pytorch'],2169.0,2169.0,https://pypi.org/project/gpytorch,187951.0,191248.0,https://anaconda.org/conda-forge/gpytorch,2024-06-28 20:37:43.289,164863.0,,,,,1.0,,,,,,,,,,,,,
196,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2024-06-18 00:15:23.000000,2024-05-03 16:54:19,704.0,3.0,263.0,44.0,827.0,73.0,285.0,2975.0,PyTorch extensions for high performance and large scale training.,75.0,32,True,2022-12-11 18:09:19,0.4.13,35.0,fairscale,conda-forge/fairscale,,,['pytorch'],5556.0,5556.0,https://pypi.org/project/fairscale,500644.0,507932.0,https://anaconda.org/conda-forge/fairscale,2023-11-28 00:29:10.363,233246.0,,,,,2.0,,,,,,,,,,,,,
197,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2024-06-26 14:26:23.000000,2024-06-26 14:26:23,2970.0,29.0,680.0,74.0,886.0,249.0,630.0,2652.0,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",127.0,32,True,2024-03-08 20:41:28,0.1.25,15.0,pgmpy,,,,,1067.0,1067.0,https://pypi.org/project/pgmpy,46290.0,46298.0,,,,,,,,1.0,417.0,,,,,,,,,,,,
198,evaluate,huggingface/evaluate,interpretability,,https://github.com/huggingface/evaluate,https://github.com/huggingface/evaluate,Apache-2.0,2022-03-30 15:08:26.000,2024-07-03 12:26:45.000000,2024-06-10 10:21:50,944.0,6.0,230.0,48.0,330.0,142.0,133.0,1882.0,Evaluate: A library for easily evaluating machine learning models and datasets.,128.0,32,True,2024-04-30 09:45:36,0.4.2,10.0,evaluate,,,,,10478.0,10478.0,https://pypi.org/project/evaluate,2057710.0,2057710.0,,,,,,,,2.0,,,,,,,,,,,,,
199,torchrec,pytorch/torchrec,recommender-systems,,https://github.com/pytorch/torchrec,https://github.com/pytorch/torchrec,BSD-3-Clause,2021-07-12 23:15:48.000,2024-07-04 16:09:53.000000,2024-07-04 16:03:11,1944.0,291.0,373.0,29.0,2055.0,43.0,108.0,1786.0,Pytorch domain library for recommendation systems.,248.0,32,True,2024-04-25 01:39:04,0.7.0,15.0,torchrec,,,,,120.0,120.0,https://pypi.org/project/torchrec,8995.0,8995.0,,,,,,,,1.0,,,,,,,,,,,,,
200,Satpy,pytroll/satpy,geospatial-data,,https://github.com/pytroll/satpy,https://github.com/pytroll/satpy,GPL-3.0,2016-02-09 20:29:43.000,2024-07-02 17:27:27.000000,2024-07-02 17:27:27,13663.0,300.0,280.0,34.0,1818.0,389.0,640.0,1035.0,Python package for earth-observing satellite data processing.,156.0,32,True,2024-06-05 06:36:23,0.49.0,64.0,satpy,conda-forge/satpy,,,,133.0,133.0,https://pypi.org/project/satpy,5813.0,9963.0,https://anaconda.org/conda-forge/satpy,2024-06-06 20:49:04.465,203381.0,,,,,3.0,,,,,,,,,,,,,
201,Hail,hail-is/hail,medical-data,,https://github.com/hail-is/hail,https://github.com/hail-is/hail,MIT,2015-10-27 20:55:42.000,2024-07-03 17:23:34.000000,2024-07-03 17:23:34,11520.0,87.0,233.0,55.0,12212.0,194.0,2193.0,952.0,Cloud-native genomic dataframes and batch computing.,92.0,32,True,2024-06-05 17:48:05,0.2.131,100.0,hail,,,,['spark'],132.0,132.0,https://pypi.org/project/hail,12758.0,12758.0,,,,,,,,2.0,,,,,,,,,,,,,
202,spleeter,deezer/spleeter,audio,,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter,MIT,2019-09-26 15:40:46.000,2024-06-21 15:38:00.000000,2023-07-13 08:50:20,531.0,,2762.0,384.0,121.0,205.0,562.0,25264.0,Deezer source separation library including pretrained models.,19.0,31,True,2021-09-03 09:59:00,2.3.0,10.0,spleeter,conda-forge/spleeter,,,['tensorflow'],742.0,742.0,https://pypi.org/project/spleeter,15485.0,73689.0,https://anaconda.org/conda-forge/spleeter,2023-06-16 16:18:57.741,85889.0,,,,,2.0,3230291.0,,,,,,,,,,,,
203,Retrieval-based-Voice-Conversion-WebUI,RVC-Project/Retrieval-based-Voice-Conversion-WebUI,audio,,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,MIT,2023-03-27 09:59:10.000,2024-07-03 10:45:10.000000,2024-07-01 02:08:22,861.0,13.0,2793.0,156.0,664.0,269.0,1230.0,20766.0,Easily train a good VC model with voice data = 10 mins!.,111.0,31,True,2024-06-05 06:45:23,2.2.231006,7.0,,,,,,,,,,64144.0,,,,,,,,2.0,64144.0,,,,,,,,,,,,
204,Qlib,microsoft/qlib,financial-data,,https://github.com/microsoft/qlib,https://github.com/microsoft/qlib,MIT,2020-08-14 06:46:00.000,2024-07-04 13:03:35.000000,2024-06-26 10:34:00,1987.0,28.0,2490.0,290.0,929.0,203.0,686.0,14557.0,"Qlib is an AI-oriented quantitative investment platform that aims to realize the potential, empower research, and..",133.0,31,True,2024-05-24 08:17:09,0.9.5,21.0,pyqlib,,,,['pytorch'],21.0,21.0,https://pypi.org/project/pyqlib,2021.0,2034.0,,,,,,,,1.0,620.0,,,,,,,,,,,,
205,wordcloud,amueller/word_cloud,data-viz,,https://github.com/amueller/word_cloud,https://github.com/amueller/word_cloud,MIT,2012-11-04 22:57:59.000,2024-06-18 06:55:50.000000,2023-12-09 05:39:53,576.0,,2273.0,217.0,246.0,101.0,417.0,10014.0,A little word cloud generator in Python.,72.0,31,True,2023-12-09 13:50:41,1.9.3,13.0,wordcloud,conda-forge/wordcloud,,,,21.0,21.0,https://pypi.org/project/wordcloud,1868660.0,1879066.0,https://anaconda.org/conda-forge/wordcloud,2024-03-19 22:44:23.623,499516.0,,,,,2.0,,,,,,,,,,,,,
206,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,ml-frameworks,,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000,2024-06-20 18:16:35.000000,2024-06-20 17:42:27,10417.0,6.0,1863.0,353.0,3426.0,131.0,1136.0,8440.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,337.0,31,True,2023-07-19 14:18:35,9.9.0,29.0,vowpalwabbit,conda-forge/vowpalwabbit,,,,,,https://pypi.org/project/vowpalwabbit,52601.0,56538.0,https://anaconda.org/conda-forge/vowpalwabbit,2024-04-26 11:19:26.965,177182.0,,,,,3.0,,,,,,,,,,,,,
207,Pyro,pyro-ppl/pyro,probabilistics,,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000,2024-06-27 20:56:55.000000,2024-06-27 20:56:54,2476.0,13.0,962.0,200.0,2306.0,228.0,842.0,8429.0,Deep universal probabilistic programming with Python and PyTorch.,154.0,31,True,2024-06-02 00:37:00,1.9.1,35.0,pyro-ppl,conda-forge/pyro-ppl,,,['pytorch'],,,https://pypi.org/project/pyro-ppl,257048.0,261435.0,https://anaconda.org/conda-forge/pyro-ppl,2024-06-03 00:37:06.159,175494.0,,,,,2.0,,,,,,,,,,,,,
208,PaddleSeg,PaddlePaddle/PaddleSeg,image,,https://github.com/PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22.000,2024-06-26 05:58:44.000000,2024-05-20 11:03:18,2900.0,1.0,1646.0,89.0,1655.0,218.0,1855.0,8402.0,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in..",119.0,31,True,2023-10-18 03:54:18,2.9.0,19.0,paddleseg,,,,['paddle'],1226.0,1226.0,https://pypi.org/project/paddleseg,2618.0,2618.0,,,,,,,,2.0,,,,,,,,,,,,,
209,auto-sklearn,automl/auto-sklearn,hyperopt,,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000,2024-07-03 14:08:21.000000,2023-04-18 11:08:13,2759.0,,1246.0,215.0,716.0,188.0,829.0,7476.0,Automated Machine Learning with scikit-learn.,88.0,31,False,2023-02-13 12:35:21,0.15.0,35.0,auto-sklearn,conda-forge/auto-sklearn,,,['sklearn'],585.0,585.0,https://pypi.org/project/auto-sklearn,14104.0,14702.0,https://anaconda.org/conda-forge/auto-sklearn,2023-06-16 19:25:30.278,23340.0,,,,,2.0,58.0,,,,,,,,,,,,
210,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2024-05-31 12:44:53.000000,2024-03-13 09:36:57,2708.0,,1132.0,208.0,1049.0,23.0,615.0,6595.0,An open source library for deep learning end-to-end dialog systems and chatbots.,77.0,31,True,2024-03-13 10:47:20,1.6.0,63.0,deeppavlov,,,,['tensorflow'],398.0,398.0,https://pypi.org/project/deeppavlov,8070.0,8070.0,,,,,,,,3.0,,deeppavlov/DeepPavlov,,,,,,,,,,,
211,skorch,skorch-dev/skorch,ml-frameworks,,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000,2024-07-01 13:04:16.000000,2024-05-30 14:31:49,1091.0,5.0,380.0,81.0,535.0,54.0,456.0,5692.0,A scikit-learn compatible neural network library that wraps PyTorch.,62.0,31,True,2024-05-27 15:25:43,1.0.0,16.0,skorch,conda-forge/skorch,,,"['pytorch', 'sklearn']",1291.0,1291.0,https://pypi.org/project/skorch,124648.0,141664.0,https://anaconda.org/conda-forge/skorch,2024-05-30 08:55:05.943,782757.0,,,,,3.0,,,,,,,,,,,,,
212,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,,2014-12-17 18:16:59.000,2024-07-04 14:30:23.000000,2024-07-03 20:38:46,30008.0,248.0,1556.0,183.0,2138.0,13.0,1598.0,4897.0,"mlpack: a fast, header-only C++ machine learning library.",319.0,31,True,2024-05-28 21:17:12,4.4.0,47.0,mlpack,conda-forge/mlpack,,,,,,https://pypi.org/project/mlpack,3371.0,7480.0,https://anaconda.org/conda-forge/mlpack,2024-05-29 13:49:41.651,201358.0,,,,,3.0,,,,,,,,,,,,,
213,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2024-07-04 09:50:06.000000,2024-06-28 19:55:39,3876.0,16.0,523.0,85.0,574.0,100.0,482.0,4873.0,Online machine learning in Python.,114.0,31,True,2024-04-23 13:20:18,0.21.1,15.0,river,conda-forge/river,,,,517.0,517.0,https://pypi.org/project/river,30979.0,32635.0,https://anaconda.org/conda-forge/river,2023-10-06 14:40:00.791,64621.0,,,,,2.0,,,,,,,,,,,,,
214,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-07-01 21:22:49.000000,2024-06-28 18:00:11,805.0,18.0,386.0,74.0,292.0,58.0,520.0,4616.0,Visualizer for pandas data structures.,30.0,31,True,2024-07-01 21:22:49,3.13.1,145.0,dtale,conda-forge/dtale,,,"['pandas', 'jupyter']",1144.0,1144.0,https://pypi.org/project/dtale,91156.0,97162.0,https://anaconda.org/conda-forge/dtale,2024-06-28 19:50:28.028,300312.0,,,,,2.0,,,,,,,,,,,,,
