,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url
160,TFX,tensorflow/tfx,tensorflow-utils,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2024-12-12 02:47:46.000000,2024-12-12 02:46:04,5965.0,109.0,702.0,88.0,6049.0,42.0,867.0,2121.0,TFX is an end-to-end platform for deploying production ML pipelines.,192.0,34,True,2024-12-11 18:57:33,1.16.0,96.0,tfx,,,,['tensorflow'],1618.0,1618.0,https://pypi.org/project/tfx,33366.0,33366.0,,,,,,,,2.0,,,,,,,,,,,,,
161,Wand,emcconville/wand,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000,2024-10-01 11:37:22.000000,2024-10-01 11:37:17,1873.0,7.0,198.0,33.0,214.0,21.0,403.0,1418.0,The ctypes-based simple ImageMagick binding for Python.,106.0,34,True,2023-11-04 01:41:17,0.6.13,25.0,wand,conda-forge/wand,,,,20022.0,20022.0,https://pypi.org/project/wand,1082405.0,1084524.0,https://anaconda.org/conda-forge/wand,2023-06-16 16:16:46.218,90441.0,,,,,2.0,,51580.0,,,,,,,,,,,
162,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2024-11-29 08:37:03.000000,2024-11-29 08:37:01,2931.0,29.0,244.0,35.0,233.0,44.0,514.0,1328.0,Python interface for igraph.,76.0,34,True,2024-10-28 12:48:20,0.11.8,31.0,python-igraph,conda-forge/igraph,,,,4250.0,4250.0,https://pypi.org/project/python-igraph,1129544.0,1147994.0,https://anaconda.org/conda-forge/igraph,2024-11-19 17:05:42.667,653045.0,,,,,2.0,,565655.0,,,,,,,,,,,
163,TensorFlow Text,tensorflow/text,nlp,,https://github.com/tensorflow/text,https://github.com/tensorflow/text,Apache-2.0,2019-05-29 22:10:03.000,2024-12-12 01:17:14.000000,2024-12-12 01:16:21,897.0,8.0,343.0,42.0,1076.0,86.0,172.0,1238.0,Making text a first-class citizen in TensorFlow.,115.0,34,True,2024-10-28 21:49:45,2.18.0,59.0,tensorflow-text,,,,['tensorflow'],7701.0,7701.0,https://pypi.org/project/tensorflow-text,9500414.0,9500414.0,,,,,,,,2.0,,,,,,,,,,,,,
164,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,,2010-07-22 16:28:30.000,2024-12-12 17:03:50.685000,2024-12-07 02:29:14,6055.0,117.0,251.0,37.0,860.0,109.0,415.0,660.0,Python package to access a cacophony of neuro-imaging file formats.,106.0,34,True,2024-10-15 19:03:04,5.3.1,42.0,nibabel,conda-forge/nibabel,,,,23547.0,23547.0,https://pypi.org/project/nibabel,2124382.0,2139346.0,https://anaconda.org/conda-forge/nibabel,2024-12-12 17:03:50.685,808064.0,,,,,2.0,,,,,,,,,,,,,
165,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2024-12-10 08:46:16.000000,2024-12-10 08:46:15,3771.0,81.0,4326.0,385.0,4246.0,400.0,1267.0,38903.0,"Making large AI models cheaper, faster and more accessible.",192.0,33,True,2024-11-04 09:28:04,0.4.6,46.0,,,,,,447.0,447.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
166,tinygrad,geohot/tinygrad,pytorch-utils,,https://github.com/tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,MIT,2020-10-18 16:23:12.000,2024-12-12 18:21:21.000000,2024-12-12 18:05:02,7202.0,1295.0,2969.0,272.0,7284.0,135.0,679.0,27155.0,You like pytorch? You like micrograd? You love tinygrad!.,356.0,33,True,2024-11-19 00:48:26,0.10.0,9.0,,,,,['pytorch'],147.0,147.0,,,,,,,,,,,2.0,,,tinygrad/tinygrad,,,,,,,,,,
167,DeepSpeech,mozilla/DeepSpeech,audio,,https://github.com/mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,MPL-2.0,2016-06-02 15:04:53.000,2024-09-03 21:17:43.000000,2021-11-17 17:52:52,3466.0,,3876.0,673.0,1678.0,125.0,1988.0,25474.0,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices..",163.0,33,False,2020-12-10 15:58:47,0.9.3,100.0,deepspeech,conda-forge/deepspeech,,,['tensorflow'],476.0,476.0,https://pypi.org/project/deepspeech,24391.0,40642.0,https://anaconda.org/conda-forge/deepspeech,2023-06-16 19:27:01.157,3369.0,,,,,2.0,,1212675.0,,,,,,,,,,,
168,InsightFace,deepinsight/insightface,image,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51.000,2024-12-05 07:41:28.000000,2024-12-05 07:41:28,2348.0,16.0,5375.0,513.0,182.0,1128.0,1385.0,23718.0,State-of-the-art 2D and 3D Face Analysis Project.,63.0,33,True,2023-04-02 07:43:27,0.7,1.0,insightface,,,,['mxnet'],3068.0,3068.0,https://pypi.org/project/insightface,255281.0,542434.0,,,,,,,,2.0,,5743061.0,,,,,,,,,,,
169,Recommenders,microsoft/recommenders,recommender-systems,,https://github.com/recommenders-team/recommenders,https://github.com/recommenders-team/recommenders,MIT,2018-09-19 10:06:07.000,2024-12-02 15:12:13.000000,2024-11-15 09:23:37,9021.0,11.0,3066.0,276.0,1300.0,163.0,710.0,19414.0,Best Practices on Recommendation Systems.,137.0,33,True,2024-05-01 13:41:20,1.2.0,13.0,recommenders,,,,,140.0,140.0,https://pypi.org/project/recommenders,25473.0,25481.0,,,,,,,,1.0,,627.0,recommenders-team/recommenders,,,,,,,,,,
170,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2024-11-19 19:28:48.000000,2024-08-01 02:26:04,1422.0,,3659.0,753.0,1141.0,372.0,589.0,19232.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,33,True,2022-08-01 18:18:44,2.1.4,48.0,magenta,,,,['tensorflow'],549.0,549.0,https://pypi.org/project/magenta,8340.0,8340.0,,,,,,,,2.0,,,,,,,,,,,,,
171,Lime,marcotcr/lime,interpretability,,https://github.com/marcotcr/lime,https://github.com/marcotcr/lime,BSD-2-Clause,2016-03-15 22:18:10.000,2024-07-25 20:32:21.000000,2021-07-29 23:17:25,531.0,,1779.0,261.0,117.0,100.0,535.0,11662.0,Lime: Explaining the predictions of any machine learning classifier.,62.0,33,False,2020-04-03 22:05:03,0.2.0.0,18.0,lime,conda-forge/lime,,,,6890.0,6890.0,https://pypi.org/project/lime,470409.0,472900.0,https://anaconda.org/conda-forge/lime,2023-06-16 13:18:57.655,239230.0,,,,,1.0,,,,,,,,,,,,,
172,Ludwig,ludwig-ai/ludwig,ml-frameworks,,https://github.com/ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,Apache-2.0,2018-12-27 23:58:12.000,2024-12-02 23:28:04.000000,2024-10-17 22:52:09,3861.0,4.0,1154.0,194.0,2870.0,38.0,1037.0,11233.0,"Low-code framework for building custom LLMs, neural networks, and other AI models.",157.0,33,True,2024-07-30 00:11:51,0.10.4,51.0,ludwig,,,,['tensorflow'],284.0,284.0,https://pypi.org/project/ludwig,2282.0,2282.0,,,,,,,,3.0,,,,,,,,,,,,,
173,Perspective,finos/perspective,data-viz,,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2024-12-12 05:53:11.165000,2024-12-09 19:19:02,6205.0,129.0,1177.0,123.0,1766.0,108.0,724.0,8646.0,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",98.0,33,True,2024-12-10 04:22:52,3.2.0,58.0,perspective-python,conda-forge/perspective,,,['jupyter'],156.0,156.0,https://pypi.org/project/perspective-python,18899.0,47514.0,https://anaconda.org/conda-forge/perspective,2024-12-12 05:53:11.165,1376161.0,,,,,2.0,,7117.0,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2713.0,,,,,,,
174,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,ml-frameworks,,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000,2024-11-27 22:22:10.016000,2024-08-01 18:55:53,10421.0,,1862.0,352.0,3431.0,131.0,1140.0,8495.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,338.0,33,True,2024-08-01 19:02:07,9.10.0,30.0,vowpalwabbit,conda-forge/vowpalwabbit,,,,1.0,1.0,https://pypi.org/project/vowpalwabbit,162989.0,168084.0,https://anaconda.org/conda-forge/vowpalwabbit,2024-11-27 22:22:10.016,254791.0,,,,,3.0,,,,,,,,,,,,,
175,InterpretML,interpretml/interpret,interpretability,,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000,2024-12-12 11:09:23.000000,2024-12-12 10:39:28,3534.0,157.0,720.0,146.0,132.0,103.0,349.0,6321.0,Fit interpretable models. Explain blackbox machine learning.,48.0,33,True,2024-11-28 00:03:00,0.6.7,49.0,interpret,,,,['jupyter'],803.0,803.0,https://pypi.org/project/interpret,126649.0,126649.0,,,,,,,,1.0,,,,,,,,,,,,,
176,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2024-11-20 23:50:19.000000,2024-11-20 23:50:18,2341.0,7.0,1116.0,192.0,240.0,233.0,285.0,5885.0,Distributed Evolutionary Algorithms in Python.,89.0,33,True,,,6.0,deap,conda-forge/deap,,,,5554.0,5554.0,https://pypi.org/project/deap,487389.0,496721.0,https://anaconda.org/conda-forge/deap,2024-09-03 13:46:04.210,466621.0,,,,,2.0,,,,,,,,,,,,,
177,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2024-12-09 15:09:40.000000,2024-12-09 15:09:36,2453.0,31.0,650.0,97.0,276.0,496.0,573.0,5738.0,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline,..",101.0,33,True,2024-10-27 20:17:04,1.16.5,100.0,clearml,,allegroai/trains,,,1430.0,1430.0,https://pypi.org/project/clearml,316358.0,316862.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30320.0,2.0,,3017.0,,,,,,,,,,,
178,MLxtend,rasbt/mlxtend,sklearn-utils,,https://github.com/rasbt/mlxtend,https://github.com/rasbt/mlxtend,,2014-08-14 01:56:16.000,2024-11-16 09:07:24.553000,2024-11-15 00:41:39,1657.0,11.0,863.0,115.0,538.0,132.0,345.0,4925.0,A library of extension and helper modules for Pythons data analysis and machine learning libraries.,111.0,33,True,2024-11-15 00:42:29,0.23.3,31.0,mlxtend,conda-forge/mlxtend,,,['sklearn'],16538.0,16538.0,https://pypi.org/project/mlxtend,879167.0,885455.0,https://anaconda.org/conda-forge/mlxtend,2024-11-16 09:07:24.553,333299.0,,,,,1.0,,,,,,,,,,,,,
179,PyQtGraph,pyqtgraph/pyqtgraph,data-viz,,https://github.com/pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,,2013-09-12 07:18:21.000,2024-12-11 05:23:38.827000,2024-11-06 01:12:46,4201.0,32.0,1081.0,154.0,1743.0,391.0,900.0,3919.0,Fast data visualization and GUI tools for scientific / engineering applications.,295.0,33,True,2024-04-29 02:15:04,pyqtgraph-0.13.7,17.0,pyqtgraph,conda-forge/pyqtgraph,,,,10858.0,10858.0,https://pypi.org/project/pyqtgraph,542291.0,553816.0,https://anaconda.org/conda-forge/pyqtgraph,2024-12-11 05:23:38.827,622391.0,,,,,2.0,,,,,,,,,,,,,
180,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2024-10-29 23:52:22.089000,2024-10-29 11:59:38,2311.0,8.0,549.0,70.0,487.0,258.0,713.0,2388.0,Survival analysis in Python.,120.0,33,True,2024-10-29 12:00:17,0.30.0,100.0,lifelines,conda-forge/lifelines,,,,3159.0,3159.0,https://pypi.org/project/lifelines,2517399.0,2524423.0,https://anaconda.org/conda-forge/lifelines,2024-10-29 23:52:22.089,386327.0,,,,,2.0,,,,,,,,,,,,,
181,huggingface_hub,huggingface/huggingface_hub,model-serialisation,,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,Apache-2.0,2020-12-22 10:20:28.000,2024-12-12 17:55:43.000000,2024-12-11 12:46:07,1633.0,79.0,561.0,59.0,1586.0,138.0,858.0,2164.0,The official Python client for the Huggingface Hub.,210.0,33,True,2024-12-06 18:28:15,0.26.5,92.0,huggingface_hub,conda-forge/huggingface_hub,,,,,,https://pypi.org/project/huggingface_hub,52075344.0,52128277.0,https://anaconda.org/conda-forge/huggingface_hub,2024-12-10 17:41:30.388,2434945.0,,,,,3.0,,,,,,,,,,,,,
182,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-12-05 15:39:58.000000,2024-12-05 15:39:58,1196.0,3.0,347.0,67.0,616.0,262.0,361.0,1496.0,A Jupyter - Leaflet.js bridge.,91.0,33,True,2024-07-22 08:00:52,0.19.2,73.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],13009.0,13009.0,https://pypi.org/project/ipyleaflet,249553.0,279985.0,https://anaconda.org/conda-forge/ipyleaflet,2024-07-22 12:26:50.743,1321003.0,,,,,3.0,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,6414.0,,,,,,,
183,Hail,hail-is/hail,medical-data,,https://github.com/hail-is/hail,https://github.com/hail-is/hail,MIT,2015-10-27 20:55:42.000,2024-12-12 18:06:48.000000,2024-12-11 15:24:22,11608.0,51.0,242.0,55.0,12335.0,205.0,2220.0,984.0,Cloud-native genomic dataframes and batch computing.,97.0,33,True,2024-10-04 20:32:46,0.2.133,100.0,hail,,,,['spark'],153.0,153.0,https://pypi.org/project/hail,266639.0,266639.0,,,,,,,,2.0,,,,,,,,,,,,,
184,MindsDB,mindsdb/mindsdb,ml-frameworks,,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45.000,2024-12-12 17:49:45.000000,2024-12-12 17:22:28,18934.0,302.0,4866.0,398.0,5703.0,81.0,3994.0,26911.0,Platform for building AI that can learn and answer questions over federated data.,863.0,32,True,2024-12-11 16:27:58,24.12.2.1,100.0,mindsdb,,,,['pytorch'],,,https://pypi.org/project/mindsdb,16247.0,16247.0,,,,,,,,3.0,,,,,,,,,,,,,
185,vit-pytorch,lucidrains/vit-pytorch,image,,https://github.com/lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24.000,2024-11-24 16:21:36.000000,2024-11-24 16:21:28,335.0,14.0,3067.0,156.0,56.0,126.0,142.0,21027.0,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single..",21.0,32,True,2024-11-24 16:21:36,1.8.9,100.0,vit-pytorch,,,,['pytorch'],562.0,562.0,https://pypi.org/project/vit-pytorch,28754.0,28754.0,,,,,,,,2.0,,,,,,,,,,,,,
186,mlx,ml-explore/mlx,ml-frameworks,,https://github.com/ml-explore/mlx,https://github.com/ml-explore/mlx,MIT,2023-11-28 23:33:45.000,2024-12-12 17:21:48.000000,2024-12-12 17:21:45,862.0,169.0,1025.0,148.0,978.0,101.0,479.0,17828.0,MLX: An array framework for Apple silicon.,131.0,32,True,2024-12-06 21:17:12,0.21.1,42.0,mlx,,,,,719.0,719.0,https://pypi.org/project/mlx,56581.0,56581.0,,,,,,,,3.0,,,,,,,,,,,,,
187,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000000,2020-10-14 16:36:49,6226.0,,4210.0,1016.0,1869.0,327.0,658.0,17801.0,"Zipline, a Pythonic Algorithmic Trading Library.",161.0,32,False,2020-10-05 15:43:07,1.4.1,13.0,zipline,conda-forge/zipline,,,,1019.0,1019.0,https://pypi.org/project/zipline,2724.0,2904.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,9217.0,,,,,1.0,,,,,,,,,,,,,
188,ivy,unifyai/ivy,ml-frameworks,,https://github.com/ivy-llc/ivy,https://github.com/ivy-llc/ivy,,2021-01-19 08:37:25.000,2024-12-06 11:15:56.000000,2024-12-06 11:14:53,18781.0,188.0,5708.0,71.0,11746.0,939.0,15952.0,14020.0,Convert Machine Learning Code Between Frameworks.,1479.0,32,True,2024-11-03 19:38:51,1.0.0.1,34.0,ivy,,,,,,,https://pypi.org/project/ivy,19158.0,19158.0,,,,,,,,3.0,,,ivy-llc/ivy,,,,,,,,,,
189,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2023-11-03 14:30:00.000000,2023-11-03 14:30:00,4358.0,,2033.0,283.0,3401.0,50.0,1494.0,10500.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,219.0,32,False,2023-06-06 20:16:41,1.7.2,23.0,parlai,,,,['pytorch'],260.0,260.0,https://pypi.org/project/parlai,3772.0,3772.0,,,,,,,,2.0,,,,,,,,,,,,,
190,wordcloud,amueller/word_cloud,data-viz,,https://github.com/amueller/word_cloud,https://github.com/amueller/word_cloud,MIT,2012-11-04 22:57:59.000,2024-12-02 14:23:48.392000,2024-11-10 14:19:33,580.0,4.0,2278.0,217.0,255.0,103.0,418.0,10206.0,A little word cloud generator in Python.,72.0,32,True,2024-11-10 14:21:42,1.9.4,14.0,wordcloud,conda-forge/wordcloud,,,,21.0,21.0,https://pypi.org/project/wordcloud,1876179.0,1887073.0,https://anaconda.org/conda-forge/wordcloud,2024-12-02 14:23:48.392,577432.0,,,,,2.0,,,,,,,,,,,,,
191,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/bayesian-optimization/BayesianOptimization,https://github.com/bayesian-optimization/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2024-12-09 12:00:57.000000,2024-12-09 11:51:02,387.0,9.0,1492.0,131.0,166.0,9.0,357.0,7974.0,A Python implementation of global optimization with gaussian processes.,47.0,32,True,2024-12-09 11:59:19,2.0.1,17.0,bayesian-optimization,,,,,3146.0,3146.0,https://pypi.org/project/bayesian-optimization,408656.0,408657.0,,,,,,,,2.0,,164.0,bayesian-optimization/BayesianOptimization,,,,,,,,,,
192,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2024-11-16 04:31:27.000000,2024-11-16 04:31:19,529.0,1.0,851.0,84.0,277.0,77.0,376.0,7886.0,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",82.0,32,True,2022-06-05 10:13:32,2.5,17.0,tensorboardX,conda-forge/tensorboardx,,,,51394.0,51394.0,https://pypi.org/project/tensorboardX,3978900.0,4002300.0,https://anaconda.org/conda-forge/tensorboardx,2023-08-20 16:29:43.490,1239986.0,,,,,2.0,,452.0,,,,,,,,,,,
193,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2024-12-12 00:37:05.000000,2024-11-13 15:11:46,32553.0,39.0,1982.0,387.0,6897.0,2776.0,6682.0,6953.0,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",269.0,32,True,,,,h2o,,,,,21.0,21.0,https://pypi.org/project/h2o,228190.0,228190.0,,,,,,,,2.0,,,,,,,,,,,,,
194,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50.000,2024-12-12 09:56:30.000000,2024-12-12 09:56:30,3764.0,304.0,1231.0,253.0,9883.0,1008.0,1635.0,6801.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Mixtral, Gemma, Phi, MiniCPM, Qwen-VL,..",112.0,32,True,2024-08-22 09:06:57,2.1.0,19.0,bigdl,,,,,,,https://pypi.org/project/bigdl,38640.0,38647.0,,,,,,,,2.0,,644.0,intel-analytics/ipex-llm,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4
195,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2024-06-27 17:56:28.000000,2024-06-27 17:56:21,2895.0,,2101.0,178.0,1152.0,16.0,1429.0,6792.0,Open Source Neural Machine Translation and (Large) Language Models in PyTorch.,192.0,32,True,2024-03-18 14:01:33,3.5.1,50.0,OpenNMT-py,,,,['pytorch'],302.0,302.0,https://pypi.org/project/OpenNMT-py,15825.0,15825.0,,,,,,,,2.0,,,,,,,,,,,,,
196,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2024-12-11 20:02:25.000000,2024-12-06 09:18:25,2229.0,20.0,318.0,45.0,2207.0,368.0,666.0,5260.0,Aim An easy-to-use & supercharged open-source experiment tracker.,77.0,32,True,2024-12-03 07:02:29,3.26.1,68.0,aim,conda-forge/aim,,,,753.0,753.0,https://pypi.org/project/aim,216223.0,218390.0,https://anaconda.org/conda-forge/aim,2024-06-14 16:22:37.168,88855.0,,,,,2.0,,,,,,,,,,,,,
197,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,,2014-12-17 18:16:59.000,2024-12-11 13:12:46.000000,2024-12-11 13:12:46,30567.0,214.0,1595.0,186.0,2226.0,13.0,1613.0,5151.0,"mlpack: a fast, header-only C++ machine learning library.",325.0,32,True,2024-12-04 19:12:30,4.5.1,49.0,mlpack,conda-forge/mlpack,,,,,,https://pypi.org/project/mlpack,7431.0,12576.0,https://anaconda.org/conda-forge/mlpack,2024-09-22 00:54:14.076,277860.0,,,,,3.0,,,,,,,,,,,,,
198,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2024-12-06 08:29:55.000000,2024-12-06 08:26:00,3944.0,32.0,543.0,85.0,635.0,109.0,500.0,5119.0,Online machine learning in Python.,124.0,32,True,2024-11-25 23:59:25,0.22.0,17.0,river,conda-forge/river,,,,607.0,607.0,https://pypi.org/project/river,100585.0,102627.0,https://anaconda.org/conda-forge/river,2023-10-06 14:40:00.791,89890.0,,,,,2.0,,,,,,,,,,,,,
199,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2024-11-20 21:17:10.552000,2024-06-17 19:23:44,491.0,,634.0,65.0,228.0,213.0,164.0,4431.0,Header-only C++/python library for fast approximate nearest neighbors.,72.0,32,True,2023-12-03 03:49:47,0.8.0,9.0,hnswlib,conda-forge/hnswlib,,,,7304.0,7304.0,https://pypi.org/project/hnswlib,765082.0,770687.0,https://anaconda.org/conda-forge/hnswlib,2024-11-20 21:17:10.552,269059.0,,,,,3.0,,,,,,,,,,,,,
200,tensorflow-probability,tensorflow/probability,probabilistics,,https://github.com/tensorflow/probability,https://github.com/tensorflow/probability,Apache-2.0,2017-10-23 23:50:54.000,2024-12-09 17:49:22.000000,2024-12-09 17:49:19,12199.0,30.0,1060.0,158.0,468.0,629.0,756.0,4274.0,Probabilistic reasoning and statistical analysis in TensorFlow.,496.0,32,True,2024-11-08 16:30:13,0.25.0,52.0,tensorflow-probability,conda-forge/tensorflow-probability,,,['tensorflow'],2.0,2.0,https://pypi.org/project/tensorflow-probability,1442682.0,1446078.0,https://anaconda.org/conda-forge/tensorflow-probability,2024-05-27 12:58:13.692,156247.0,,,,,2.0,,,,,,,,,,,,,
201,sacred,IDSIA/sacred,ml-experiments,,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29.000,2024-11-26 07:16:29.000000,2024-11-26 07:14:46,1352.0,4.0,370.0,70.0,376.0,101.0,460.0,4264.0,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",106.0,32,True,2024-11-26 07:16:29,0.8.7,15.0,sacred,conda-forge/sacred,,,,3308.0,3308.0,https://pypi.org/project/sacred,364353.0,364550.0,https://anaconda.org/conda-forge/sacred,2023-11-28 14:54:27.704,7293.0,,,,,2.0,,,,,,,,,,,,,
202,pytorch-forecasting,jdb78/pytorch-forecasting,time-series-data,,https://github.com/sktime/pytorch-forecasting,https://github.com/sktime/pytorch-forecasting,MIT,2020-07-03 13:05:24.000,2024-12-10 18:49:56.000000,2024-12-10 18:49:56,1922.0,27.0,630.0,45.0,919.0,482.0,312.0,4040.0,Time series forecasting with PyTorch.,59.0,32,True,2024-11-19 16:39:09,1.2.0,34.0,pytorch-forecasting,conda-forge/pytorch-forecasting,,,,457.0,457.0,https://pypi.org/project/pytorch-forecasting,61303.0,62642.0,https://anaconda.org/conda-forge/pytorch-forecasting,2023-06-16 19:21:40.268,68329.0,,,,,2.0,,,sktime/pytorch-forecasting,,,,,,,,,,
203,nevergrad,facebookresearch/nevergrad,hyperopt,,https://github.com/facebookresearch/nevergrad,https://github.com/facebookresearch/nevergrad,MIT,2018-11-21 00:33:17.000,2024-12-05 17:02:55.000000,2024-12-05 17:02:46,1132.0,27.0,351.0,58.0,1405.0,81.0,185.0,3979.0,A Python toolbox for performing gradient-free optimization.,57.0,32,True,2024-12-01 08:25:25,1.0.8,36.0,nevergrad,conda-forge/nevergrad,,,,791.0,791.0,https://pypi.org/project/nevergrad,122033.0,123059.0,https://anaconda.org/conda-forge/nevergrad,2024-01-09 16:02:07.312,56463.0,,,,,2.0,,,,,,,,,,,,,
