,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url,snap_id
101,Pyro,pyro-ppl/pyro,probabilistics,,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000,2023-12-06 21:39:33.000000,2023-12-06 21:28:39,2431.0,22.0,950.0,204.0,2256.0,224.0,824.0,8218.0,Deep universal probabilistic programming with Python and PyTorch.,147.0,35,True,2023-07-29 21:20:27,1.8.6,33.0,pyro-ppl,conda-forge/pyro-ppl,,,['pytorch'],1764.0,1764.0,https://pypi.org/project/pyro-ppl,297066.0,301080.0,https://anaconda.org/conda-forge/pyro-ppl,2023-07-29 23:12:47.995,132469.0,,,,,1.0,,,,,,,,,,,,,
102,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2023-12-07 08:16:04.000000,2023-10-11 23:12:41,657.0,25.0,316.0,69.0,103.0,30.0,127.0,7456.0,"Deep learning operations reinvented (for pytorch, tensorflow, jax and others).",24.0,35,True,2023-10-01 01:13:00,0.7.0,13.0,einops,conda-forge/einops,,,,21774.0,21774.0,https://pypi.org/project/einops,5096555.0,5101084.0,https://anaconda.org/conda-forge/einops,2023-10-01 10:01:09.036,172120.0,,,,,2.0,,,,,,,,,,,,,
103,stable-baselines3,DLR-RM/stable-baselines3,reinforcement-learning,,https://github.com/DLR-RM/stable-baselines3,https://github.com/DLR-RM/stable-baselines3,MIT,2020-05-05 05:52:26.000,2023-12-07 09:45:28.000000,2023-12-05 10:31:11,824.0,28.0,1377.0,60.0,490.0,67.0,1205.0,7005.0,"PyTorch version of Stable Baselines, reliable implementations of reinforcement learning algorithms.",136.0,35,True,2023-11-17 23:35:53,2.2.1,22.0,stable-baselines3,,,,,4223.0,4223.0,https://pypi.org/project/stable-baselines3,144093.0,144093.0,,,,,,,,1.0,,,,,,,,,,,,,
104,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,sklearn-utils,,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000,2023-11-28 15:45:20.000000,2023-10-23 10:43:57,848.0,2.0,1207.0,141.0,489.0,26.0,539.0,6570.0,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,80.0,35,True,2023-07-08 22:17:53,0.11.0,33.0,imbalanced-learn,conda-forge/imbalanced-learn,,,['sklearn'],22240.0,22240.0,https://pypi.org/project/imbalanced-learn,6165239.0,6177371.0,https://anaconda.org/conda-forge/imbalanced-learn,2023-07-08 22:18:55.284,509571.0,,,,,1.0,,,,,,,,,,,,,
105,BentoML,bentoml/BentoML,model-serialisation,,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27.000,2023-12-07 16:21:18.000000,2023-12-07 05:27:42,2706.0,81.0,659.0,75.0,3139.0,164.0,787.0,5959.0,Build Production-Grade AI Applications.,189.0,35,True,2023-11-20 04:07:45,1.1.10,95.0,bentoml,,,,,1410.0,1410.0,https://pypi.org/project/bentoml,69534.0,69571.0,,,,,,,,2.0,2125.0,,,,,,,,,,,,
106,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50.000,2023-12-07 12:17:01.000000,2023-12-07 11:02:41,20863.0,470.0,1073.0,239.0,7627.0,684.0,1319.0,4579.0,Accelerate LLM with low-bit (FP4 / INT4 / FP8 / INT8) optimizations using bigdl-llm.,189.0,35,True,2023-11-13 02:02:20,2.4.0,19.0,bigdl,,,,,46.0,46.0,https://pypi.org/project/bigdl,5681.0,5681.0,,,,,,,,2.0,57.0,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4,
107,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2023-12-04 15:06:50.000000,2023-12-04 14:53:10,1651.0,35.0,593.0,60.0,1793.0,123.0,1213.0,4392.0,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,204.0,35,True,2023-10-19 08:22:16,0.4.13,24.0,pytorch-ignite,pytorch/ignite,,,['pytorch'],2548.0,2548.0,https://pypi.org/project/pytorch-ignite,250394.0,252955.0,https://anaconda.org/pytorch/ignite,2023-10-19 08:25:55.130,169044.0,,,,,2.0,,,,,,,,,,,,,
108,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2023-12-07 07:00:18.000000,2023-12-06 18:10:27,3602.0,110.0,767.0,57.0,1360.0,301.0,1166.0,3797.0,"Serve, optimize and scale PyTorch models in production.",181.0,35,True,2023-10-13 00:21:43,0.9.0,22.0,torchserve,pytorch/torchserve,pytorch/torchserve,,['pytorch'],559.0,559.0,https://pypi.org/project/torchserve,40711.0,68262.0,https://anaconda.org/pytorch/torchserve,2023-10-12 22:01:52.717,138665.0,https://hub.docker.com/r/pytorch/torchserve,2023-10-12 22:44:52.307587,22.0,1213871.0,2.0,5423.0,,,,,,,,,,,,
109,Thinc,explosion/thinc,ml-frameworks,,https://github.com/explosion/thinc,https://github.com/explosion/thinc,MIT,2014-10-16 16:34:59.000,2023-11-19 09:15:38.000000,2023-11-08 15:28:17,5266.0,9.0,267.0,81.0,770.0,17.0,123.0,2768.0,"A refreshing functional take on deep learning, compatible with your favorite libraries.",63.0,35,True,2023-09-22 09:35:25,8.2.1,75.0,thinc,conda-forge/thinc,,,,39976.0,39976.0,https://pypi.org/project/thinc,6119562.0,6181767.0,https://anaconda.org/conda-forge/thinc,2023-09-25 06:51:17.362,2674850.0,,,,,2.0,,,,,,,,,,,,,
110,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2023-12-07 17:31:40.000000,2023-12-07 16:56:51,2728.0,191.0,268.0,68.0,1440.0,27.0,573.0,2186.0,Adaptive Experimentation Platform.,157.0,35,True,2023-11-13 22:37:51,0.3.5,37.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],594.0,594.0,https://pypi.org/project/ax-platform,90717.0,91246.0,https://anaconda.org/conda-forge/ax-platform,2023-11-17 23:01:51.328,15875.0,,,,,1.0,,,,,,,,,,,,,
111,Rasterio,rasterio/rasterio,geospatial-data,,https://github.com/rasterio/rasterio,https://github.com/rasterio/rasterio,,2013-11-04 16:36:27.000,2023-12-07 17:02:06.000000,2023-11-28 23:48:15,3793.0,19.0,508.0,147.0,1112.0,127.0,1594.0,2051.0,Rasterio reads and writes geospatial raster datasets.,150.0,35,True,2023-10-19 14:09:18,1.3.9,82.0,rasterio,conda-forge/rasterio,,,,9660.0,9660.0,https://pypi.org/project/rasterio,2092015.0,2169881.0,https://anaconda.org/conda-forge/rasterio,2023-10-19 11:41:01.295,2725037.0,,,,,2.0,853.0,,,,,,,,,,,,
112,snakemake,snakemake/snakemake,ml-experiments,,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2015-10-17 15:43:54.867,2023-12-07 15:53:17.000000,2023-12-07 08:31:12,4924.0,120.0,458.0,22.0,1103.0,860.0,575.0,1995.0,"This is the development home of the workflow management system Snakemake. For general information, see.",310.0,35,True,2023-09-18 14:43:30,7.32.4,216.0,snakemake,bioconda/snakemake,,,,1783.0,1783.0,https://pypi.org/project/snakemake,329433.0,338882.0,https://anaconda.org/bioconda/snakemake,2023-10-17 09:53:13.042,926040.0,,,,,2.0,,,,,,,,,,,,,
113,Graphviz,xflr6/graphviz,data-viz,,https://github.com/xflr6/graphviz,https://github.com/xflr6/graphviz,MIT,2014-01-12 17:49:29.000,2023-12-06 23:46:08.496000,2023-12-04 09:05:52,1211.0,12.0,203.0,33.0,46.0,8.0,157.0,1497.0,Simple Python interface for Graphviz.,22.0,35,True,,,13.0,graphviz,anaconda/python-graphviz,,,,57167.0,57167.0,https://pypi.org/project/graphviz,7872918.0,7873445.0,https://anaconda.org/anaconda/python-graphviz,2023-12-06 23:46:08.496,42168.0,,,,,2.0,,,,,,,,,,,,,
114,Fiona,Toblerity/Fiona,geospatial-data,,https://github.com/Toblerity/Fiona,https://github.com/Toblerity/Fiona,BSD-3-Clause,2011-12-31 19:47:00.000,2023-12-05 18:18:24.000000,2023-12-05 18:18:19,1470.0,17.0,195.0,47.0,524.0,28.0,731.0,1092.0,Fiona reads and writes geographic data files.,72.0,35,True,2023-10-12 19:29:21,1.9.5,47.0,fiona,conda-forge/fiona,,,,16518.0,16518.0,https://pypi.org/project/fiona,6574045.0,6699451.0,https://anaconda.org/conda-forge/fiona,2023-11-15 12:49:41.898,5141664.0,,,,,2.0,,,,,,,,,,,,,
115,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2023-12-07 03:55:52.000000,2023-12-07 03:55:48,7388.0,251.0,2544.0,298.0,182.0,21.0,994.0,24709.0,"Visualizer for neural network, deep learning and machine learning models.",,34,True,2023-12-02 02:28:43,7.3.2,2.0,netron,,,,"['pytorch', 'tensorflow']",11.0,11.0,https://pypi.org/project/netron,21307.0,89311.0,,,,,,,,1.0,68004.0,,,,,,,,,,,,
116,PyFlink,apache/flink,ml-frameworks,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10.000,2023-12-07 17:39:42.000000,2023-12-07 12:58:50,34422.0,423.0,12138.0,945.0,23876.0,,,22378.0,Apache Flink Python API.,1805.0,34,True,,,,apache-flink,,,,,21.0,21.0,https://pypi.org/project/apache-flink,75088.0,75088.0,,,,,,,,3.0,,,,,,,,,,,,,
117,haystack,deepset-ai/haystack,nlp,,https://github.com/deepset-ai/haystack,https://github.com/deepset-ai/haystack,Apache-2.0,2019-11-14 09:05:28.000,2023-12-07 17:38:27.000000,2023-12-07 13:01:32,2909.0,370.0,1463.0,117.0,3085.0,384.0,2359.0,11841.0,"LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (models,..",223.0,34,True,2023-11-09 16:44:55,1.22.1,71.0,haystack,,,,,40.0,40.0,https://pypi.org/project/haystack,2267.0,2267.0,,,,,,,,2.0,23.0,,,,,,,,,,,,
118,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2023-12-07 08:56:43.000000,2023-12-03 23:44:34,3717.0,255.0,785.0,135.0,154.0,91.0,950.0,10584.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",86.0,34,True,2023-11-29 22:51:29,15.4.4,46.0,ocrmypdf,conda-forge/ocrmypdf,,,,684.0,684.0,https://pypi.org/project/ocrmypdf,50351.0,52433.0,https://anaconda.org/conda-forge/ocrmypdf,2023-06-16 19:24:58.228,59583.0,,,,,2.0,1322.0,,,,,,ocrmypdf,ocrmypdf,,,,,
119,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23.000,2023-12-07 13:39:19.000000,2023-11-10 11:25:48,6020.0,39.0,3038.0,238.0,1412.0,944.0,3807.0,9962.0,Open-source simulator for autonomous driving research.,170.0,34,True,2023-11-11 12:51:52,0.9.15,26.0,carla,,,,,597.0,597.0,https://pypi.org/project/carla,16850.0,16850.0,,,,,,,,1.0,,,,,,,,,,,,,
120,TextBlob,sloria/TextBlob,nlp,,https://github.com/sloria/TextBlob,https://github.com/sloria/TextBlob,MIT,2013-06-30 18:29:18.000,2023-06-16 13:22:54.304000,2023-03-11 18:17:15,563.0,,1089.0,268.0,156.0,103.0,155.0,8770.0,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation,..",36.0,34,True,2013-09-26 02:29:01,0.7.0,7.0,textblob,conda-forge/textblob,,,,34409.0,34409.0,https://pypi.org/project/textblob,600273.0,603001.0,https://anaconda.org/conda-forge/textblob,2023-06-16 13:22:54.304,240076.0,,,,,2.0,113.0,,,,,,,,,,,,
121,Datasette,simonw/datasette,others,,https://github.com/simonw/datasette,https://github.com/simonw/datasette,Apache-2.0,2017-10-23 00:39:03.000,2023-11-15 15:22:00.000000,2023-10-13 00:00:27,2469.0,25.0,582.0,102.0,435.0,502.0,1157.0,8516.0,An open source multi-tool for exploring and publishing data.,75.0,34,True,2023-10-08 16:05:20,0.64.5,100.0,datasette,conda-forge/datasette,,,,1119.0,1119.0,https://pypi.org/project/datasette,35159.0,36048.0,https://anaconda.org/conda-forge/datasette,2023-09-27 17:06:18.945,28441.0,,,,,1.0,59.0,,,,,,datasette,,,,,,
122,PyOD,yzhao062/pyod,ml-frameworks,,https://github.com/yzhao062/pyod,https://github.com/yzhao062/pyod,BSD-2-Clause,2017-10-03 20:29:04.000,2023-11-18 14:21:28.000000,2023-11-18 08:41:51,1720.0,28.0,1280.0,147.0,205.0,170.0,144.0,7655.0,A Comprehensive and Scalable Python Library for Outlier Detection (Anomaly Detection).,50.0,34,True,2023-11-18 08:45:46,1.1.2,38.0,pyod,conda-forge/pyod,,,,3077.0,3077.0,https://pypi.org/project/pyod,705325.0,707351.0,https://anaconda.org/conda-forge/pyod,2023-11-18 09:26:18.014,87154.0,,,,,3.0,,,,,,,,,,,,,
123,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2023-12-07 17:55:48.000000,2023-12-07 05:32:51,32261.0,195.0,1952.0,388.0,6711.0,2653.0,6503.0,6570.0,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",247.0,34,True,,,,h2o,,,,,21.0,21.0,https://pypi.org/project/h2o,408128.0,408128.0,,,,,,,,2.0,,,,,,,,,,,,,
124,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2023-12-07 17:17:32.000000,2023-12-04 13:41:19,2858.0,42.0,2079.0,174.0,1113.0,17.0,1400.0,6375.0,Open Source Neural Machine Translation and (Large) Language Models in PyTorch.,191.0,34,True,2023-11-02 12:53:15,3.4.3,48.0,OpenNMT-py,,,,['pytorch'],236.0,236.0,https://pypi.org/project/OpenNMT-py,5121.0,5121.0,,,,,,,,2.0,,,,,,,,,,,,,
125,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2023-12-07 17:51:12.000000,2023-12-07 16:07:17,18737.0,675.0,436.0,51.0,2526.0,409.0,960.0,5534.0,"Visualize, create, and debug image and video datasets and model predictions.",101.0,34,True,2023-12-06 01:49:03,0.23.0,78.0,fiftyone,,,,"['tensorflow', 'pytorch', 'jupyter']",449.0,449.0,https://pypi.org/project/fiftyone,42261.0,42261.0,,,,,,,,2.0,,,,,,,,,,,,,
126,Gymnasium,Farama-Foundation/Gymnasium,reinforcement-learning,,https://github.com/Farama-Foundation/Gymnasium,https://github.com/Farama-Foundation/Gymnasium,MIT,2022-09-08 01:58:05.000,2023-12-07 13:02:19.000000,2023-12-06 21:52:07,2182.0,36.0,529.0,32.0,521.0,47.0,251.0,4434.0,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related..",458.0,34,True,2023-08-21 13:05:21,0.29.1,10.0,gymnasium,conda-forge/gymnasium,,,,3587.0,3587.0,https://pypi.org/project/gymnasium,430898.0,433901.0,https://anaconda.org/conda-forge/gymnasium,2023-06-18 08:43:17.773,36044.0,,,,,1.0,,,,,,,,,,,,,
127,litellm,BerriAI/litellm,nlp,,https://github.com/BerriAI/litellm,https://github.com/BerriAI/litellm,MIT,2023-07-27 00:09:52.000,2023-12-07 17:38:38.000000,2023-12-07 17:38:37,4249.0,3139.0,315.0,30.0,165.0,148.0,722.0,3491.0,"Call all LLM APIs using the OpenAI format. Use Bedrock, Azure, OpenAI, Cohere, Anthropic, Ollama, Sagemaker,..",69.0,34,True,2023-12-05 05:07:23,1.10.4,10.0,litellm,,,,,533.0,533.0,https://pypi.org/project/litellm,203994.0,203994.0,,,,,,,,2.0,,,,,,,,,,,,,
128,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2023-11-23 19:27:38.000000,2023-11-15 13:02:20,2274.0,19.0,524.0,70.0,478.0,254.0,680.0,2209.0,Survival analysis in Python.,115.0,34,True,2023-09-13 15:30:38,0.27.8,100.0,lifelines,conda-forge/lifelines,,,,2025.0,2025.0,https://pypi.org/project/lifelines,437290.0,444370.0,https://anaconda.org/conda-forge/lifelines,2023-09-13 16:31:11.545,304459.0,,,,,2.0,,,,,,,,,,,,,
129,optimum,huggingface/optimum,gpu-utilities,,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,Apache-2.0,2021-07-20 12:36:40.000,2023-12-07 14:51:14.000000,2023-12-07 14:51:13,904.0,80.0,282.0,54.0,1024.0,214.0,323.0,1778.0,Accelerate training and inference of Transformers and Diffusers with easy to use hardware optimization tools.,86.0,34,True,2023-12-06 10:34:27,1.15.0,46.0,optimum,conda-forge/optimum,,,,1047.0,1047.0,https://pypi.org/project/optimum,707780.0,708287.0,https://anaconda.org/conda-forge/optimum,2023-12-06 12:48:00.791,10155.0,,,,,1.0,,,,,,,,,,,,,
130,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,LGPL-3.0,2012-08-03 07:43:59.000,2023-12-06 19:45:23.000000,2023-11-30 18:36:10,2931.0,58.0,347.0,55.0,1108.0,278.0,914.0,1305.0,Cartopy - a cartographic python library with matplotlib support.,124.0,34,True,2023-08-05 00:46:57,0.22.0,24.0,cartopy,conda-forge/cartopy,,,,4122.0,4122.0,https://pypi.org/project/cartopy,159194.0,236465.0,https://anaconda.org/conda-forge/cartopy,2023-10-24 18:58:07.197,3322687.0,,,,,2.0,,,,,,,,,,,,,
131,TensorFlow Text,tensorflow/text,nlp,,https://github.com/tensorflow/text,https://github.com/tensorflow/text,Apache-2.0,2019-05-29 22:10:03.000,2023-12-06 19:03:58.000000,2023-10-17 15:41:51,860.0,7.0,305.0,45.0,1004.0,70.0,163.0,1165.0,Making text a first-class citizen in TensorFlow.,111.0,34,True,2023-11-15 19:00:05,2.15.0,53.0,tensorflow-text,,,,['tensorflow'],6133.0,6133.0,https://pypi.org/project/tensorflow-text,3431299.0,3431299.0,,,,,,,,2.0,,,,,,,,,,,,,
132,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,https://github.com/intel/scikit-learn-intelex,https://github.com/intel/scikit-learn-intelex,Apache-2.0,2018-08-07 06:45:41.000,2023-12-07 18:15:26.000000,2023-12-07 13:06:08,1507.0,90.0,153.0,31.0,1354.0,40.0,168.0,1086.0,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,77.0,34,True,2023-11-30 17:53:01,2024.0.1,23.0,scikit-learn-intelex,conda-forge/scikit-learn-intelex,,,['sklearn'],8806.0,8806.0,https://pypi.org/project/scikit-learn-intelex,291808.0,298887.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2023-07-25 12:42:29.795,226534.0,,,,,1.0,,,,,,,,,,,,,
133,Nilearn,nilearn/nilearn,medical-data,,https://github.com/nilearn/nilearn,https://github.com/nilearn/nilearn,,2011-01-09 19:02:23.000,2023-12-07 16:32:03.000000,2023-12-07 10:05:53,10131.0,116.0,532.0,69.0,2229.0,243.0,1659.0,1061.0,Machine learning for NeuroImaging in Python.,229.0,34,True,2023-10-01 19:30:40,0.10.2,22.0,nilearn,conda-forge/nilearn,,,['sklearn'],2741.0,2741.0,https://pypi.org/project/nilearn,56421.0,63326.0,https://anaconda.org/conda-forge/nilearn,2023-10-02 11:59:55.930,255349.0,,,,,2.0,147.0,,,,,,,,,,,,
134,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2023-12-07 16:17:43.000000,2023-12-07 06:02:03,2912.0,174.0,3978.0,372.0,3480.0,321.0,1144.0,35522.0,"Making large AI models cheaper, faster and more accessible.",160.0,33,True,2023-11-01 05:57:35,0.3.4,34.0,,,,,,279.0,279.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
135,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2023-12-07 06:20:49.000000,2023-12-07 06:15:55,1495.0,9.0,6750.0,384.0,645.0,372.0,3035.0,27418.0,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",261.0,33,True,2021-11-15 22:08:26,0.6,10.0,detectron2,conda-forge/detectron2,,,['pytorch'],1496.0,1496.0,https://pypi.org/project/detectron2,,5234.0,https://anaconda.org/conda-forge/detectron2,2023-11-30 09:37:14.142,214602.0,,,,,2.0,,,,,,,,,,,,,
136,DeepSpeech,mozilla/DeepSpeech,audio,,https://github.com/mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,MPL-2.0,2016-06-02 15:04:53.000,2023-09-16 05:37:11.000000,2021-11-17 17:52:52,3466.0,,3728.0,664.0,1668.0,116.0,1979.0,23471.0,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices..",163.0,33,False,2020-12-10 15:58:47,0.9.3,100.0,deepspeech,conda-forge/deepspeech,,,['tensorflow'],381.0,381.0,https://pypi.org/project/deepspeech,3328.0,20709.0,https://anaconda.org/conda-forge/deepspeech,2023-06-16 19:27:01.157,2426.0,,,,,2.0,1089834.0,,,,,,,,,,,,
137,MindsDB,mindsdb/mindsdb,ml-frameworks,,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45.000,2023-12-07 17:54:29.000000,2023-12-07 16:55:42,16337.0,2176.0,2528.0,377.0,4448.0,482.0,3102.0,19165.0,MindsDB connects AI models to real time data.,813.0,33,True,2023-12-07 17:55:04,23.11.4.2,100.0,mindsdb,,,,['pytorch'],,,https://pypi.org/project/mindsdb,20105.0,20105.0,,,,,,,,3.0,,,,,,,,,,,,,
138,horovod,horovod/horovod,distributed-ml,,https://github.com/horovod/horovod,https://github.com/horovod/horovod,,2017-08-09 19:39:59.000,2023-12-03 12:09:22.000000,2023-09-18 08:44:36,1331.0,5.0,2153.0,331.0,1577.0,362.0,1847.0,13690.0,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",172.0,33,True,2023-06-12 09:26:22,0.28.1,24.0,horovod,,,,,1054.0,1054.0,https://pypi.org/project/horovod,57843.0,57843.0,,,,,,,,2.0,,,,,,,,,,stable/horovod,,,
139,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2023-10-30 04:23:19.000000,2023-10-26 05:31:53,3012.0,1.0,1767.0,284.0,3502.0,339.0,1675.0,13435.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",192.0,33,True,2023-09-14 12:12:06,3.0,40.0,nni,,,,,521.0,521.0,https://pypi.org/project/nni,17144.0,17144.0,,,,,,,,1.0,,,,,,,,,,,,,
140,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2023-09-25 04:57:08.085000,2023-08-20 17:38:53,890.0,,1099.0,320.0,266.0,49.0,341.0,12233.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,88.0,33,True,2023-06-14 16:34:48,1.17.3,21.0,annoy,conda-forge/python-annoy,,,,3359.0,3359.0,https://pypi.org/project/annoy,814792.0,824435.0,https://anaconda.org/conda-forge/python-annoy,2023-09-25 04:57:08.085,376099.0,,,,,2.0,,-2.0,,,,,,,,,,,
141,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2023-11-01 06:14:06.000000,2021-11-29 19:55:31,1571.0,,1124.0,339.0,1683.0,502.0,1294.0,11122.0,Turi Create simplifies the development of custom machine learning models.,86.0,33,False,2020-09-30 22:44:07,6.4.1,30.0,turicreate,,,,,364.0,364.0,https://pypi.org/project/turicreate,19118.0,19249.0,,,,,,,,3.0,9486.0,,,,,,,,,,,,
142,Lime,marcotcr/lime,interpretability,,https://github.com/marcotcr/lime,https://github.com/marcotcr/lime,BSD-2-Clause,2016-03-15 22:18:10.000,2023-10-25 13:56:47.000000,2021-07-29 23:17:25,531.0,,1716.0,263.0,114.0,82.0,535.0,11017.0,Lime: Explaining the predictions of any machine learning classifier.,62.0,33,False,2020-04-03 22:05:03,0.2.0.0,18.0,lime,conda-forge/lime,,,,4688.0,4688.0,https://pypi.org/project/lime,302851.0,305153.0,https://anaconda.org/conda-forge/lime,2023-06-16 13:18:57.655,193374.0,,,,,1.0,,,,,,,,,,,,,
143,Ludwig,ludwig-ai/ludwig,ml-frameworks,,https://github.com/ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,Apache-2.0,2018-12-27 23:58:12.000,2023-12-06 22:36:39.000000,2023-12-06 22:36:39,3750.0,132.0,1081.0,188.0,2726.0,266.0,739.0,10217.0,"Low-code framework for building custom LLMs, neural networks, and other AI models.",147.0,33,True,2023-10-13 15:47:19,0.8.6,42.0,ludwig,,,,['tensorflow'],226.0,226.0,https://pypi.org/project/ludwig,5228.0,5228.0,,,,,,,,3.0,,,,,,,,,,,,,
144,TPOT,EpistasisLab/tpot,hyperopt,,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40.000,2023-11-28 19:16:29.000000,2023-09-06 21:46:11,2424.0,,1511.0,290.0,425.0,273.0,635.0,9338.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,116.0,33,True,2023-08-15 18:21:39,0.12.1,29.0,tpot,conda-forge/tpot,,,['sklearn'],2495.0,2495.0,https://pypi.org/project/tpot,38865.0,44605.0,https://anaconda.org/conda-forge/tpot,2023-08-15 22:49:07.495,241118.0,,,,,1.0,,,,,,,,,,,,,
