,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
182,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2023-11-03 14:30:00.000,2023-11-03 14:30:00,4358.0,,2035.0,283.0,3401.0,50.0,1494.0,10479.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,218.0,32,True,2023-06-06 20:16:41,1.7.2,23.0,parlai,,,['pytorch'],,3843.0,256.0,256.0,https://pypi.org/project/parlai,3843.0,,,,2.0,,,,,,,,,,,,,,,,
183,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2024-10-01 18:34:33.000,2024-04-08 20:21:10,864.0,,1289.0,422.0,89.0,32.0,161.0,9760.0,TensorFlow-based neural network library.,59.0,32,True,2024-01-02 11:08:14,2.0.2,13.0,dm-sonnet,conda-forge/sonnet,,['tensorflow'],,22338.0,1344.0,1344.0,https://pypi.org/project/dm-sonnet,21757.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,34295.0,3.0,,,,,,google-deepmind/sonnet,,,,,,,,,,
184,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2024-09-03 22:18:55.000,2023-11-12 14:28:03,528.0,,853.0,84.0,276.0,74.0,376.0,7863.0,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",82.0,32,True,2022-06-05 10:13:32,2.5,17.0,tensorboardX,conda-forge/tensorboardx,,,447.0,3241079.0,48900.0,48900.0,https://pypi.org/project/tensorboardX,3217164.0,https://anaconda.org/conda-forge/tensorboardx,2023-08-20 16:29:43.490,1219449.0,2.0,,,,,,,,,,,,,,,,
185,stanza,stanfordnlp/stanza,nlp,,https://github.com/stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,,2017-09-26 08:00:56.000,2024-09-22 18:07:58.000,2024-09-12 23:27:08,4682.0,107.0,860.0,140.0,498.0,92.0,803.0,7261.0,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages.",68.0,32,True,2024-09-12 23:17:21,1.9.2,26.0,stanza,stanfordnlp/stanza,,,,282278.0,3126.0,3126.0,https://pypi.org/project/stanza,282134.0,https://anaconda.org/stanfordnlp/stanza,2023-06-16 19:18:21.932,7933.0,2.0,,,,,,,,,,,,,,,,
186,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2024-06-27 17:56:28.000,2024-06-27 17:56:21,2895.0,,2103.0,177.0,1152.0,15.0,1429.0,6738.0,Open Source Neural Machine Translation and (Large) Language Models in PyTorch.,191.0,32,True,2024-03-18 14:01:33,3.5.1,50.0,OpenNMT-py,,,['pytorch'],,9804.0,291.0,291.0,https://pypi.org/project/OpenNMT-py,9804.0,,,,2.0,,,,,,,,,,,,,,,,
187,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50.000,2024-10-10 07:44:36.000,2024-10-10 07:44:36,3502.0,355.0,1212.0,250.0,9596.0,987.0,1588.0,6574.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, MiniCPM,..",108.0,32,True,2024-08-22 09:06:57,2.1.0,19.0,bigdl,,,,639.0,54102.0,,,https://pypi.org/project/bigdl,54095.0,,,,2.0,,,,,,intel-analytics/ipex-llm,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4
188,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2024-09-03 13:46:04.210,2024-05-07 13:49:33,2334.0,,1103.0,190.0,238.0,232.0,285.0,5801.0,Distributed Evolutionary Algorithms in Python.,88.0,32,True,,,6.0,deap,conda-forge/deap,,,,351010.0,5304.0,5304.0,https://pypi.org/project/deap,341770.0,https://anaconda.org/conda-forge/deap,2024-09-03 13:46:04.210,443522.0,2.0,,,,,,,,,,,,,,,,
189,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2024-10-09 20:02:05.000,2024-10-02 16:35:21,2213.0,16.0,312.0,45.0,2189.0,360.0,664.0,5175.0,Aim An easy-to-use & supercharged open-source experiment tracker.,76.0,32,True,2024-10-02 17:28:03,3.25.0,66.0,aim,conda-forge/aim,,,,350856.0,697.0,697.0,https://pypi.org/project/aim,348813.0,https://anaconda.org/conda-forge/aim,2024-06-14 16:22:37.168,79681.0,2.0,,,,,,,,,,,,,,,,
190,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,,2014-12-17 18:16:59.000,2024-10-10 13:52:36.000,2024-10-10 13:52:36,30411.0,257.0,1582.0,183.0,2186.0,8.0,1612.0,5062.0,"mlpack: a fast, header-only C++ machine learning library.",323.0,32,True,2024-09-18 13:09:07,4.5.0,48.0,mlpack,conda-forge/mlpack,,,,13233.0,,,https://pypi.org/project/mlpack,8400.0,https://anaconda.org/conda-forge/mlpack,2024-09-22 00:54:14.076,251364.0,3.0,,,,,,,,,,,,,,,,
191,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2024-10-03 19:31:42.000,2024-10-03 19:24:18,3913.0,30.0,530.0,82.0,603.0,108.0,495.0,5036.0,Online machine learning in Python.,121.0,32,True,2024-07-09 02:21:03,0.21.2,16.0,river,conda-forge/river,,,,80415.0,570.0,570.0,https://pypi.org/project/river,78483.0,https://anaconda.org/conda-forge/river,2023-10-06 14:40:00.791,81164.0,2.0,,,,,,,,,,,,,,,,
192,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2024-08-11 18:38:37.000,2024-06-17 19:23:44,491.0,,613.0,65.0,223.0,207.0,162.0,4319.0,Header-only C++/python library for fast approximate nearest neighbors.,72.0,32,True,2023-12-03 03:49:47,0.8.0,9.0,hnswlib,conda-forge/hnswlib,,,,989619.0,7018.0,7018.0,https://pypi.org/project/hnswlib,984433.0,https://anaconda.org/conda-forge/hnswlib,2023-09-27 14:20:16.958,238591.0,3.0,,,,,,,,,,,,,,,,
193,sacred,IDSIA/sacred,ml-experiments,,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29.000,2024-08-26 09:22:38.000,2024-08-26 09:20:38,1348.0,4.0,368.0,69.0,371.0,99.0,460.0,4233.0,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",105.0,32,True,2024-08-26 09:22:38,0.8.6,14.0,sacred,conda-forge/sacred,,,,209009.0,3209.0,3209.0,https://pypi.org/project/sacred,208820.0,https://anaconda.org/conda-forge/sacred,2023-11-28 14:54:27.704,6638.0,2.0,,,,,,,,,,,,,,,,
194,nevergrad,facebookresearch/nevergrad,hyperopt,,https://github.com/facebookresearch/nevergrad,https://github.com/facebookresearch/nevergrad,MIT,2018-11-21 00:33:17.000,2024-10-04 07:57:04.000,2024-10-04 07:45:46,1113.0,19.0,348.0,58.0,1379.0,80.0,184.0,3946.0,A Python toolbox for performing gradient-free optimization.,57.0,32,True,2024-09-25 16:22:54,1.0.5,34.0,nevergrad,conda-forge/nevergrad,,,,81607.0,752.0,752.0,https://pypi.org/project/nevergrad,80583.0,https://anaconda.org/conda-forge/nevergrad,2024-01-09 16:02:07.312,54295.0,2.0,,,,,,,,,,,,,,,,
195,pytorch-forecasting,jdb78/pytorch-forecasting,time-series-data,,https://github.com/sktime/pytorch-forecasting,https://github.com/sktime/pytorch-forecasting,MIT,2020-07-03 13:05:24.000,2024-10-10 10:12:03.000,2024-10-10 10:12:03,1904.0,113.0,609.0,42.0,904.0,475.0,306.0,3911.0,Time series forecasting with PyTorch.,53.0,32,True,2024-09-09 09:08:32,1.1.1,33.0,pytorch-forecasting,conda-forge/pytorch-forecasting,,,,56557.0,442.0,442.0,https://pypi.org/project/pytorch-forecasting,55237.0,https://anaconda.org/conda-forge/pytorch-forecasting,2023-06-16 19:21:40.268,64695.0,2.0,,,,,,sktime/pytorch-forecasting,,,,,,,,,,
196,GPyTorch,cornellius-gp/gpytorch,probabilistics,,https://github.com/cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch,MIT,2017-06-09 14:48:20.000,2024-09-27 22:14:33.000,2024-09-27 22:14:33,3900.0,20.0,534.0,58.0,914.0,337.0,979.0,3540.0,A highly efficient implementation of Gaussian Processes in PyTorch.,135.0,32,True,2024-09-06 21:42:56,1.13,34.0,gpytorch,conda-forge/gpytorch,,['pytorch'],,266605.0,2377.0,2377.0,https://pypi.org/project/gpytorch,263247.0,https://anaconda.org/conda-forge/gpytorch,2024-09-07 18:14:18.267,177982.0,2.0,,,,,,,,,,,,,,,,
197,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2024-08-30 20:15:08.000,2024-05-03 16:54:19,704.0,,276.0,46.0,828.0,74.0,285.0,3168.0,PyTorch extensions for high performance and large scale training.,75.0,32,True,2022-12-11 18:09:19,0.4.13,35.0,fairscale,conda-forge/fairscale,,['pytorch'],,550012.0,6439.0,6439.0,https://pypi.org/project/fairscale,541271.0,https://anaconda.org/conda-forge/fairscale,2023-11-28 00:29:10.363,305947.0,2.0,,,,,,,,,,,,,,,,
198,lightly,lightly-ai/lightly,image,,https://github.com/lightly-ai/lightly,https://github.com/lightly-ai/lightly,MIT,2020-10-13 13:02:56.000,2024-10-10 12:04:09.000,2024-10-10 09:19:45,1267.0,63.0,267.0,29.0,1121.0,70.0,498.0,3118.0,A python library for self-supervised learning on images.,53.0,32,True,2024-09-24 08:48:24,1.5.13,100.0,lightly,,,['pytorch'],,34804.0,321.0,321.0,https://pypi.org/project/lightly,34804.0,,,,2.0,,,,,,,,,,,,,,,,
199,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2024-06-05 12:17:25.116,2021-10-12 13:32:38,1570.0,,517.0,63.0,546.0,254.0,393.0,2740.0,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,32,False,2021-10-12 15:33:19,0.9.0,23.0,scikit-optimize,conda-forge/scikit-optimize,,,,1005790.0,6636.0,6636.0,https://pypi.org/project/scikit-optimize,990876.0,https://anaconda.org/conda-forge/scikit-optimize,2024-06-05 12:17:25.116,745720.0,2.0,,,,,,,,,,,,,,,,
200,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2024-09-05 19:07:36.000,2024-09-05 19:07:36,2302.0,2.0,546.0,70.0,486.0,257.0,710.0,2350.0,Survival analysis in Python.,119.0,32,True,2024-06-26 15:36:26,0.29.0,100.0,lifelines,conda-forge/lifelines,,,,1175276.0,2965.0,2965.0,https://pypi.org/project/lifelines,1168282.0,https://anaconda.org/conda-forge/lifelines,2024-06-27 16:03:16.815,370687.0,2.0,,,,,,,,,,,,,,,,
201,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,MIT,2010-07-09 20:41:11.000,2024-09-07 01:20:44.000,2024-09-07 01:20:42,565.0,11.0,157.0,42.0,80.0,6.0,130.0,2049.0,a python library for doing approximate and phonetic matching of strings.,32.0,32,True,,,16.0,jellyfish,conda-forge/jellyfish,,,,5822627.0,10765.0,10765.0,https://pypi.org/project/jellyfish,5802770.0,https://anaconda.org/conda-forge/jellyfish,2024-09-06 22:00:00.405,1032598.0,2.0,,,,,,,,,,,,,,,,
202,evaluate,huggingface/evaluate,interpretability,,https://github.com/huggingface/evaluate,https://github.com/huggingface/evaluate,Apache-2.0,2022-03-30 15:08:26.000,2024-09-17 00:19:55.000,2024-09-17 00:19:55,953.0,9.0,252.0,47.0,349.0,152.0,141.0,1989.0,Evaluate: A library for easily evaluating machine learning models and datasets.,129.0,32,True,2024-09-11 10:17:30,0.4.3,11.0,evaluate,,,,,2464507.0,13011.0,13011.0,https://pypi.org/project/evaluate,2464507.0,,,,2.0,,,,,,,,,,,,,,,,
203,torchrec,pytorch/torchrec,recommender-systems,,https://github.com/pytorch/torchrec,https://github.com/pytorch/torchrec,BSD-3-Clause,2021-07-12 23:15:48.000,2024-10-10 15:49:52.000,2024-10-10 01:41:26,2158.0,196.0,411.0,32.0,2304.0,54.0,118.0,1893.0,Pytorch domain library for recommendation systems.,276.0,32,True,2024-07-23 18:00:18,0.8.0,18.0,torchrec,,,,,26862.0,144.0,144.0,https://pypi.org/project/torchrec,26862.0,,,,1.0,,,,,,,,,,,,,,,,
204,Opacus,pytorch/opacus,privacy-ml,,https://github.com/pytorch/opacus,https://github.com/pytorch/opacus,Apache-2.0,2019-12-07 01:58:09.000,2024-09-25 16:29:21.000,2024-09-25 16:23:34,731.0,15.0,330.0,46.0,384.0,59.0,234.0,1686.0,Training PyTorch models with differential privacy.,81.0,32,True,2024-08-03 10:32:36,1.5.2,24.0,opacus,conda-forge/opacus,,['pytorch'],124.0,218030.0,879.0,879.0,https://pypi.org/project/opacus,217497.0,https://anaconda.org/conda-forge/opacus,2024-08-05 12:31:17.057,17526.0,2.0,,,,,,,,,,,,,,,,
205,PySAL,pysal/pysal,geospatial-data,,https://github.com/pysal/pysal,https://github.com/pysal/pysal,BSD-3-Clause,2013-02-19 17:27:42.000,2024-10-07 15:49:46.000,2024-10-07 15:49:42,4366.0,68.0,281.0,79.0,671.0,17.0,634.0,1322.0,PySAL: Python Spatial Analysis Library Meta-Package.,79.0,32,True,2024-07-30 17:42:50,24.07,37.0,pysal,conda-forge/pysal,,,,57815.0,1664.0,1664.0,https://pypi.org/project/pysal,46471.0,https://anaconda.org/conda-forge/pysal,2024-07-30 21:31:48.610,578577.0,3.0,,,,,,,,,,,,,,,,
206,hvPlot,holoviz/hvplot,data-viz,,https://github.com/holoviz/hvplot,https://github.com/holoviz/hvplot,BSD-3-Clause,2018-03-19 14:22:41.000,2024-10-10 17:46:50.000,2024-10-10 17:46:48,723.0,32.0,108.0,25.0,580.0,345.0,452.0,1112.0,"A high-level plotting API for pandas, dask, xarray, and networkx built on HoloViews.",49.0,32,True,2024-09-27 16:52:43,0.11.0,21.0,hvplot,conda-forge/hvplot,,,,225726.0,5904.0,5904.0,https://pypi.org/project/hvplot,225726.0,https://anaconda.org/conda-forge/hvplot,,,2.0,,,,,,,,,,,,,,,,
207,Satpy,pytroll/satpy,geospatial-data,,https://github.com/pytroll/satpy,https://github.com/pytroll/satpy,GPL-3.0,2016-02-09 20:29:43.000,2024-10-09 08:05:34.000,2024-10-09 08:05:34,14009.0,230.0,285.0,34.0,1862.0,392.0,667.0,1057.0,Python package for earth-observing satellite data processing.,163.0,32,True,2024-08-15 13:15:16,0.51.0,66.0,satpy,conda-forge/satpy,,,,13670.0,147.0,147.0,https://pypi.org/project/satpy,9368.0,https://anaconda.org/conda-forge/satpy,2024-08-15 19:19:25.115,223704.0,3.0,,,,,,,,,,,,,,,,
208,Hail,hail-is/hail,medical-data,,https://github.com/hail-is/hail,https://github.com/hail-is/hail,MIT,2015-10-27 20:55:42.000,2024-10-09 18:53:09.000,2024-10-08 17:19:00,11574.0,46.0,239.0,56.0,12298.0,205.0,2213.0,977.0,Cloud-native genomic dataframes and batch computing.,95.0,32,True,2024-10-04 20:32:46,0.2.133,100.0,hail,,,['spark'],,37331.0,144.0,144.0,https://pypi.org/project/hail,37331.0,,,,2.0,,,,,,,,,,,,,,,,
209,spleeter,deezer/spleeter,audio,,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter,MIT,2019-09-26 15:40:46.000,2024-08-04 12:17:57.000,2023-07-13 08:50:20,531.0,,2810.0,387.0,123.0,211.0,561.0,25723.0,Deezer source separation library including pretrained models.,19.0,31,False,2021-09-03 09:59:00,2.3.0,10.0,spleeter,conda-forge/spleeter,,['tensorflow'],3449360.0,79741.0,803.0,803.0,https://pypi.org/project/spleeter,20665.0,https://anaconda.org/conda-forge/spleeter,2023-06-16 16:18:57.741,93663.0,2.0,,,,,,,,,,,,,,,,
210,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2024-08-01 02:26:10.000,2024-08-01 02:26:04,1422.0,1.0,3649.0,752.0,1140.0,368.0,589.0,19129.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,31,True,2022-08-01 18:18:44,2.1.4,48.0,magenta,,,['tensorflow'],,6974.0,532.0,532.0,https://pypi.org/project/magenta,6974.0,,,,2.0,,,,,,,,,,,,,,,,
211,ivy,unifyai/ivy,ml-frameworks,,https://github.com/ivy-llc/ivy,https://github.com/ivy-llc/ivy,,2021-01-19 08:37:25.000,2024-10-10 13:51:40.000,2024-10-10 06:24:40,18715.0,358.0,5744.0,70.0,11740.0,937.0,15949.0,14017.0,Convert Machine Learning Code Between Frameworks.,1479.0,31,True,,,24.0,ivy,,,,,5505.0,,,https://pypi.org/project/ivy,5505.0,,,,3.0,,,,,,ivy-llc/ivy,,,,,,,,,,
212,PaddleHub,PaddlePaddle/PaddleHub,others,,https://github.com/PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub,Apache-2.0,2018-12-21 06:00:48.000,2024-08-07 03:17:23.000,2024-08-07 03:17:23,2667.0,2.0,2069.0,182.0,1006.0,570.0,727.0,12692.0,"Awesome pre-trained models toolkit based on PaddlePaddle. (400+ models including Image, Text, Audio, Video and Cross-..",70.0,31,True,2022-11-28 08:29:05,2.3.1,29.0,paddlehub,,,['paddle'],795.0,5241.0,1731.0,1731.0,https://pypi.org/project/paddlehub,5230.0,,,,2.0,,,,,,,,,,,,,,,,
213,TPOT,EpistasisLab/tpot,hyperopt,,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40.000,2024-07-25 10:51:05.000,2024-02-23 19:03:07,2440.0,,1538.0,287.0,434.0,282.0,639.0,9695.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,121.0,31,True,2024-02-23 19:05:48,0.12.2,30.0,tpot,conda-forge/tpot,,['sklearn'],,49704.0,3011.0,3011.0,https://pypi.org/project/tpot,44487.0,https://anaconda.org/conda-forge/tpot,2024-02-26 15:57:08.680,271323.0,2.0,,,,,,,,,,,,,,,,
214,cleanlab,cleanlab/cleanlab,others,,https://github.com/cleanlab/cleanlab,https://github.com/cleanlab/cleanlab,AGPL-3.0,2018-05-11 01:55:21.000,2024-09-30 16:34:15.000,2024-09-30 16:34:14,1741.0,26.0,729.0,90.0,801.0,94.0,271.0,9582.0,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.",51.0,31,True,2024-09-26 16:45:26,2.7.0,18.0,cleanlab,conda-forge/cleanlab,,,,25784.0,387.0,387.0,https://pypi.org/project/cleanlab,25058.0,https://anaconda.org/conda-forge/cleanlab,2024-06-26 17:29:18.404,30521.0,2.0,,,,,,,,,,,,,,,,
215,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2024-03-20 22:02:13.000,2024-03-20 22:02:12,1391.0,,1376.0,302.0,894.0,143.0,759.0,9129.0,AutoML library for deep learning.,143.0,31,True,2024-03-20 21:24:21,2.0.0,59.0,autokeras,,,['tensorflow'],18902.0,24092.0,739.0,739.0,https://pypi.org/project/autokeras,23865.0,,,,2.0,,,,,,,,,,,,,,,,
216,Pyro,pyro-ppl/pyro,probabilistics,,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000,2024-09-28 02:01:11.000,2024-09-28 02:01:11,2493.0,16.0,961.0,201.0,2325.0,230.0,846.0,8517.0,Deep universal probabilistic programming with Python and PyTorch.,157.0,31,True,2024-06-02 00:37:00,1.9.1,35.0,pyro-ppl,conda-forge/pyro-ppl,,['pytorch'],,329068.0,,,https://pypi.org/project/pyro-ppl,324481.0,https://anaconda.org/conda-forge/pyro-ppl,2024-06-03 00:37:06.159,197275.0,2.0,,,,,,,,,,,,,,,,
217,tsfresh,blue-yonder/tsfresh,time-series-data,,https://github.com/blue-yonder/tsfresh,https://github.com/blue-yonder/tsfresh,MIT,2016-10-26 11:29:17.000,2024-08-04 02:13:02.666,2024-08-03 20:47:58,560.0,6.0,1190.0,170.0,436.0,57.0,474.0,8390.0,Automatic extraction of relevant features from time series:.,97.0,31,True,2024-08-03 20:51:18,0.20.3,15.0,tsfresh,conda-forge/tsfresh,,['sklearn'],,265533.0,21.0,21.0,https://pypi.org/project/tsfresh,239257.0,https://anaconda.org/conda-forge/tsfresh,2024-08-04 02:13:02.666,1392677.0,2.0,,,,,,,,,,,,,,,,
218,SpeechRecognition,Uberi/speech_recognition,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000,2024-08-13 19:06:58.000,2024-08-13 19:06:55,544.0,1.0,2299.0,283.0,159.0,285.0,319.0,8369.0,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",51.0,31,True,2024-05-05 04:42:09,3.10.4,29.0,SpeechRecognition,conda-forge/speechrecognition,,,,1117900.0,21.0,21.0,https://pypi.org/project/SpeechRecognition,1113817.0,https://anaconda.org/conda-forge/speechrecognition,2024-05-06 02:00:59.322,204187.0,2.0,,,,,,,,,,,,,,,,
219,auto-sklearn,automl/auto-sklearn,hyperopt,,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000,2024-10-08 14:46:02.000,2023-04-18 11:08:13,2759.0,,1258.0,215.0,721.0,193.0,829.0,7590.0,Automated Machine Learning with scikit-learn.,88.0,31,False,2023-02-13 12:35:21,0.15.0,35.0,auto-sklearn,conda-forge/auto-sklearn,,['sklearn'],62.0,19626.0,610.0,610.0,https://pypi.org/project/auto-sklearn,19013.0,https://anaconda.org/conda-forge/auto-sklearn,2023-06-16 19:25:30.278,25774.0,2.0,,,,,,,,,,,,,,,,
220,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2024-10-10 15:39:58.000,2024-08-12 17:08:04,2710.0,2.0,1136.0,209.0,1051.0,25.0,615.0,6681.0,An open source library for deep learning end-to-end dialog systems and chatbots.,77.0,31,True,2024-08-12 17:09:11,1.7.0,64.0,deeppavlov,,,['tensorflow'],,12579.0,412.0,412.0,https://pypi.org/project/deeppavlov,12579.0,,,,3.0,,,,,,deeppavlov/DeepPavlov,,,,,,,,,,
221,skorch,skorch-dev/skorch,ml-frameworks,,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000,2024-09-20 10:35:33.000,2024-09-20 10:02:01,1094.0,3.0,386.0,81.0,538.0,54.0,457.0,5844.0,A scikit-learn compatible neural network library that wraps PyTorch.,62.0,31,True,2024-05-27 15:25:43,1.0.0,16.0,skorch,conda-forge/skorch,,"['pytorch', 'sklearn']",,163116.0,1411.0,1411.0,https://pypi.org/project/skorch,147057.0,https://anaconda.org/conda-forge/skorch,2024-05-30 08:55:05.943,786915.0,3.0,,,,,,,,,,,,,,,,
222,tensorflow-probability,tensorflow/probability,probabilistics,,https://github.com/tensorflow/probability,https://github.com/tensorflow/probability,Apache-2.0,2017-10-23 23:50:54.000,2024-10-03 12:10:38.000,2024-10-03 12:10:36,12174.0,27.0,1049.0,163.0,466.0,621.0,754.0,4254.0,Probabilistic reasoning and statistical analysis in TensorFlow.,496.0,31,True,2024-03-12 19:43:46,0.24.0,51.0,tensorflow-probability,conda-forge/tensorflow-probability,,['tensorflow'],,1586618.0,2.0,2.0,https://pypi.org/project/tensorflow-probability,1583298.0,https://anaconda.org/conda-forge/tensorflow-probability,2024-05-27 12:58:13.692,146098.0,2.0,,,,,,,,,,,,,,,,
223,ftfy,rspeer/python-ftfy,nlp,,https://github.com/rspeer/python-ftfy,https://github.com/rspeer/python-ftfy,,2012-08-24 16:14:59.000,2024-10-10 17:56:06.000,2024-10-10 17:55:58,658.0,37.0,119.0,75.0,75.0,10.0,132.0,3790.0,"Fixes mojibake and other glitches in Unicode text, after the fact.",20.0,31,True,2024-08-06 01:36:27,6.2.3,13.0,ftfy,conda-forge/ftfy,,,15.0,5555463.0,23243.0,23243.0,https://pypi.org/project/ftfy,5548754.0,https://anaconda.org/conda-forge/ftfy,2024-08-06 18:05:02.848,301933.0,3.0,,,,,,,,,,,,,,,,
224,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2024-10-09 08:38:40.000,2024-10-09 08:38:39,344.0,5.0,328.0,65.0,77.0,14.0,123.0,3147.0,A Python Perceptual Image Hashing Module.,27.0,31,True,2021-03-25 13:49:48,4.1.0,7.0,ImageHash,conda-forge/imagehash,,,,1539497.0,14445.0,14445.0,https://pypi.org/project/ImageHash,1535308.0,https://anaconda.org/conda-forge/imagehash,2023-06-16 13:23:10.041,397972.0,3.0,,,,,,,,,,,,,,,,
225,NeuralForecast,Nixtla/neuralforecast,time-series-data,,https://github.com/Nixtla/neuralforecast,https://github.com/Nixtla/neuralforecast,Apache-2.0,2021-04-26 00:15:19.000,2024-10-10 18:10:08.000,2024-10-10 15:45:45,1194.0,37.0,342.0,36.0,534.0,103.0,434.0,2987.0,Scalable and user friendly neural forecasting algorithms.,48.0,31,True,2024-09-20 17:37:44,1.7.5,21.0,neuralforecast,conda-forge/neuralforecast,,,,50134.0,226.0,226.0,https://pypi.org/project/neuralforecast,49389.0,https://anaconda.org/conda-forge/neuralforecast,2024-09-20 23:37:40.226,23099.0,2.0,,,,,,,,,,,,,,,,
